ons_code,name,cls,loss_ph,change_pct,imd_avg_score,clean,league_excluded,handcheck
E07000069,Castle Point,SD,25.28,-33.6,16.841585867420164,True,False,
E07000070,Chelmsford,SD,24.04,-34.12,12.220971938065414,True,False,
E07000071,Colchester,SD,54.68,-74.64,16.777951859222565,True,False,
E07000072,Epping Forest,SD,24.56,-29.63,15.068371528690998,True,False,
E07000073,Harlow,SD,24.14,-21.55,21.413385140915214,True,False,
E07000074,Maldon DC,SD,-28.16,36.4,14.168959060231758,False,False,gainer_rates_growth
E07000075,Rochford,SD,20.98,-30.7,10.449120621654615,True,False,
E07000076,Tendring DC,SD,28.46,-27.08,30.48435388250229,True,False,
E07000077,Uttlesford,SD,5.28,-5.79,9.257571703538524,True,False,
E07000078,Cheltenham,SD,20.97,-29.6,14.260484055509812,True,False,
E07000079,Cotswold,SD,-5.77,8.54,11.060759269649788,True,False,
E07000080,Forest of Dean,SD,67.53,-73.66,18.01326559544079,True,False,
E07000081,Gloucester,SD,32.68,-35.99,21.806558091987828,True,False,
E07000082,Stroud,SD,4.71,-7.09,10.796690376282392,True,False,
E07000083,Tewkesbury,SD,17.63,-23.2,12.14215585716259,True,False,
E07000084,Basingstoke & Deane,SD,43.76,-66.4,12.823105477801995,True,False,
E07000085,East Hampshire,SD,13.01,-25.48,10.28387715470032,True,False,
E07000086,Eastleigh,SD,19.1,-32.5,10.192133171030495,True,False,
E07000087,Fareham,SD,13.5,-26.81,9.019535387473738,True,False,
E07000088,Gosport,SD,13.1,-16.18,20.541237844661797,True,False,
E07000089,Hart DC,SD,19.86,-44.06,5.544381111287674,True,False,
E07000090,Havant,SD,35.74,-45.05,21.8062772453339,True,False,
E07000091,New Forest,SD,19.47,-29.86,13.014539997210989,True,False,
E07000092,Rushmoor,SD,84.7,-68.15,15.903380440493452,True,False,
E07000093,Test Valley,SD,-42.5,72.56,11.930777943503196,False,False,gainer_rates_growth
E07000094,Winchester,SD,-12.91,22.5,9.615210265868539,True,False,
E07000095,Broxbourne,SD,25.7,-33.32,17.989346097538185,True,False,
E07000096,Dacorum,SD,47.23,-69.25,13.004143354896303,True,False,
E07000098,Hertsmere,SD,95.37,-94.33,13.937791754316237,False,False,cliff_after_2018_one_year_check
E07000099,North Hertfordshire,SD,26.74,-38.16,11.627403530100068,True,False,
E07000102,Three Rivers,SD,15.98,-24.4,9.870606697386625,True,False,
E07000103,Watford,SD,149.76,-99.34,15.409594521941298,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000105,Ashford,SD,-2.94,4.02,18.545545478729835,True,False,
E07000106,Canterbury,SD,38.69,-41.56,16.797480217708546,True,False,
E07000107,Dartford,SD,-45.33,41.7,18.81152114825511,False,False,gainer_rates_growth
E07000108,Dover,SD,9.1,-9.71,22.161402949420868,True,False,
E07000109,Gravesham,SD,48.57,-56.76,21.414084037270015,True,False,
E07000110,Maidstone,SD,15.3,-24.97,16.502573454870465,True,False,
E07000111,Sevenoaks,SD,23.26,-40.67,12.43710195066221,True,False,
E07000112,Folkestone & Hythe,SD,105.65,-98.12,24.14902074873905,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000113,Swale,SD,9.54,-10.23,27.07550628850467,True,False,
E07000114,Thanet,SD,21.47,-20.12,31.31361993820715,True,False,
E07000115,Tonbridge & Malling,SD,10.01,-14.13,13.332679191279944,True,False,
E07000116,Tunbridge Wells,SD,25.04,-43.22,11.310038092787925,True,False,
E07000117,Burnley,SD,45.33,-29.64,37.793384038871444,True,False,
E07000118,Chorley,SD,23.18,-28.2,16.86314095184992,True,False,
E07000119,Fylde,SD,25.41,-33.06,15.874918320114421,True,False,
E07000120,Hyndburn BC,SD,27.82,-18.88,34.332791432102155,True,False,
E07000121,Lancaster,SD,27.4,-21.23,24.164914834929867,True,False,
E07000122,Pendle,SD,40.72,-30.98,30.723193149847095,True,False,
E07000123,Preston,SD,82.03,-65.03,29.53076156261794,True,False,
E07000124,Ribble Valley,SD,9.17,-12.01,10.593864403014406,True,False,
E07000125,Rossendale,SD,59.76,-63.72,24.061505574922933,True,False,
E07000126,South Ribble,SD,5.81,-8.32,15.330010730728905,True,False,
E07000127,West Lancashire,SD,27.61,-28.64,18.644482983944098,True,False,
E07000128,Wyre,SD,29.3,-30.21,20.857837629854124,True,False,
E07000129,Blaby,SD,-2.43,3.2,10.628682618467877,True,False,
E07000130,Charnwood BC,SD,34.96,-46.91,13.237586834278147,True,False,
E07000131,Harborough,SD,-82.63,136.29,8.014496020710393,False,False,gainer_rates_growth
E07000132,Hinckley & Bosworth,SD,5.34,-7.32,13.460977357899873,True,False,
E07000133,Melton,SD,24.78,-30.56,12.532510636627679,True,False,
E07000134,North West Leicestershire,SD,-142.72,197.71,14.573204515026058,False,False,gainer_rates_growth
E07000135,Oadby & Wigston,SD,40.26,-48.07,12.958279526293227,True,False,
E07000136,Boston BC,SD,45.61,-35.19,22.967301503386754,True,False,
E07000137,East Lindsey,SD,-6.85,4.93,29.89153743807399,True,False,
E07000138,Lincoln City,SD,60.44,-45.47,26.88913969740709,True,False,
E07000139,North Kesteven,SD,-4.93,5.37,11.553116119658425,True,False,
E07000140,South Holland,SD,38.05,-32.72,17.896494865472082,True,False,
E07000141,South Kesteven,SD,48.57,-60.64,13.498579898978303,True,False,
E07000142,West Lindsey,SD,49.87,-44.94,20.354826394715893,True,False,
E07000143,Breckland,SD,33.79,-38.27,19.614194514307762,True,False,
E07000144,Broadland,SD,14.56,-19.67,11.816581168164516,True,False,
E07000145,Great Yarmouth,SD,24.91,-21.46,33.09689619226284,True,False,
E07000146,King's Lynn & West Norfolk,SD,19.11,-15.72,23.72035306523162,True,False,
E07000147,North Norfolk,SD,28.9,-28.7,21.057617396131594,True,False,
E07000148,Norwich City,SD,62.46,-49.51,27.598930702703488,True,False,
E07000149,South Norfolk,SD,6.12,-7.99,13.31788865768794,True,False,
