ons_code,name,cls,imd_avg_score,imd_rank_in_class,class_n,settlement_real_ph_2013-14,settlement_real_ph_2024-25,loss_ph,change_pct,clean,league_excluded,handcheck
E10000014,Hampshire CC,SC,12.69,18,21,267.95,114.38,153.57,-57.31,True,False,
E10000018,Leicestershire CC,SC,12.33,19,21,280.9,135.09,145.81,-51.91,True,False,
E10000025,Oxfordshire CC,SC,11.66,20,21,250.24,105.75,144.49,-57.74,True,False,
E07000103,Watford,SD,15.409594521941298,80,162,150.76,1.0,149.76,-99.34,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000112,Folkestone & Hythe,SD,24.14902074873905,20,162,107.67,2.02,105.65,-98.12,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000098,Hertsmere,SD,13.937791754316237,98,162,101.1,5.73,95.37,-94.33,False,False,cliff_after_2018_one_year_check
E07000219,Nuneaton & Bedworth,SD,23.540249377976824,23,162,96.3,1.19,95.1,-98.76,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000220,Rugby,SD,14.119128983772917,96,162,86.98,0.92,86.06,-98.94,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E07000171,Bassetlaw,SD,22.588079074388304,27,162,134.01,48.74,85.27,-63.63,True,False,
E07000092,Rushmoor,SD,15.903380440493452,74,162,124.29,39.58,84.7,-68.15,True,False,
E07000123,Preston,SD,29.53076156261794,9,162,126.15,44.12,82.03,-65.03,True,False,
E07000199,Tamworth,SD,21.061077060745966,36,162,84.46,11.71,72.75,-86.14,False,False,cliff_after_2018_one_year_check
E07000213,Spelthorne,SD,14.942642317252057,84,162,82.35,11.4,70.95,-86.15,False,False,cliff_after_2018_one_year_check
E07000061,Eastbourne,SD,22.10972695784901,31,162,117.3,48.62,68.68,-58.55,True,False,
E07000080,Forest of Dean,SD,18.01326559544079,57,162,91.67,24.14,67.53,-73.66,True,False,
E07000242,East Hertfordshire,SD,8.188423696085488,155,162,65.02,0.75,64.27,-98.84,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
