ons_code,name,cls,imd_avg_score,imd_rank_in_class,class_n,settlement_real_ph_2013-14,settlement_real_ph_2024-25,loss_ph,change_pct,clean,league_excluded,handcheck
E07000011,Huntingdonshire,SD,12.550419673919285,114,162,65.12,66.24,-1.12,1.72,True,False,
E07000035,Derbyshire Dales,SD,11.89506290124589,124,162,65.39,67.45,-2.06,3.15,True,False,
E07000129,Blaby,SD,10.628682618467877,136,162,75.99,78.42,-2.43,3.2,True,False,
E07000105,Ashford,SD,18.545545478729835,55,162,72.93,75.87,-2.94,4.02,True,False,
E07000200,Babergh,SD,14.26682001112347,91,162,64.49,68.49,-4.0,6.2,True,False,
E07000139,North Kesteven,SD,11.553116119658425,129,162,91.78,96.71,-4.93,5.37,True,False,
E07000079,Cotswold,SD,11.060759269649788,133,162,67.59,73.36,-5.77,8.54,True,False,
E07000203,Mid Suffolk,SD,13.225204616412803,106,162,74.14,80.39,-6.25,8.43,True,False,
E07000137,East Lindsey,SD,29.89153743807399,8,162,138.9,145.74,-6.85,4.93,True,False,
E07000040,East Devon,SD,12.76445906200318,112,162,62.45,69.73,-7.29,11.67,True,False,
E07000034,Chesterfield,SD,24.925672218871753,18,162,97.71,105.36,-7.65,7.83,True,False,
E07000238,Wychavon,SD,15.765628988187125,77,162,65.37,76.06,-10.7,16.37,True,False,
E07000094,Winchester,SD,9.615210265868539,144,162,57.4,70.31,-12.91,22.5,True,False,
E07000012,South Cambridgeshire,SD,8.495506485940655,151,162,74.69,92.8,-18.11,24.24,True,False,
E07000039,South Derbyshire,SD,14.494147838186658,89,162,46.75,66.87,-20.12,43.04,False,True,gainer_rates_growth;incomplete_financing_return
E07000177,Cherwell,SD,14.410383403491823,90,162,85.62,107.37,-21.76,25.41,False,False,gainer_rates_growth
E07000074,Maldon DC,SD,14.168959060231758,95,162,77.36,105.52,-28.16,36.4,False,False,gainer_rates_growth
E07000093,Test Valley,SD,11.930777943503196,122,162,58.57,101.07,-42.5,72.56,False,False,gainer_rates_growth
E07000107,Dartford,SD,18.81152114825511,52,162,108.71,154.04,-45.33,41.7,False,False,gainer_rates_growth
E07000196,South Staffordshire,SD,13.123768637650684,107,162,68.18,125.05,-56.87,83.41,False,False,gainer_rates_growth
E07000218,North Warwickshire,SD,17.90682813670039,60,162,93.28,174.57,-81.29,87.14,False,False,gainer_rates_growth
E07000131,Harborough,SD,8.014496020710393,157,162,60.63,143.26,-82.63,136.29,False,False,gainer_rates_growth
E07000134,North West Leicestershire,SD,14.573204515026058,88,162,72.18,214.9,-142.72,197.71,False,False,gainer_rates_growth
E06000034,Thurrock UA,UA,20.93,31,53,585.64,46.85,538.79,-92.0,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E06000002,Middlesbrough UA,UA,40.46,3,53,986.98,502.79,484.19,-49.06,True,False,
E06000001,Hartlepool UA,UA,35.04,5,53,912.06,470.49,441.57,-48.41,True,False,
E06000016,Leicester City UA,UA,30.88,10,53,907.55,474.02,433.53,-47.77,True,False,
E06000009,Blackpool UA,UA,45.04,1,53,1022.26,591.25,431.01,-42.16,True,False,
E06000018,Nottingham City UA,UA,34.89,6,53,923.46,495.19,428.27,-46.38,True,False,
E06000056,Central Bedfordshire UA,UA,12.15,45,53,412.45,1.09,411.36,-99.74,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E06000008,Blackburn with Darwen UA,UA,36.01,4,53,916.0,512.91,403.1,-44.01,True,False,
E06000050,Cheshire West and Chester UA,UA,18.08,38,53,487.06,85.33,401.73,-82.48,False,False,cliff_after_2018_one_year_check
E06000032,Luton UA,UA,25.91,20,53,694.06,294.7,399.36,-57.54,True,False,
E06000010,Kingston-upon-Hull UA,UA,40.56,2,53,956.3,559.23,397.08,-41.52,True,False,
E06000046,Isle of Wight UA,UA,23.29,25,53,723.78,339.74,384.04,-53.06,True,False,
E06000021,Stoke-on-Trent UA,UA,34.5,7,53,857.99,479.73,378.26,-44.09,True,False,
E06000003,Redcar & Cleveland UA,UA,29.79,11,53,769.95,400.43,369.52,-47.99,True,False,
E06000027,Torbay UA,UA,28.1,12,53,738.52,373.43,365.09,-49.44,True,False,
E06000039,Slough UA,UA,22.97,27,53,631.55,276.23,355.32,-56.26,True,False,
E06000045,Southampton UA,UA,26.88,15,53,708.95,354.87,354.08,-49.94,True,False,
E06000012,North East Lincolnshire UA,UA,31.34,9,53,751.21,413.03,338.19,-45.02,True,False,
