year,cls,service,n,p10,p25,median,p75,p90
2013-14,SD,recycling,201,-0.70,0.00,3.19,7.81,10.90
2013-14,SD,refuse_and_recycling,201,11.16,13.87,17.62,21.49,26.19
2013-14,SD,street_cleansing,201,4.71,6.55,8.61,11.29,14.01
2013-14,SD,total_service_expenditure,201,98.71,107.95,122.87,136.85,152.90
2013-14,SD,waste_collection,201,7.81,9.80,13.00,17.21,23.74
2013-14,SD,waste_disposal,201,0.00,0.00,0.00,0.00,0.00
2013-14,UA,adult_social_care,55,234.22,251.56,270.57,288.07,301.01
2013-14,UA,central,55,12.92,26.91,37.09,50.84,61.12
2013-14,UA,children_social_care,55,90.30,111.28,135.03,165.93,206.13
2013-14,UA,cultural,55,28.38,37.13,53.01,62.26,73.68
2013-14,UA,development_control,55,0.21,1.21,2.93,4.85,8.59
2013-14,UA,education,55,474.74,543.88,633.11,711.88,791.43
2013-14,UA,environmental_regulatory,55,68.20,80.64,90.13,101.05,111.95
2013-14,UA,fire_rescue,55,0.00,0.00,0.00,0.00,0.00
2013-14,UA,highways_transport,55,39.26,48.20,58.04,67.10,82.69
2013-14,UA,housing_gfra,55,17.92,28.04,42.07,50.14,62.14
2013-14,UA,libraries,55,9.97,11.24,14.10,15.88,18.84
2013-14,UA,other,55,0.00,0.00,0.00,1.23,2.82
2013-14,UA,planning_development,55,11.15,16.14,21.93,31.36,41.51
2013-14,UA,police,55,0.00,0.00,0.00,0.00,0.00
2013-14,UA,public_health,55,25.62,34.29,43.00,64.04,78.59
2013-14,UA,recycling,55,0.00,1.74,7.06,10.88,22.04
2013-14,UA,refuse_and_recycling,55,16.09,19.03,25.58,29.13,36.23
2013-14,UA,street_cleansing,55,5.94,8.97,13.10,15.76,24.94
2013-14,UA,total_service_expenditure,55,1190.51,1231.84,1362.50,1507.25,1691.53
2013-14,UA,waste_collection,55,8.22,11.70,15.97,23.49,28.83
2013-14,UA,waste_disposal,55,20.82,24.52,31.85,41.14,50.99
2018-19,LB,adult_social_care,32,226.19,235.38,282.47,309.13,324.95
2018-19,LB,central,32,4.17,30.42,43.15,70.71,86.58
