authority,ons_code,cls,population_mid2024,imd_avg_score,csc_net_per_head_real2425,csc_gross_per_head,csc_income_share_of_gross,asc_net_per_head_real2425,asc_gross_per_head,asc_income_share_of_gross,lib_net_per_head_real2425,lib_gross_per_head,lib_income_share_of_gross,lib_net_negative
Rochdale,E08000005,MD,234919.0,34.42,311.05,345.2,0.099,445.61,665.3,0.33,8.91,11.42,0.22,False
Rotherham,E08000018,MD,276332.0,29.55,327.62,340.84,0.039,491.22,605.43,0.189,12.9,13.45,0.041,False
Salford,E08000006,MD,293508.0,34.21,253.27,321.03,0.211,357.22,561.53,0.364,6.36,7.79,0.184,False
Sandwell,E08000028,MD,353270.0,34.88,303.84,397.23,0.235,406.8,641.5,0.366,7.11,8.71,0.184,False
Sefton,E08000014,MD,285298.0,27.04,374.32,394.35,0.051,463.18,713.7,0.351,7.41,7.93,0.065,False
Sheffield,E08000019,MD,580235.0,27.06,270.09,289.37,0.067,514.27,627.72,0.181,9.33,10.99,0.151,False
Solihull,E08000029,MD,220299.0,17.37,346.67,364.03,0.048,460.32,646.09,0.288,15.18,16.63,0.087,False
South Tyneside,E08000023,MD,150736.0,31.51,373.33,425.84,0.123,549.7,907.07,0.394,17.89,21.2,0.156,False
St Helens MBC,E08000013,MD,188397.0,31.52,388.65,408.16,0.048,470.12,685.24,0.314,10.97,13.84,0.207,False
Stockport MBC,E08000007,MD,302184.0,20.83,249.29,269.24,0.074,466.85,657.21,0.29,13.79,14.41,0.042,False
Sunderland,E08000024,MD,286696.0,30.59,311.61,319.68,0.025,491.47,684.26,0.282,4.24,4.28,0.009,False
Tameside,E08000008,MD,238895.0,31.37,452.65,462.18,0.021,411.47,614.75,0.331,9.11,9.37,0.028,False
Trafford,E08000009,MD,239618.0,16.09,233.36,263.99,0.116,415.75,586.15,0.291,10.86,22.13,0.509,False
Wakefield,E08000036,MD,366925.0,27.31,265.66,329.6,0.194,425.64,646.21,0.341,13.93,14.7,0.052,False
Walsall,E08000030,MD,294626.0,31.55,341.79,359.72,0.05,438.16,545.42,0.197,12.06,12.4,0.027,False
Wigan MBC,E08000010,MD,344245.0,25.71,282.86,313.09,0.097,401.45,597.11,0.328,8.34,8.57,0.026,False
Wirral,E08000015,MD,328209.0,29.59,322.6,337.26,0.043,496.87,706.55,0.297,14.08,14.9,0.055,False
Wolverhampton,E08000031,MD,280541.0,32.1,316.27,377.94,0.163,441.64,582.05,0.241,11.41,13.41,0.149,False
Cambridgeshire CC,E10000003,SC,713218.0,13.86,171.3,190.31,0.1,376.42,536.53,0.298,8.61,10.35,0.168,False
Derbyshire CC,E10000007,SC,820913.0,18.39,239.69,246.79,0.029,480.26,694.6,0.309,8.95,9.23,0.03,False
Devon CC,E10000008,SC,842043.0,16.61,249.28,277.75,0.102,465.95,618.17,0.246,8.01,8.87,0.097,False
East Sussex CC,E10000011,SC,560334.0,19.77,278.77,302.51,0.078,568.43,750.7,0.243,9.36,10.75,0.129,False
Essex CC,E10000012,SC,1558928.0,17.02,168.02,172.34,0.025,448.09,571.86,0.216,15.21,16.02,0.05,False
Gloucestershire CC,E10000013,SC,668109.0,14.93,264.02,271.99,0.029,374.53,578.81,0.353,12.23,13.12,0.068,False
Hampshire CC,E10000014,SC,1445170.0,12.69,217.66,254.04,0.143,424.78,543.0,0.218,8.56,11.05,0.225,False
Hertfordshire CC,E10000015,SC,1233983.0,12.73,200.07,213.39,0.062,441.44,550.65,0.198,14.55,15.37,0.053,False
Kent CC,E10000016,SC,1639077.0,19.54,216.87,231.35,0.063,439.93,560.12,0.215,12.04,13.11,0.082,False
Lancashire CC,E10000017,SC,1292439.0,23.44,225.53,230.73,0.023,452.25,641.64,0.295,12.71,13.4,0.052,False
Leicestershire CC,E10000018,SC,744477.0,12.33,188.23,195.12,0.035,328.38,479.88,0.316,6.37,7.16,0.11,False
Lincolnshire CC,E10000019,SC,790533.0,20.29,186.04,227.85,0.183,371.92,547.54,0.321,7.99,8.01,0.003,False
Norfolk CC,E10000020,SC,940468.0,21.18,237.75,261.86,0.092,492.49,750.51,0.344,10.34,11.48,0.099,False
Nottinghamshire CC,E10000024,SC,855350.0,19.0,250.96,267.59,0.062,452.78,666.28,0.32,15.64,15.71,0.005,False
Oxfordshire CC,E10000025,SC,765123.0,11.66,216.51,226.16,0.043,368.15,498.38,0.261,13.18,13.94,0.054,False
Staffordshire CC,E10000028,SC,906397.0,16.57,244.98,263.8,0.071,376.84,562.05,0.33,7.73,8.6,0.101,False
Suffolk CC,E10000029,SC,785501.0,18.46,185.68,195.16,0.049,462.7,636.94,0.274,10.34,10.38,0.004,False
Surrey CC,E10000030,SC,1247792.0,10.09,202.17,212.47,0.049,440.74,572.51,0.23,8.73,9.44,0.075,False
Warwickshire CC,E10000031,SC,633002.0,15.64,237.2,276.38,0.142,370.67,554.21,0.331,11.18,11.6,0.035,False
West Sussex CC,E10000032,SC,914100.0,14.43,240.14,247.42,0.029,397.06,594.01,0.332,10.53,11.77,0.105,False
Worcestershire CC,E10000034,SC,620714.0,18.09,229.94,234.59,0.02,377.2,539.64,0.301,13.33,19.31,0.31,False
Bath & North East Somerset,E06000022,UA,200539.0,11.75,236.51,272.13,0.131,392.96,528.53,0.257,14.12,16.08,0.122,False
Bedford,E06000055,UA,194881.0,18.93,272.42,279.5,0.025,447.5,634.98,0.295,8.85,11.32,0.218,False
Blackburn with Darwen,E06000008,UA,161618.0,36.01,336.27,372.02,0.096,449.7,687.89,0.346,11.68,12.52,0.068,False
Blackpool,E06000009,UA,143353.0,45.04,598.75,660.01,0.093,534.69,857.87,0.377,-1.42,16.76,1.085,True
"Bournemouth, Christchurch and Poole",E06000058,UA,408009.0,18.17,267.62,283.02,0.054,433.46,636.36,0.319,15.08,15.63,0.035,False
Bracknell Forest,E06000036,UA,130502.0,10.24,265.73,277.38,0.042,409.66,558.66,0.267,15.76,16.38,0.038,False
