ons_code,name,cls,class_label,real_2013_14,real_2018_19,real_2024_25,change_pct,note
E09000030,Tower Hamlets,LB,London borough,36.43,21.77,22.3,-38.8,
E08000031,Wolverhampton,MD,Metropolitan district,18.58,12.3,11.41,-38.6,
E10000025,Oxfordshire CC,SC,Shire county,21.3,,13.18,-38.1,
E08000019,Sheffield,MD,Metropolitan district,14.97,10.62,9.33,-37.7,
E08000017,Doncaster,MD,Metropolitan district,17.49,10.93,10.95,-37.4,
E10000016,Kent CC,SC,Shire county,18.96,,12.04,-36.5,
E08000023,South Tyneside,MD,Metropolitan district,28.11,22.38,17.89,-36.4,
E06000024,North Somerset UA,UA,Unitary authority,16.22,11.78,10.39,-35.9,
E08000029,Solihull,MD,Metropolitan district,23.07,20.0,15.18,-34.2,
E08000001,Bolton,MD,Metropolitan district,18.77,23.04,12.42,-33.8,
E06000022,Bath & North East Somerset UA,UA,Unitary authority,21.27,12.84,14.12,-33.6,
E06000019,Herefordshire UA,UA,Unitary authority,11.2,8.0,7.49,-33.2,
E06000036,Bracknell Forest UA,UA,Unitary authority,23.52,18.41,15.76,-33.0,
E09000008,Croydon,LB,London borough,12.39,11.67,8.36,-32.5,
E06000014,York UA,UA,Unitary authority,19.58,14.61,13.45,-31.3,
E08000015,Wirral,MD,Metropolitan district,20.5,17.32,14.08,-31.3,
E08000036,Wakefield,MD,Metropolitan district,20.09,14.53,13.93,-30.6,
E09000006,Bromley,LB,London borough,25.69,16.84,17.82,-30.6,
E09000012,Hackney,LB,London borough,36.16,29.66,25.65,-29.1,
E10000031,Warwickshire CC,SC,Shire county,15.63,,11.18,-28.5,
E06000023,Bristol UA,UA,Unitary authority,19.57,20.3,14.08,-28.1,
E06000044,Portsmouth UA,UA,Unitary authority,20.57,17.01,14.93,-27.4,
E09000013,Hammersmith & Fulham,LB,London borough,22.57,17.77,16.45,-27.1,
E06000002,Middlesbrough UA,UA,Unitary authority,18.06,17.17,13.18,-27.0,
E10000017,Lancashire CC,SC,Shire county,17.17,,12.71,-26.0,
E06000056,Central Bedfordshire UA,UA,Unitary authority,13.26,11.11,9.82,-25.9,
E09000031,Waltham Forest,LB,London borough,17.83,15.91,13.2,-25.9,
E06000046,Isle of Wight UA,UA,Unitary authority,13.6,9.77,10.12,-25.6,
E09000032,Wandsworth,LB,London borough,19.98,16.13,14.89,-25.4,
E10000015,Hertfordshire CC,SC,Shire county,19.42,,14.55,-25.1,
E06000034,Thurrock UA,UA,Unitary authority,15.72,10.42,11.91,-24.2,
E10000024,Nottinghamshire CC,SC,Shire county,20.56,,15.64,-23.9,
E09000014,Haringey,LB,London borough,22.67,19.4,17.39,-23.3,
E10000029,Suffolk CC,SC,Shire county,13.47,,10.34,-23.2,
E09000027,Richmond upon Thames,LB,London borough,30.54,23.53,23.94,-21.6,
E06000050,Cheshire West and Chester UA,UA,Unitary authority,19.3,17.37,15.19,-21.3,
E09000033,Westminster,LB,London borough,45.73,40.33,36.16,-20.9,
E06000033,Southend-on-Sea UA,UA,Unitary authority,25.0,17.43,20.0,-20.0,
E06000047,Durham UA,UA,Unitary authority,14.6,11.64,11.92,-18.4,
E10000032,West Sussex CC,SC,Shire county,12.87,,10.53,-18.2,
E06000010,Kingston-upon-Hull UA,UA,Unitary authority,26.89,,22.03,-18.1,
E06000017,Rutland UA,UA,Unitary authority,21.56,17.94,17.66,-18.1,
E06000035,Medway Towns UA,UA,Unitary authority,19.53,,16.09,-17.6,
E09000024,Merton,LB,London borough,19.22,18.15,15.9,-17.3,
E08000003,Manchester,MD,Metropolitan district,22.05,23.69,18.72,-15.1,
E09000028,Southwark,LB,London borough,32.4,24.84,27.94,-13.8,
E08000022,North Tyneside,MD,Metropolitan district,27.33,30.86,23.74,-13.2,
E06000054,Wiltshire UA,UA,Unitary authority,13.75,12.96,12.29,-10.6,
E06000005,Darlington UA,UA,Unitary authority,12.55,12.43,11.78,-6.1,
E09000011,Greenwich,LB,London borough,18.15,22.66,17.24,-5.0,
E09000020,Kensington & Chelsea,LB,London borough,45.9,31.53,43.84,-4.5,
E06000031,Peterborough UA,UA,Unitary authority,8.4,8.18,8.15,-3.0,
E06000026,Plymouth UA,UA,Unitary authority,15.17,18.02,14.8,-2.4,
E09000025,Newham,LB,London borough,16.05,13.61,15.81,-1.5,
E08000016,Barnsley,MD,Metropolitan district,14.71,13.01,15.02,2.1,
E10000013,Gloucestershire CC,SC,Shire county,11.97,,12.23,2.2,
E08000033,Calderdale,MD,Metropolitan district,18.97,18.47,19.49,2.8,
E06000043,Brighton & Hove UA,UA,Unitary authority,20.61,17.36,22.34,8.4,
E10000012,Essex CC,SC,Shire county,13.39,,15.21,13.6,
E09000007,Camden,LB,London borough,27.18,21.9,31.13,14.6,
E08000006,Salford,MD,Metropolitan district,4.07,8.66,6.36,56.2,
