ons_code,name,cls,class_label,value,note
E06000053,Isles of Scilly,UA,Unitary authority,27.28,Excluded from rankings project-wide (structurally unrepresentative per-head base).
E06000010,Kingston-upon-Hull UA,UA,Unitary authority,22.03,
E06000016,Leicester City UA,UA,Unitary authority,6.44,
E06000032,Luton UA,UA,Unitary authority,3.54,CAUTION: 2013-14 library line was under 2 pounds/head real (trust/outsourced booking) - booked level may not capture full service cost.
E06000035,Medway Towns UA,UA,Unitary authority,16.09,
E06000002,Middlesbrough UA,UA,Unitary authority,13.18,
E06000042,Milton Keynes UA,UA,Unitary authority,5.95,
E06000012,North East Lincolnshire UA,UA,Unitary authority,8.72,
E06000013,North Lincolnshire UA,UA,Unitary authority,10.47,
E06000061,North Northamptonshire,UA,Unitary authority,5.33,
E06000024,North Somerset UA,UA,Unitary authority,10.39,
E06000065,North Yorkshire,UA,Unitary authority,10.26,
E06000057,Northumberland UA,UA,Unitary authority,8.17,
E06000018,Nottingham City UA,UA,Unitary authority,12.33,
E06000031,Peterborough UA,UA,Unitary authority,8.15,
E06000026,Plymouth UA,UA,Unitary authority,14.8,
E06000044,Portsmouth UA,UA,Unitary authority,14.93,
E06000038,Reading UA,UA,Unitary authority,9.42,
E06000003,Redcar & Cleveland UA,UA,Unitary authority,8.27,
E06000017,Rutland UA,UA,Unitary authority,17.66,
E06000051,Shropshire UA,UA,Unitary authority,7.96,
E06000039,Slough UA,UA,Unitary authority,4.84,
E06000066,Somerset,UA,Unitary authority,13.16,
E06000025,South Gloucestershire UA,UA,Unitary authority,8.29,
E06000045,Southampton UA,UA,Unitary authority,12.33,
E06000033,Southend-on-Sea UA,UA,Unitary authority,20.0,
E06000004,Stockton-on-Tees UA,UA,Unitary authority,11.07,
E06000021,Stoke-on-Trent UA,UA,Unitary authority,7.12,
E06000030,Swindon UA,UA,Unitary authority,9.43,
E06000020,Telford & the Wrekin UA,UA,Unitary authority,7.43,
E06000034,Thurrock UA,UA,Unitary authority,11.91,
E06000027,Torbay UA,UA,Unitary authority,10.48,
E06000007,Warrington UA,UA,Unitary authority,7.23,
E06000037,West Berkshire UA,UA,Unitary authority,8.29,
E06000062,West Northamptonshire,UA,Unitary authority,10.13,
E06000064,Westmorland and Furness,UA,Unitary authority,11.53,
E06000054,Wiltshire UA,UA,Unitary authority,12.29,
E06000040,Windsor & Maidenhead UA,UA,Unitary authority,8.98,
E06000041,Wokingham UA,UA,Unitary authority,6.73,
E06000014,York UA,UA,Unitary authority,13.45,
