expense_type,publisher,n,amount
Rabies Training - 17 delegates -23-2-2012 B & B at Best Western Atlantic Hotel,"Department for Environment, Food and Rural Affairs",1,1465.0
Radisson Hotel,Foreign and Commonwealth Office,1,-731.84
Refugee Education and Employment Programme,National Offender Management Service,1,28488.62
Refugee Health Costs,Home Office,1,53400.0
Refund of Hotel costs,"Department for Digital, Culture, Media and Sport",1,-690.76
"Regional Directorate Africa, Europe, Middle East, Central & South Asia-Hotel & Accommodation Overseas",UK Trade and Investment,1,325.64
Rent deposit for homeless person,Uttlesford District Council,1,830.0
Rent for homeless family (reclaimed from Essex County Council),Uttlesford District Council,1,1153.0
Rent rebates for B&B,London Borough of Richmond Upon Thames,33,39717.0
Resettlement Support,Uttlesford District Council,28,58133.72
SS  - Hotel Aberdeen  25-29/09/11,"Department for Environment, Food and Rural Affairs",1,545.0
Salmonella Training -27 Delegates at De Vere Gorse Hill Hotel. 9 delegates B &B for 2 nights & 12 delegate for 1 night,"Department for Environment, Food and Rural Affairs",1,1320.0
Seafood Summit invited speaker - 6 nights hotel for 1 person cost covered by Seafish,"Department for Environment, Food and Rural Affairs",1,570.56
Selkirk Arms = hotel for 1 person for 14 nights for radiological habits survey fieldwork.,"Department for Environment, Food and Rural Affairs",1,1050.0
Staff Subsistence Hotel,Wales Office,6,5142.46
Staff overnight bed and breakfast cost,"Department for Environment, Food and Rural Affairs",2,1281.5
Staff subsistence costs for overnight bed and breakfast for 6 staff,"Department for Environment, Food and Rural Affairs",1,504.0
Staff training and subsistence costs for overnight bed and breakfast for two days for 6 staff,"Department for Environment, Food and Rural Affairs",1,959.4
"T&S - J. Vervoorst - Hotel, Sercotel Caspe, Barcelona, Spain, 3 nights, 27/09/2023 - 30/09/2023",The National Archives,1,650.62
"T&S - M. Vermeulen - Hotel, Hotel Italia, Avenue Visconde Valmor, 67, Avenidas Novas, Lisbon, 1050-239, Portugal, 6 nights, 07/05/2023 - 13/05/2023",The National Archives,1,613.67
T&S - UK (Non-Taxable) hotel,Children and Family Court Advisory and Support Service,20,209028.37
TA LPS BACS Payments,Department for Work and Pensions,12,16369427.51
TPP - B&B payments to landlords,Bristol City Council,22765,85715338.1
Taj Hotels Internat'L,Foreign and Commonwealth Office,1,599.74
Temp Accom - Electricity,Uttlesford District Council,1,254.31
Temp Accom - Furniture,Uttlesford District Council,4,1907.98
Temporary Accommodation,Royal Borough of Greenwich,2,5509.2
Temporary Accommodation,Tate,10,527300.0700000001
Temporary Accommodation - Third Party,Uttlesford District Council,466,565297.21
Temporary Accommodation Hire,Tate,5,160482.5
"This payment was for Executive Management Meetings at the Granary Hotel in Fawsley, Northamptonshire.",Department for Education,1,1224.0
"Train the Trainer Training Course, accommodation, dinner, bed and breakfast for 10","Department for Environment, Food and Rural Affairs",1,1227.0
"Training Course, meeting Room, accommodation and tutor dinner, bed and breakfast rate 20 staff day delegate rate","Department for Environment, Food and Rural Affairs",1,4076.0
Training course hotel cancellation charge,"Department for Environment, Food and Rural Affairs",1,746.0
"Training event in Blackpool 2 nights for 12 people at 24 hour delegate rate including room hire, food, bed and breakfast","Department for Environment, Food and Rural Affairs",2,2915.0
"Training event in Blackpool 2 nights for 16 people at 24 hour delegate rate including room hire, food, bed and breakfast","Department for Environment, Food and Rural Affairs",2,3010.0
Transport-Hotel & Accommodation Overseas,UK Trade and Investment,1,384.0
Travel & Food & Lodging.Hotels & motels & inns,Home Office,2,69605.48999999999
Travel & Food & Lodging.UK- Hotel Accommodation,Home Office,4,620988.6
Typhoon Team-Hotel & Accommodation Overseas,UK Trade and Investment,1,156.78
UKTI Education-Hotel & Accommodation Overseas,UK Trade and Investment,1,264.92
US visit - hotel costs for SoS and officials,Department for Education,2,1140.23
Ukrainian refugees,Uttlesford District Council,2,800.0
Venue hire for meeting and bed and breakfast for 9 people attending the 2 day meeting,"Department for Environment, Food and Rural Affairs",1,1394.2
"Week accommodation, bed and breakfast for Paris European Committee for Standardisation and International Organisation for Standardisation meeting","Department for Environment, Food and Rural Affairs",1,967.86
Young Homeless Contract,Rushmoor Borough Council,1,13000.0
bed and breakfast for 15 - meeting for dispersed team,"Department for Environment, Food and Rural Affairs",1,1125.0
hotels/Motels/Resorts,Foreign and Commonwealth Office,1,675.33
no 2 Hotel charged Jeff's gpc incorrectly for the hotel room. EBNA meetings in Sweden. The refund is also on this  statement.,The National Archives,1,740.94
