fiscal_year,n_payments,amount_gbp,note
2010-11,395,51273004,
2011-12,823,178558671,
2012-13,852,181249157,
2013-14,629,143722373,
2014-15,726,214525434,
2015-16,699,200342230,
2016-17,481,223547503,asylum-labeled lines fade after 2016-10: spend relabeled to Business Process Outsourcing / Detention Centres etc.
2017-18,93,9730498,"label collapse, not a spending collapse: contractors still paid under generic labels"
2018-19,129,40983472,Apr-Jun 2018 only; Home Office ledger in our holdings stops 2018-06
