name,year,measure,gbp_thousand,gbp_per_head_nominal,real_gbp_per_head_2425
Blaby,2013-14,gross,1508.0,15.858326673116562,21.715568827543144
Blaby,2013-14,income,240.0,2.5238716190636437,3.4560586993437363
Blaby,2013-14,nce,1268.0,13.334455054052917,18.25951012819941
Blaby,2018-19,gross,2063.0,20.543511815257766,26.074412695172896
Blaby,2018-19,income,801.0,7.976419274852869,10.123899451688555
Blaby,2018-19,nce,1262.0,12.567092540404895,15.95051324348434
Blaby,2024-25,gross,5454.0,50.57258101905513,50.57258101905513
Blaby,2024-25,income,3431.0,31.8141777551115,31.8141777551115
Blaby,2024-25,nce,2023.0,18.758403263943624,18.758403263943624
Bristol UA,2013-14,gross,32814.0,75.00480008777303,102.70767731524191
Bristol UA,2013-14,income,5897.0,13.479103617894728,18.457584358139254
Bristol UA,2013-14,nce,26917.0,61.525696469878305,84.25009295710265
Bristol UA,2018-19,gross,33228.295999999995,71.70465575468542,91.00959967927045
Bristol UA,2018-19,income,4590.041000000001,9.905031236175702,12.571748907059163
Bristol UA,2018-19,nce,28638.25499999999,61.7996245185097,78.43785077221126
Bristol UA,2024-25,gross,54699.0,110.67631139663109,110.67631139663109
Bristol UA,2024-25,income,20999.0,42.4887450048055,42.4887450048055
Bristol UA,2024-25,nce,33700.0,68.18756639182558,68.18756639182558
Cheltenham,2013-14,gross,1680.0,14.49525452976704,19.849048635599328
Cheltenham,2013-14,income,494.0,4.262295081967213,5.836565491658375
Cheltenham,2013-14,nce,1186.0,10.232959447799827,14.012483143940953
Cheltenham,2018-19,gross,1449.0,12.375096079938508,15.706825845183973
Cheltenham,2018-19,income,97.0,0.8284225809206593,1.0514576307680092
Cheltenham,2018-19,nce,1352.0,11.54667349901785,14.655368214415965
Cheltenham,2024-25,gross,1825.0,15.025399099299364,15.025399099299364
Cheltenham,2024-25,income,763.0,6.281851787816666,6.281851787816666
Cheltenham,2024-25,nce,1062.0,8.743547311482699,8.743547311482699
Eden,2013-14,gross,1439.0,27.353774212557266,37.456837587589284
Eden,2013-14,income,454.0,8.63003022411466,11.817515124923927
Eden,2013-14,nce,985.0,18.723743988442603,25.63932246266535
Eden,2018-19,gross,1513.0,28.611410525519563,36.31442046239309
Eden,2018-19,income,283.0,5.351638584746884,6.79245273685211
Eden,2018-19,nce,1230.0,23.25977194077268,29.52196772554098
Greenwich,2013-14,gross,20276.0,76.80070300899973,105.16689349216657
Greenwich,2013-14,income,5228.0,19.80243022938699,27.11641937152529
Greenwich,2013-14,nce,15048.0,56.99827277961274,78.05047412064127
Greenwich,2018-19,gross,24263.0,84.78052734934623,107.60586984837818
Greenwich,2018-19,income,10438.0,36.472783434549555,46.292299776506255
Greenwich,2018-19,nce,13825.0,48.30774391479667,61.31357007187191
Greenwich,2024-25,gross,48826.0,162.07316627884975,162.07316627884975
Greenwich,2024-25,income,26033.0,86.41401584682947,86.41401584682947
Greenwich,2024-25,nce,22793.0,75.65915043202028,75.65915043202028
Harrogate,2013-14,gross,2549.0,16.108748270000063,22.05848315483126
Harrogate,2013-14,income,385.0,2.433059271851716,3.331704988077691
Harrogate,2013-14,nce,2164.0,13.675688998148347,18.72677816675357
Harrogate,2018-19,gross,2373.0,14.782007437723085,18.761746572854435
Harrogate,2018-19,income,184.0,1.146181781938916,1.4547666959145453
Harrogate,2018-19,nce,2189.0,13.635825655784169,17.30697987693989
North Yorkshire,2018-19,gross,5851.0,9.521484772296402,12.084940766518388
North Yorkshire,2018-19,income,102.0,0.16598725803695658,0.21067577477095803
North Yorkshire,2018-19,nce,5749.0,9.355497514259445,11.87426499174743
North Yorkshire,2024-25,gross,24809.04,39.14999715950336,39.14999715950336
North Yorkshire,2024-25,income,9730.0,15.354462420229385,15.354462420229385
North Yorkshire,2024-25,nce,15079.04,23.79553473927397,23.79553473927397
North Yorkshire CC,2013-14,gross,13865.0,23.003246834046465,31.499451372036212
North Yorkshire CC,2013-14,income,0.0,0.0,0.0
North Yorkshire CC,2013-14,nce,13865.0,23.003246834046465,31.499451372036212
Plymouth UA,2013-14,gross,13409.0,51.7372431754606,70.84629345091267
Plymouth UA,2013-14,income,1326.0,5.116234204687952,7.00590537071446
Plymouth UA,2013-14,nce,12083.0,46.62100897077264,63.8403880801982
Plymouth UA,2018-19,gross,7393.805921353934,28.10264508306322,35.66868081325499
Plymouth UA,2018-19,income,1538.6323600000003,5.8480895477004955,7.422562496438316
Plymouth UA,2018-19,nce,5855.173561353933,22.254555535362726,28.246118316816673
Plymouth UA,2024-25,gross,18510.0,68.075497234318,68.075497234318
Plymouth UA,2024-25,income,5349.0,19.672384370954454,19.672384370954454
Plymouth UA,2024-25,nce,13161.0,48.40311286336354,48.40311286336354
Richmond upon Thames,2013-14,gross,10502.0,54.879418911504196,75.14902569188504
Richmond upon Thames,2013-14,income,2094.0,10.942439840096151,14.984008741078581
Richmond upon Thames,2013-14,nce,8408.0,43.93697907140804,60.165016950806454
Richmond upon Thames,2018-19,gross,13178.0,66.92601470767481,84.94441180378236
Richmond upon Thames,2018-19,income,4972.0,25.250883679356438,32.0491436855673
Richmond upon Thames,2018-19,nce,8206.0,41.67513102831837,52.89526811821506
Richmond upon Thames,2024-25,gross,29740.0,150.98362736387867,150.98362736387867
Richmond upon Thames,2024-25,income,9090.0,46.147988323391296,46.147988323391296
Richmond upon Thames,2024-25,nce,20650.0,104.83563904048737,104.83563904048737
Rushmoor,2013-14,gross,2992.0,31.504353960682735,43.140425903840814
Rushmoor,2013-14,income,592.0,6.233481799707279,8.535806194877594
Rushmoor,2013-14,nce,2400.0,25.270872160975454,34.60461970896322
Rushmoor,2018-19,gross,3822.0,40.17153307687457,50.98685859864868
Rushmoor,2018-19,income,671.0,7.052616089634441,8.951382030270345
Rushmoor,2018-19,nce,3151.0,33.11891698724013,42.035476568378336
Rushmoor,2024-25,gross,2886.17,27.371590607336596,27.371590607336596
Rushmoor,2024-25,income,972.76,9.225370812943364,9.225370812943364
Rushmoor,2024-25,nce,1913.41,18.146219794393232,18.146219794393232
South Gloucestershire UA,2013-14,gross,7929.0,29.464116503844195,40.34663070515723
South Gloucestershire UA,2013-14,income,1591.0,5.912146469619891,8.095786284765438
South Gloucestershire UA,2013-14,nce,6338.0,23.551970034224304,32.25084442039179
South Gloucestershire UA,2018-19,gross,7129.429,25.22405924059948,32.015097340777025
South Gloucestershire UA,2018-19,income,2128.0,7.528905619790266,9.555902322776975
South Gloucestershire UA,2018-19,nce,5001.429,17.695153620809215,22.459195018000052
South Gloucestershire UA,2024-25,gross,11060.0,36.171451371310084,36.171451371310084
South Gloucestershire UA,2024-25,income,4648.0,15.201166905411327,15.201166905411327
South Gloucestershire UA,2024-25,nce,6412.0,20.97028446589876,20.97028446589876
Uttlesford,2013-14,gross,1641.0,19.846885091252133,27.177293550273795
Uttlesford,2013-14,income,204.0,2.4672544537571204,3.3785300940011296
Uttlesford,2013-14,nce,1437.0,17.379630637495012,23.798763456272663
Uttlesford,2018-19,gross,1759.0,19.72437457248904,25.03474028112757
Uttlesford,2018-19,income,715.0,8.017582614741139,10.17614513985572
Uttlesford,2018-19,nce,1044.0,11.7067919577479,14.858595141271847
Uttlesford,2024-25,gross,1346.46,14.180278664181227,14.180278664181227
Uttlesford,2024-25,income,534.98,5.6341558455235745,5.6341558455235745
Uttlesford,2024-25,nce,811.48,8.546122818657652,8.546122818657652
