scope,year,n_authorities,ctr_cash_bn,nre_cash_bn,ctr_real_bn,nre_real_bn,settlement_real_bn,ct_share_of_nre_pct,ct_share_of_financing_pct
England (5 principal classes),2013-14,353,19.77,42.11,27.08,57.66,32.77,47.0,45.1
England (5 principal classes),2018-19,353,25.17,40.63,31.95,51.57,20.46,62.0,60.2
England (5 principal classes),2024-25,316,34.17,54.27,34.17,54.27,18.72,63.0,63.7
