ecode,ons_code,name,cls,council_tax_requirement,net_revenue_expenditure,ct_share_pct,ct_share_financing_pct,class_percentile,population,ctr_per_head,ct_share_pct_2013_14,ct_share_pp_change_2013_2024,excluded_from_rankings,share_artefact,fin_incomplete
E1701,E06000044,Portsmouth UA,UA,100925.0,176053.0,57.3,53.5,16.9,212936.0,473.97,44.3,13.0,False,False,False
E0703,E06000003,Redcar & Cleveland UA,UA,78803.0,139792.0,56.4,59.0,32.2,138788.0,567.79,40.4,16.0,False,False,False
E1001,E06000015,Derby City UA,UA,124961.0,224697.24,55.6,55.2,18.6,273656.0,456.64,41.0,14.6,False,False,False
E1101,E06000026,Plymouth UA,UA,138768.0,256775.0,54.0,58.4,30.5,271904.0,510.36,40.6,13.4,False,False,False
E0304,E06000039,Slough UA,UA,81444.0,151465.27,53.8,63.3,43.2,166739.0,488.45,38.1,15.7,False,False,False
E2004,E06000013,North Lincolnshire UA,UA,90885.0,169950.06,53.5,56.2,23.7,171424.0,530.18,46.1,7.4,False,False,False
E3201,E06000020,Telford & the Wrekin UA,UA,93092.0,173858.0,53.5,56.8,25.4,196090.0,474.74,41.5,12.0,False,False,False
E3001,E06000018,Nottingham City UA,UA,148879.0,279729.0,53.2,47.1,13.6,330561.0,450.38,30.7,22.5,False,False,False
E0701,E06000001,Hartlepool UA,UA,51229.0,99168.0,51.7,52.6,15.3,97868.0,523.45,34.0,17.7,False,False,False
E0501,E06000031,Peterborough UA,UA,104266.0,207846.81,50.2,55.3,20.3,224152.0,465.16,41.2,9.0,False,False,False
E2301,E06000008,Blackburn with Darwen UA,UA,69563.0,142272.3,48.9,45.3,6.8,161618.0,430.42,30.7,18.2,False,False,False
E0702,E06000002,Middlesbrough UA,UA,71438.0,146993.27,48.6,45.8,8.5,154700.0,461.78,29.2,19.4,False,False,False
E2401,E06000016,Leicester City UA,UA,153587.0,342027.81,44.9,46.2,11.9,386755.0,397.12,25.9,19.0,False,False,False
E2302,E06000009,Blackpool UA,UA,74755.0,168860.0,44.3,46.0,10.2,143353.0,521.47,31.1,13.2,False,False,False
E3401,E06000021,Stoke-on-Trent UA,UA,111063.0,261406.84,42.5,44.9,5.1,270010.0,411.33,32.8,9.7,False,False,False
E2002,E06000010,Kingston-upon-Hull UA,UA,112116.0,271748.0,41.3,42.1,1.7,274727.0,408.1,24.7,16.6,False,False,False
E0601,E06000006,Halton UA,UA,64253.0,158139.0,40.6,42.8,3.4,131247.0,489.56,33.2,7.4,False,False,False
E4001,E06000053,Isles of Scilly,UA,1969.0,7833.0,25.1,30.5,,2383.0,826.27,27.1,-2.0,True,False,False
