company,variant,publishers,txns,gbp
Microsoft,MSFT *<E0400DZ2SF>,1,1,935.12
Microsoft,MSFT  <E07002KKOR>,1,1,909.34
Microsoft,Microsoft G051998628,1,1,894.3
Microsoft,Microsoft 365,1,1,881.72
Microsoft,Microsoft G021740723,1,1,842.85
Microsoft,MSFT   E0600D45TU,1,1,815.0
Microsoft,MSFT  <E0600FB4QM>,1,1,810.16
Microsoft,MSFT  <E07002PA6D>,1,1,789.05
Microsoft,MSFT   E0600HQJLQ,1,1,723.82
Microsoft,Microsoft G050474753,1,1,708.6
Microsoft,MSFT  <E0600FZG18>,1,1,678.63
Microsoft,MSFT  <E020026R0E>,1,1,673.92
Microsoft,Microsoft G020361392,1,1,662.76
Microsoft,Microsoft G022612334,1,1,656.19
Microsoft,MSFT  <E0600DET8O>,1,1,619.04
Microsoft,MSFT   E0600CJ7N9,1,1,617.77
Microsoft,MSFT   E0600CTQ9D,1,1,614.17
Microsoft,MICROSOFT  STORE,1,1,609.98
Microsoft,MSFT   E0600EZM28,1,1,609.72
Microsoft,MSFT   E0600J81R9,1,1,599.08
Microsoft,MSFT  <E0600C8VVR>,1,1,578.33
Microsoft,MSFT  <E0600EC86D>,1,1,577.43
Microsoft,MSFT   E0100DFGGS,1,1,575.75
Microsoft,MSFT  <E05004FSSG>,1,1,568.8
Microsoft,MSFT   E0100EOHNG,1,1,561.6
Microsoft,MSFT   E0600IUKLE,1,1,559.73
Microsoft,MSFT  <E0100FBWGD>,1,1,559.32
Microsoft,Microsoft G033145125,1,1,546.8
Microsoft,MSFT   E0600IUA0I,1,1,535.01
Microsoft,MSFT   E0600HDLPJ,1,1,528.73
Microsoft,Microsoft G019722228,1,1,528.01
Microsoft,MSFT   E0500TSW02,1,1,524.3
Microsoft,MSFT   E0800NV8D3,1,1,520.85
Microsoft,MSFT   E0100D4NRQ,1,1,515.08
Microsoft,MSFT  <E0300QMH9O>,1,1,514.8
Microsoft,MSFT  <E0100EOGRL>,1,1,511.92
Microsoft,MSFT  <E0100F04XT>,1,1,511.92
Microsoft,MSFT   E0600J856B,1,1,510.33
Microsoft,MSFT   E0600GBRZA,1,1,423.96
Microsoft,MSFT   *AZUREMARKET,1,6,234.46
Microsoft,Microsoft Stor/Bibit,1,2,200.82
Microsoft,MICROSOFT STOR/BIBIT,1,1,165.98
Microsoft,MSFT    MICROSOFTSTORE,1,1,119.99
Microsoft,MSFT *<E04002WBT3>,1,1,59.11
Microsoft,MSFT *<E04002RFLN>,1,1,56.4
Microsoft,MSFT *<E04000W0NX>,1,1,-4428.0
Amazon (incl. AWS),Amazon Web Services UK,1,807,448858035.75
Amazon (incl. AWS),AMAZON WEB SERVICES EMEA SARL,4,200,218061152.15
Amazon (incl. AWS),AMAZON WEB SERVICES,2,369,66481710.17
Amazon (incl. AWS),AMAZON WEB SERVICES INC,2,60,23994881.39
Amazon (incl. AWS),Amazon Web Services,4,51,7991075.07
Amazon (incl. AWS),"AMAZON WEB SERVICES, INC",1,5,3849098.0
Amazon (incl. AWS),Amazon Web Services Inc,1,21,1985677.29
Amazon (incl. AWS),AMAZON PAYMENTS UK LTD,3,129,1883069.16
Amazon (incl. AWS),AMAZON WEB SERCICES EMEA SARL,1,1,1559819.0
Amazon (incl. AWS),AMAZON,5,892,998048.02
Amazon (incl. AWS),Amazon Web Services Emea Sarl,1,15,918448.11
Amazon (incl. AWS),Amazon Web Services EMEA SARL,4,39,628872.32
Amazon (incl. AWS),Amazon Web Services t/a Amazon Web SVS EMEA SARL,1,81,430986.88
Amazon (incl. AWS),AMAZON WEB SERVICES UK LTD,1,9,426671.0
Amazon (incl. AWS),AMZNMKTPLACE,2,369,397726.24
Amazon (incl. AWS),AMAZON MKTP,1,368,384888.19
Amazon (incl. AWS),AMAZON UK MARKETPLACE,3,278,228575.54
Amazon (incl. AWS),AMZNMKTPLACE AMAZON.CO,2,198,207806.0
Amazon (incl. AWS),Amazon EU,8,819,96626.66
Amazon (incl. AWS),AMAZON EU,7,334,94679.3
Amazon (incl. AWS),"AMAZON BUSINESS EU SARL, UK BRANCH",1,56,88569.16
Amazon (incl. AWS),AMAZON MKTPLACE PMTS,3,92,75370.93
Amazon (incl. AWS),"AMAZON WEB SERVICES, INC.",1,1,70987.0
Amazon (incl. AWS),Amazon  Mktplce EU-UK,4,718,67387.49
Amazon (incl. AWS),Amazon EU SARL,1,89,55535.0
Amazon (incl. AWS),Amazon,9,50,53472.93
Amazon (incl. AWS),AWS EMEA,2,48,49056.59
Amazon (incl. AWS),AMAZON UK RETAIL AMAZO,3,71,41175.35
Amazon (incl. AWS),Amazon *Mktplce EU-UK,3,228,39749.28
Amazon (incl. AWS),PES AMAZON.CN / AMAZO,1,41,33652.38
Amazon (incl. AWS),"AMAZON SVCS EUROPE,SAR",2,31,25872.64
Amazon (incl. AWS),AMAZON SVCS EU-UK AMAZ,4,41,24578.62
Amazon (incl. AWS),AMAZON.CO.JP,2,26,24528.94
Amazon (incl. AWS),AMAZON.AE,1,11,19590.36
Amazon (incl. AWS),Amazon UK Marketplace,4,240,19537.85
Amazon (incl. AWS),AMAZON MARKETPLACE-,1,12,19333.97
Amazon (incl. AWS),AMZNMktplace,2,17,18283.86
Amazon (incl. AWS),AMAZON MKTPLCE EU-UK,3,73,16924.95
Amazon (incl. AWS),AMAZON  MKTPLCE EU-UK,5,154,13196.97
Amazon (incl. AWS),AMAZON EU AMAZON.CO.UK,5,23,12875.77
Amazon (incl. AWS),AMAZON WEB,1,1,12707.33
Amazon (incl. AWS),Amznmktplace,1,14,12207.82
Amazon (incl. AWS),AMAZON MARKETPLACE,3,13,11650.59
Amazon (incl. AWS),AMAZON.CO.UK,3,35,11438.81
Amazon (incl. AWS),Amazon Marketplace,3,6,10373.77
Amazon (incl. AWS),AMAZON.DE,2,12,9921.79
Amazon (incl. AWS),Amazon UK Retail,4,114,9370.4
Amazon (incl. AWS),AMAZON MKTPLCE EU-FR,1,7,7692.81
Amazon (incl. AWS),AMZN MKTP FR,1,9,7314.86
Amazon (incl. AWS),Amazon web services,1,10,6785.33
Amazon (incl. AWS),AMAZON PAY,1,7,6630.78
Amazon (incl. AWS),AMAZON MX MARKETPLACE,1,9,5922.77
Amazon (incl. AWS),AMAZON UK RETAIL,1,8,5614.81
Amazon (incl. AWS),AMAZON.CO.UK 6X6DJ01T5,1,1,5400.0
Amazon (incl. AWS),AMAZON WEB SERVICES EMEA SARL UK BRANCH,1,4,4908.6
Amazon (incl. AWS),AMAZON  MKTPLCE EU-ES,1,3,4862.88
Amazon (incl. AWS),AMAZONS SVCS,1,6,4749.93
Amazon (incl. AWS),AMAZON.ES PAYMENTS,1,6,4465.49
Amazon (incl. AWS),AMAZON.COM AMZN.COM/BI,1,6,4298.99
Amazon (incl. AWS),AMAZON.COM PAYMENTS,2,6,4191.33
Amazon (incl. AWS),AMAZON.CO.UK 214D79OL4,1,1,4000.0
Amazon (incl. AWS),AMAZON.CO.UK 216QZ6ZO4,1,1,4000.0
Amazon (incl. AWS),AMAZON.CO.UK 2X4O68W84,1,1,4000.0
Amazon (incl. AWS),AMAZON.COM,3,7,3947.96
Amazon (incl. AWS),AMAZON.DE AMAZON.DE,1,3,3788.35
Amazon (incl. AWS),AMAZON.CO.UK MS1086LP4,1,1,3750.0
Amazon (incl. AWS),Amazon *Marketplce JP,1,4,3644.31
Amazon (incl. AWS),Amazon  Mktplce EU-UK    AMAZON.CO.UK,1,6,3448.85
Amazon (incl. AWS),AMAZON  MKTPLCE EU-UK    AMAZON.CO.UK,2,41,3119.82
Amazon (incl. AWS),AMAZON.CO.UK MU5VK08U4,1,1,3000.0
Amazon (incl. AWS),AMAZON.CO.UK MU5VQ9854,1,1,3000.0
Amazon (incl. AWS),AMAZON.CO.UK MU6MC3YE4,1,1,3000.0
Amazon (incl. AWS),AMAZON PAY INDIA PRIVA,1,4,2984.84
Amazon (incl. AWS),AMAZON.CO.UK MY0BN6NC4,1,1,2903.89
Amazon (incl. AWS),AMAZON.CO.UK 2105M12W4,1,1,2900.0
Amazon (incl. AWS),AMAZON.CO.UK 219FN1H94,1,1,2900.0
Amazon (incl. AWS),AMAZON.CO.UK 252XD1U14,1,1,2900.0
Amazon (incl. AWS),AMAZON.CO.UK 256PR4774,1,1,2900.0
Amazon (incl. AWS),AMAZON.CO.UK DR0IQ4W35,1,1,2900.0
Amazon (incl. AWS),AMAZON.CO.UK MU76O2QG4,1,1,2900.0
Amazon (incl. AWS),AMAZON RETAIL-,1,2,2894.25
Amazon (incl. AWS),AMAZON.CO.UK MC4XS0KT4,1,1,2855.83
Amazon (incl. AWS),AMAZON MKTPLCE EU-DE,1,4,2821.85
Amazon (incl. AWS),AMAZON.CO.UK HQ3P918W5,1,1,2800.0
Amazon (incl. AWS),AMAZON.CO.UK 251241U84,1,1,2600.0
Amazon (incl. AWS),AMAZON MKTPLCE EU-IT,1,3,2580.09
Amazon (incl. AWS),AMZN MKTP FR MM73U5Y04,1,1,2573.2
Amazon (incl. AWS),AMAZON.CO.UK RF4L56F15,1,1,2525.0
Amazon (incl. AWS),AMAZON.CO.UK 2R6U60YF4,1,1,2500.0
Amazon (incl. AWS),AMAZON.CO.UK MF6N00OM4,1,1,2474.99
Amazon (incl. AWS),AMZN MKTP DE 2G7B280F4,1,1,2461.08
Amazon (incl. AWS),AMAZON.CO.UK S80M12A75,1,1,2447.08
Amazon (incl. AWS),AMAZON.CO.UK GN8AH6355,1,1,2424.98
Amazon (incl. AWS),AMZN MKTP FR MU8JL74S4,1,1,2410.11
Amazon (incl. AWS),AMAZON.CO.UK B985Z56N5,1,1,2403.99
Amazon (incl. AWS),AMAZON DE RETAIL AMAZO,1,3,2399.6
Amazon (incl. AWS),AMAZON.CO.UK 4E9LD6AR5,1,1,2395.0
Amazon (incl. AWS),AMAZON.CO.UK I12DI56B5,1,1,2395.0
Amazon (incl. AWS),AMZN MKTP DE MU36Q6JC4,1,1,2349.83
Amazon (incl. AWS),AMZN MKTP US 1Z55F31V1,1,1,2329.85
Amazon (incl. AWS),AMZN MKTP DE,1,3,2328.23
Amazon (incl. AWS),AMAZON.CO.UK 2E2197A54,1,1,2300.0
Amazon (incl. AWS),AMZN MKTP FR MU5A89HT4,1,1,2274.99
Amazon (incl. AWS),AMAZON.CO.UK MT15E92T5,1,1,2251.48
Amazon (incl. AWS),AMAZON.CO.UK 2T8NC1IL4,1,1,2249.95
Amazon (incl. AWS),Amazon* 202-8498849-90,1,1,2239.0
Amazon (incl. AWS),AMAZON MX,1,2,2208.18
Amazon (incl. AWS),Amazon Svcs Europe SAR,1,37,2200.56
Amazon (incl. AWS),AMAZON.CO.UK 291QX0SJ4,1,1,2200.0
Amazon (incl. AWS),AMAZON.CO.UK MF8Q60884,1,1,2199.0
Amazon (incl. AWS),AMAZON.CO.UK 2H0ZW5785,1,1,2198.0
Amazon (incl. AWS),AMAZON.FR PAYMENTS,1,3,2171.15
Amazon (incl. AWS),AMZN MKTP DE MU51N1PA4,1,1,2085.16
Amazon (incl. AWS),AMZN MKTP US 290QV9HW1,1,1,2056.16
Amazon (incl. AWS),AMAZON.CO.UK 218DT6JI4,1,1,2000.0
Amazon (incl. AWS),AMAZON.CO.UK MF3K252K4,1,1,2000.0
Amazon (incl. AWS),AMAZON.CO.UK MF5SL4D64,1,1,2000.0
Amazon (incl. AWS),AMAZON.CO.UK MF7QH8WN4,1,1,2000.0
Amazon (incl. AWS),AMAZON.CO.UK MF8D137B4,1,1,2000.0
Amazon (incl. AWS),AMAZON.CO.UK 295E23994,1,1,1999.0
Amazon (incl. AWS),AMAZON.CO.UK MM1JA6YU4,1,1,1997.54
Amazon (incl. AWS),AMAZON.CO.UK MM30K1YM4,1,1,1997.54
Amazon (incl. AWS),AMAZON.CO.UK MM50C2YC4,1,1,1997.53
Amazon (incl. AWS),AMAZON.CO.UK 6D8EY2C95,1,1,1986.0
Amazon (incl. AWS),AMAZON.CO.UK 6O5476BX5,1,1,1957.66
Amazon (incl. AWS),AMAZON.IT MY3714224,1,1,1952.37
Amazon (incl. AWS),AMAZON.CO.UK MC3GX8SS4,1,1,1950.0
Amazon (incl. AWS),AMAZON.CO.UK 2P1Z89234,1,1,1908.72
Amazon (incl. AWS),AMAZON SVCS EU-UK AMAZON.,1,2,1899.79
Amazon (incl. AWS),AMAZON DE MARKETPLACE,1,3,1894.17
Amazon (incl. AWS),AMAZON.CO.UK 2X58G4SO4,1,1,1880.49
Amazon (incl. AWS),AMAZON.CO.UK MY1RV6LN4,1,1,1845.99
Amazon (incl. AWS),Amazon* 204-3525103-87,1,1,1820.57
Amazon (incl. AWS),Amazon* 204-6034880-98,1,1,1820.57
Amazon (incl. AWS),AMAZON.CO.UK 2710D0HN4,1,1,1800.0
Amazon (incl. AWS),AMAZON.CO.UK 272IX75E4,1,1,1800.0
Amazon (incl. AWS),AMAZON.CA PAYMENTS,1,2,1796.29
Amazon (incl. AWS),AMZN MKTP US H07IW1273,1,1,1773.93
Amazon (incl. AWS),AMZN MKTP FR MU7AZ3FT4,1,1,1739.14
Amazon (incl. AWS),AMZN MKTP DE JE21R8CM5,1,1,1709.84
Amazon (incl. AWS),AMAZON.CO.UK 218537ON4,1,1,1700.0
Amazon (incl. AWS),Amazon.Co.Uk,1,3,1693.88
Amazon (incl. AWS),AMAZON.CO.UK MY4AX2EP4,1,1,1600.0
Amazon (incl. AWS),AMZN MKTP US XI3009H73,1,1,1574.31
Amazon (incl. AWS),AMZN MKTP US 282WC1600,1,1,1572.16
Amazon (incl. AWS),AMAZON.CO.UK MU6S944V4,1,1,1560.0
Amazon (incl. AWS),AMZN MKTP UK*MI02R0SL4 AM,1,1,1549.0
Amazon (incl. AWS),AMZN MKTP US ZE0WO97H3,1,1,1539.84
Amazon (incl. AWS),AMAZON.CO.UK EB4200355,1,1,1500.0
Amazon (incl. AWS),AMAZON.CO.UK MM7HD5F04,1,1,1500.0
Amazon (incl. AWS),AMAZON.CO.UK 212YZ4RX4,1,1,1497.0
Amazon (incl. AWS),AMZN MKTP US 169ZB32I2,1,1,1494.67
Amazon (incl. AWS),AMZN MKTP FR 2L9890E14,1,1,1489.06
Amazon (incl. AWS),AMZN MKTP US GO8XS4QK3,1,1,1487.73
Amazon (incl. AWS),AMZN MKTP US 280O36KM2,1,1,1476.75
Amazon (incl. AWS),AMAZON.CO.UK MU6XY1NN4,1,1,1468.91
Amazon (incl. AWS),AMAZON.CO.UK 2P9WN9X05,1,1,1468.25
Amazon (incl. AWS),AMZN MKTP US 1Z6DH07W0,1,1,1465.28
Amazon (incl. AWS),AMZN MKTP US 1B7J48UT1,1,1,1452.16
Amazon (incl. AWS),AMZN MKTP FR M767H3SU4,1,1,1432.89
Amazon (incl. AWS),AMAZON.CO.UK MY2E05D14,1,1,1430.0
Amazon (incl. AWS),AMAZON MARKETPLCE EU-,1,2,1426.67
Amazon (incl. AWS),AMAZON.CO.UK MJ5BL6DL4,1,1,1425.0
Amazon (incl. AWS),AMAZON.CO.UK M49VA6674,1,1,1404.92
Amazon (incl. AWS),AMAZON EU SARL  2090401,1,1,1400.62
Amazon (incl. AWS),AMAZON.CO.UK M46RH07G4,1,1,1399.93
Amazon (incl. AWS),AMAZON.CO.UK TR0B45GM5,1,1,1399.9
Amazon (incl. AWS),AMZN MKTP US H89RX98D2,1,1,1391.01
Amazon (incl. AWS),AMZN MKTP FR MU56Q7L74,1,1,1383.62
Amazon (incl. AWS),AMAZON.CO.UK 2X64J7S84,1,1,1375.0
Amazon (incl. AWS),AMZN MKTP IT OQ9NC8TW5,1,1,1372.43
Amazon (incl. AWS),AMAZON.CO.UK CM79A59N5,1,1,1357.5
Amazon (incl. AWS),AMAZON.CO.UK 2X0L89WJ4,1,1,1350.0
Amazon (incl. AWS),AMZN MKTP IT 418QV0IM5,1,1,1349.35
Amazon (incl. AWS),AMAZON SERVICES EU-IT,1,2,1343.17
Amazon (incl. AWS),AMAZON-MARKETPLACE,1,2,1324.64
Amazon (incl. AWS),AMZN MKTP DE MF0998I34,1,1,1318.47
Amazon (incl. AWS),AMAZON.FR MS91I44E4,1,1,1316.16
Amazon (incl. AWS),AMAZON.CO.UK MM60Y0ZJ4,1,1,1300.0
Amazon (incl. AWS),AMAZON.CO.UK MV6OE0A94,1,1,1300.0
Amazon (incl. AWS),AMAZON.CO.UK O040L59D5,1,1,1300.0
Amazon (incl. AWS),AMZN MKTP ES MY5OS4Z74,1,1,1290.68
Amazon (incl. AWS),AMZN MKTP US NS7UI5VY3,1,1,1287.95
Amazon (incl. AWS),AMZN MKTP US EL3QP5AV3,1,1,1287.93
Amazon (incl. AWS),AMAZON  MKTPLCE EU-DE,1,2,1273.63
Amazon (incl. AWS),AMZN Mktp UK*MI6QG59W4,1,1,1257.07
Amazon (incl. AWS),AMZN MKTP FR PJ9JT7JS5,1,1,1253.69
Amazon (incl. AWS),AMAZON.CO.UK ND7I13SN5,1,1,1250.0
Amazon (incl. AWS),AMAZON.CO.UK MC2F05SD4,1,1,1249.82
Amazon (incl. AWS),AMZN MKTP IT MK9O79GQ4,1,1,1244.87
Amazon (incl. AWS),AMAZON.CO.UK 2L9FI0X34,1,1,1234.86
Amazon (incl. AWS),AMAZON.CO.UK TB4B23TX5,1,1,1219.1
Amazon (incl. AWS),AMAZON EU                AMAZON.CO.UK,1,32,1218.87
Amazon (incl. AWS),AMAZON.CO.UK 2D81L0TT4,1,1,1214.84
Amazon (incl. AWS),AMZN MKTP US 2E69P2X42,1,1,1210.34
Amazon (incl. AWS),AMAZON.CO.UK 2X5L02WI4,1,1,1200.0
Amazon (incl. AWS),AMAZON.CO.UK 605V708W5,1,1,1200.0
Amazon (incl. AWS),AMAZON.CO.UK M49087XA4,1,1,1200.0
Amazon (incl. AWS),AMAZON.CO.UK MM1CN6NB4,1,1,1200.0
Amazon (incl. AWS),AMAZON.CO.UK MM2C92584,1,1,1200.0
Amazon (incl. AWS),AMAZON.CO.UK 7H2734425,1,1,1198.0
Amazon (incl. AWS),AMZN MKTP US I05YS6SS3,1,1,1195.47
Amazon (incl. AWS),AMZN MKTP UK MJ1R95DO4,1,1,1194.93
Amazon (incl. AWS),AMZN MKTP US 4M8993H73,1,1,1186.07
Amazon (incl. AWS),AMZN MKTP DE 342Z82N15,1,1,1169.96
Amazon (incl. AWS),AMAZON.COM O14Q635Y3,1,1,1162.7
Amazon (incl. AWS),AMAZON.CO.UK 2R6WU0JO4,1,1,1150.0
Amazon (incl. AWS),AMAZON.CO.UK MY30U01H4,1,1,1150.0
Amazon (incl. AWS),AMZN MKTP US OD1EY6SR3,1,1,1149.45
Amazon (incl. AWS),AMZN MKTP DE MF3NW27I4,1,1,1141.85
Amazon (incl. AWS),AMAZONRETAIL MU0XS6NE4,1,1,1136.0
Amazon (incl. AWS),AMAZON.CO.UK MU0H98TM4,1,1,1133.61
Amazon (incl. AWS),Amazon marketplace,1,2,1131.79
Amazon (incl. AWS),AMAZON.CO.UK MV4075HO4,1,1,1125.06
Amazon (incl. AWS),AMAZON.IT PAYMENTS,1,2,1119.69
Amazon (incl. AWS),AMZN MKTP US 2L1OR7XJ0,1,1,1110.21
Amazon (incl. AWS),AMAZON.CO.UK 2L57J4IE4,1,1,1103.99
Amazon (incl. AWS),AMZN MKTP US 1Z1L07RK0,1,1,1103.99
Amazon (incl. AWS),Amazon UK,1,1,1103.4
Amazon (incl. AWS),AMAZON.CO.UK AT4GF9SS5,1,1,1102.2
Amazon (incl. AWS),AMZN MKTP DE 2G0SA2G84,1,1,1100.07
Amazon (incl. AWS),AMAZON.CO.UK 2R0ZX8CH4,1,1,1100.0
Amazon (incl. AWS),AMAZON.CO.UK 2R21B2F64,1,1,1099.99
Amazon (incl. AWS),AMZN MKTP US 1O07G3NJ1,1,1,1086.21
Amazon (incl. AWS),AMAZON UK RETAIL AMAZON.C,2,14,1083.17
Amazon (incl. AWS),AMZN MKTP US PS9MF1E13,1,1,1078.49
Amazon (incl. AWS),AMAZON.COM CT6GJ96R3,1,1,1072.36
Amazon (incl. AWS),AMZN MKTP DE UW7PQ4BT5,1,1,1066.89
Amazon (incl. AWS),AMZN MKTP ES 2L1RX9N44,1,1,1063.45
Amazon (incl. AWS),AMAZON.CO.UK 2719B2PX4,1,1,1053.2
Amazon (incl. AWS),AMAZON.CO.UK 214RK61I4,1,1,1050.0
Amazon (incl. AWS),AMAZON.CO.UK 2R0AH4CR4,1,1,1050.0
Amazon (incl. AWS),AMAZON.CO.UK MJ0OY7KH4,1,1,1050.0
Amazon (incl. AWS),AMZN MKTP DE 211409K84,1,1,1040.76
Amazon (incl. AWS),AMAZON.ES MU0IV7NB4 AM,1,1,1032.73
Amazon (incl. AWS),AMZN Mktp UK*MI1KO7944,1,1,1028.52
Amazon (incl. AWS),AMZN MKTP ES TO4NM6N95,1,1,1024.68
Amazon (incl. AWS),AMZN MKTP ES NE9D71LZ5,1,1,1021.81
Amazon (incl. AWS),AMAZON.CO.UK MP7H715V5,1,1,1011.24
Amazon (incl. AWS),AMAZON.CO.UK MM6NO99U4,1,1,1004.96
Amazon (incl. AWS),AMAZON.CO.UK N48XF2A95,1,1,1003.99
Amazon (incl. AWS),AMZN MKTP US 2C8U17SP2,1,1,1002.53
Amazon (incl. AWS),AMZN MKTP ES FV15D2EX5,1,1,1000.66
Amazon (incl. AWS),AMAZON.CO.UK 292TQ8L34,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK 294EN3LU4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK 2977C43W4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK 2L3MI71Y4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK 2R15W4C44,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MF0NM6DQ4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MF2NC5DH4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MM2XP47E4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MM64N5DS4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MM7DX7GH4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MM7J817S4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MM7VD8NT4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MM86B35I4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MS4N63LD4,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK OI0AJ0645,1,1,1000.0
Amazon (incl. AWS),AMAZON.CO.UK MV9H745V4,1,1,995.0
Amazon (incl. AWS),AMAZONRETAIL MU72C5ND4,1,1,994.0
Amazon (incl. AWS),AMZN MKTP ES W81UV3ES5,1,1,993.09
Amazon (incl. AWS),AMAZON.CO.UK MU3B12CC4,1,1,985.0
Amazon (incl. AWS),AMAZON.CO.UK CL0NP3TI5,1,1,984.9
Amazon (incl. AWS),Amazon Svcs EU-ES,1,1,979.43
Amazon (incl. AWS),AMAZON.COM 6F8FT1P33,1,1,979.31
Amazon (incl. AWS),AMAZON.CO.UK 855790N75,1,1,975.0
Amazon (incl. AWS),AMAZON.CO.UK MU0CB7CU4,1,1,975.0
Amazon (incl. AWS),AMAZON.CO.UK MU4D27CZ4,1,1,975.0
Amazon (incl. AWS),AMAZON.CO.UK Z20DE5J85,1,1,975.0
Amazon (incl. AWS),AMZN MKTP DE X66SK48S5,1,1,965.99
Amazon (incl. AWS),2C2 AMAZON RETAIL SG,1,1,957.5
Amazon (incl. AWS),AMAZON.COM SB5FI3U73 A,1,1,955.5
Amazon (incl. AWS),AMZN MKTP ES IQ5YS9TF5,1,1,955.08
Amazon (incl. AWS),AMZN MKTP FR MU4L98UG4,1,1,952.73
Amazon (incl. AWS),Amazon Prime,1,6,951.3
Amazon (incl. AWS),AMAZON.CO.UK 219UZ3OK4,1,1,950.0
Amazon (incl. AWS),AMAZON.CO.UK 2X3LI3WN4,1,1,950.0
Amazon (incl. AWS),AMAZON.CO.UK MH9CB1285,1,1,950.0
Amazon (incl. AWS),AMAZON.CO.UK MM5G015M4,1,1,950.0
Amazon (incl. AWS),AMAZON.CO.UK MM9B915K4,1,1,950.0
Amazon (incl. AWS),AMAZON.CO.UK IX85940S5,1,1,947.88
Amazon (incl. AWS),AMAZON.CO.UK MM2TB45V4,1,1,925.0
Amazon (incl. AWS),AMZN MKTP IT R252R0WY5,1,1,923.27
Amazon (incl. AWS),Amazon Mktplce EU-UK,1,1,918.84
Amazon (incl. AWS),AMZN MKTP US FL4BH29O3,1,1,916.74
Amazon (incl. AWS),AMZN MKTP US 219BC20Z1,1,1,908.93
Amazon (incl. AWS),AMAZON.COM 1O90O0YU0 A,1,1,906.24
Amazon (incl. AWS),AMAZON RETAIL,1,1,902.66
Amazon (incl. AWS),AMAZON.CO.UK 2R9760CT4,1,1,900.0
Amazon (incl. AWS),AMAZON.CO.UK 2X0R74WO4,1,1,900.0
Amazon (incl. AWS),AMAZON.CO.UK 2X2UK0WF4,1,1,900.0
Amazon (incl. AWS),AMAZON.CO.UK 2X3H93MT4,1,1,900.0
Amazon (incl. AWS),AMAZON.CO.UK MU1SA1OB4,1,1,900.0
Amazon (incl. AWS),AMAZON.CO.UK MU92U56N4,1,1,900.0
Amazon (incl. AWS),AMAZON.CO.UK MV69R9AU4,1,1,900.0
Amazon (incl. AWS),AMAZON.CO.UK MY19626X4,1,1,900.0
Amazon (incl. AWS),AMZN MKTP US UY1ET1ZR3,1,1,892.82
Amazon (incl. AWS),AMAZONRETAIL PP26H3MW5,1,1,888.32
Amazon (incl. AWS),Amazon Web Servces,1,1,886.48
Amazon (incl. AWS),AMZN MKTP US 0A9XL33S3,1,1,874.39
Amazon (incl. AWS),AMAZON.CO.UK N50ZC5D45,1,1,860.0
Amazon (incl. AWS),AMZN MKTP US N46Q98PB3,1,1,856.03
Amazon (incl. AWS),AMAZON.CO.UK 5A1W63WP5,1,1,854.49
Amazon (incl. AWS),AMAZON.CO.UK 216TP9SB4,1,1,850.0
Amazon (incl. AWS),AMAZON.CO.UK 2X4ZO2WT4,1,1,850.0
Amazon (incl. AWS),AMAZON.CO.UK MY8WZ3S74,1,1,850.0
Amazon (incl. AWS),AMZN MKTP FR 2P48995H4,1,1,848.54
Amazon (incl. AWS),AMZN MKTP US SI1IU0M33,1,1,846.09
Amazon (incl. AWS),AMZN MKTP IT 211TZ6OK4,1,1,841.69
Amazon (incl. AWS),AMZN MKTP US 163SQ3EM0,1,1,837.84
Amazon (incl. AWS),AMZN MKTP US D94EX9AO3,1,1,836.92
Amazon (incl. AWS),AMZN MKTP US 1A4FB4252,1,1,834.07
Amazon (incl. AWS),AMZN MKTP IT 216B179K4,1,1,833.61
Amazon (incl. AWS),AMZN MKTP ES 213PF5NB4,1,1,826.4
Amazon (incl. AWS),AMAZON.CO.UK AA51D9FH5,1,1,825.0
Amazon (incl. AWS),AMAZON.CO.UK KL65J46A5,1,1,825.0
Amazon (incl. AWS),AMAZON.COM 162AZ7ZA0,1,1,823.08
Amazon (incl. AWS),AMAZON.CO.UK 169EN0ZY5,1,1,820.0
Amazon (incl. AWS),AMAZON.CO.UK 2L2ZG8QJ4,1,1,810.0
Amazon (incl. AWS),AMAZON.CO.UK XR8VT08W5,1,1,803.6
Amazon (incl. AWS),AMAZON.CO.UK MS6YJ5TN4,1,1,803.49
Amazon (incl. AWS),AMAZON.CO.UK 2146Z9O04,1,1,800.0
Amazon (incl. AWS),AMAZON.CO.UK 217C750Q4,1,1,800.0
Amazon (incl. AWS),AMAZON.CO.UK 2R83K2IP4,1,1,800.0
Amazon (incl. AWS),AMAZON.CO.UK 2X8ZJ7WA4,1,1,800.0
