service,service_label,ons_code,name,cls,cls_label,real_per_head_2013_14,real_per_head_2024_25,change_pct
libraries,Libraries,E06000011,East Riding of Yorkshire UA,UA,Unitary,17.09,10.37,-39.3
libraries,Libraries,E06000049,Cheshire East UA,UA,Unitary,19.49,11.84,-39.2
libraries,Libraries,E06000018,Nottingham City UA,UA,Unitary,20.23,12.33,-39.1
libraries,Libraries,E09000030,Tower Hamlets,LB,London borough,36.43,22.3,-38.8
libraries,Libraries,E08000031,Wolverhampton,MD,Met district,18.58,11.41,-38.6
libraries,Libraries,E10000025,Oxfordshire CC,SC,Shire county,21.3,13.18,-38.1
libraries,Libraries,E08000019,Sheffield,MD,Met district,14.97,9.33,-37.7
libraries,Libraries,E08000017,Doncaster,MD,Met district,17.49,10.95,-37.4
libraries,Libraries,E10000016,Kent CC,SC,Shire county,18.96,12.04,-36.5
libraries,Libraries,E08000023,South Tyneside,MD,Met district,28.11,17.89,-36.4
libraries,Libraries,E06000024,North Somerset UA,UA,Unitary,16.22,10.39,-35.9
libraries,Libraries,E08000029,Solihull,MD,Met district,23.07,15.18,-34.2
libraries,Libraries,E08000001,Bolton,MD,Met district,18.77,12.42,-33.8
libraries,Libraries,E06000022,Bath & North East Somerset UA,UA,Unitary,21.27,14.12,-33.6
libraries,Libraries,E06000019,Herefordshire UA,UA,Unitary,11.2,7.49,-33.2
libraries,Libraries,E06000036,Bracknell Forest UA,UA,Unitary,23.52,15.76,-33.0
libraries,Libraries,E09000008,Croydon,LB,London borough,12.39,8.36,-32.5
libraries,Libraries,E06000014,York UA,UA,Unitary,19.58,13.45,-31.3
libraries,Libraries,E08000015,Wirral,MD,Met district,20.5,14.08,-31.3
libraries,Libraries,E09000006,Bromley,LB,London borough,25.69,17.82,-30.6
libraries,Libraries,E08000036,Wakefield,MD,Met district,20.09,13.93,-30.6
libraries,Libraries,E09000012,Hackney,LB,London borough,36.16,25.65,-29.1
libraries,Libraries,E10000031,Warwickshire CC,SC,Shire county,15.63,11.18,-28.5
libraries,Libraries,E06000023,Bristol UA,UA,Unitary,19.57,14.08,-28.1
libraries,Libraries,E06000044,Portsmouth UA,UA,Unitary,20.57,14.93,-27.4
libraries,Libraries,E09000013,Hammersmith & Fulham,LB,London borough,22.57,16.45,-27.1
libraries,Libraries,E06000002,Middlesbrough UA,UA,Unitary,18.06,13.18,-27.0
libraries,Libraries,E10000017,Lancashire CC,SC,Shire county,17.17,12.71,-26.0
libraries,Libraries,E06000056,Central Bedfordshire UA,UA,Unitary,13.26,9.82,-25.9
libraries,Libraries,E09000031,Waltham Forest,LB,London borough,17.83,13.2,-25.9
libraries,Libraries,E06000046,Isle of Wight UA,UA,Unitary,13.6,10.12,-25.6
libraries,Libraries,E09000032,Wandsworth,LB,London borough,19.98,14.89,-25.4
libraries,Libraries,E10000015,Hertfordshire CC,SC,Shire county,19.42,14.55,-25.1
libraries,Libraries,E06000034,Thurrock UA,UA,Unitary,15.72,11.91,-24.2
libraries,Libraries,E10000024,Nottinghamshire CC,SC,Shire county,20.56,15.64,-23.9
libraries,Libraries,E09000014,Haringey,LB,London borough,22.67,17.39,-23.3
libraries,Libraries,E10000029,Suffolk CC,SC,Shire county,13.47,10.34,-23.2
libraries,Libraries,E09000027,Richmond upon Thames,LB,London borough,30.54,23.94,-21.6
libraries,Libraries,E06000050,Cheshire West and Chester UA,UA,Unitary,19.3,15.19,-21.3
libraries,Libraries,E09000033,Westminster,LB,London borough,45.73,36.16,-20.9
libraries,Libraries,E06000033,Southend-on-Sea UA,UA,Unitary,25.0,20.0,-20.0
libraries,Libraries,E06000047,Durham UA,UA,Unitary,14.6,11.92,-18.4
libraries,Libraries,E10000032,West Sussex CC,SC,Shire county,12.87,10.53,-18.2
libraries,Libraries,E06000010,Kingston-upon-Hull UA,UA,Unitary,26.89,22.03,-18.1
libraries,Libraries,E06000017,Rutland UA,UA,Unitary,21.56,17.66,-18.1
libraries,Libraries,E06000035,Medway Towns UA,UA,Unitary,19.53,16.09,-17.6
libraries,Libraries,E09000024,Merton,LB,London borough,19.22,15.9,-17.3
libraries,Libraries,E08000003,Manchester,MD,Met district,22.05,18.72,-15.1
libraries,Libraries,E09000028,Southwark,LB,London borough,32.4,27.94,-13.8
libraries,Libraries,E08000022,North Tyneside,MD,Met district,27.33,23.74,-13.2
libraries,Libraries,E06000054,Wiltshire UA,UA,Unitary,13.75,12.29,-10.6
libraries,Libraries,E06000005,Darlington UA,UA,Unitary,12.55,11.78,-6.1
libraries,Libraries,E09000011,Greenwich,LB,London borough,18.15,17.24,-5.0
libraries,Libraries,E09000020,Kensington & Chelsea,LB,London borough,45.9,43.84,-4.5
libraries,Libraries,E06000031,Peterborough UA,UA,Unitary,8.4,8.15,-3.0
libraries,Libraries,E06000026,Plymouth UA,UA,Unitary,15.17,14.8,-2.4
