cls,cls_label,service,service_label,year,real_per_head,n_authorities,caveat
SC,Shire county,children_social_care,Children's social care,2013-14,136.57,27,
SC,Shire county,children_social_care,Children's social care,2018-19,176.02,27,
SC,Shire county,children_social_care,Children's social care,2024-25,218.02,21,
SC,Shire county,cultural,Culture & heritage,2013-14,26.1,27,
SC,Shire county,cultural,Culture & heritage,2018-19,18.43,27,
SC,Shire county,cultural,Culture & heritage,2024-25,16.32,21,
SC,Shire county,education,Education,2013-14,796.58,27,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
SC,Shire county,education,Education,2018-19,639.38,27,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
SC,Shire county,education,Education,2024-25,684.04,21,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
SC,Shire county,environmental_regulatory,Environmental & regulatory,2013-14,65.8,27,
SC,Shire county,environmental_regulatory,Environmental & regulatory,2018-19,61.45,27,
SC,Shire county,environmental_regulatory,Environmental & regulatory,2024-25,55.07,21,
SC,Shire county,highways_transport,Highways & transport,2013-14,86.17,27,
SC,Shire county,highways_transport,Highways & transport,2018-19,63.76,27,
SC,Shire county,highways_transport,Highways & transport,2024-25,63.09,21,
SC,Shire county,housing_gfra,Housing (GFRA),2013-14,11.26,27,
SC,Shire county,housing_gfra,Housing (GFRA),2018-19,4.06,27,
SC,Shire county,housing_gfra,Housing (GFRA),2024-25,3.26,21,
SC,Shire county,libraries,Libraries,2013-14,17.81,27,
SC,Shire county,libraries,Libraries,2018-19,12.94,27,
SC,Shire county,libraries,Libraries,2024-25,10.97,21,
SC,Shire county,planning_development,Planning & development,2013-14,10.9,27,
SC,Shire county,planning_development,Planning & development,2018-19,6.81,27,
SC,Shire county,planning_development,Planning & development,2024-25,6.43,21,
SC,Shire county,public_health,Public health,2013-14,43.42,27,public health grant was new in 2013-14 - base year is a ramp-up
SC,Shire county,public_health,Public health,2018-19,53.8,27,public health grant was new in 2013-14 - base year is a ramp-up
SC,Shire county,public_health,Public health,2024-25,52.6,21,public health grant was new in 2013-14 - base year is a ramp-up
SC,Shire county,refuse_and_recycling,Refuse & recycling,2013-14,11.66,27,
SC,Shire county,refuse_and_recycling,Refuse & recycling,2018-19,10.83,27,
SC,Shire county,refuse_and_recycling,Refuse & recycling,2024-25,10.3,21,
SC,Shire county,total_service_expenditure,Total service expenditure,2013-14,1587.62,27,
SC,Shire county,total_service_expenditure,Total service expenditure,2018-19,1426.21,27,
SC,Shire county,total_service_expenditure,Total service expenditure,2024-25,1569.23,21,
SC,Shire county,waste_disposal,Waste disposal,2013-14,47.39,27,
SC,Shire county,waste_disposal,Waste disposal,2018-19,46.45,27,
SC,Shire county,waste_disposal,Waste disposal,2024-25,41.26,21,
SD,Shire district,central,Central services,2013-14,44.71,201,
SD,Shire district,central,Central services,2018-19,46.39,201,
SD,Shire district,central,Central services,2024-25,45.51,164,
SD,Shire district,cultural,Culture & heritage,2013-14,33.47,201,
SD,Shire district,cultural,Culture & heritage,2018-19,27.15,201,
SD,Shire district,cultural,Culture & heritage,2024-25,22.6,164,
SD,Shire district,environmental_regulatory,Environmental & regulatory,2013-14,56.62,201,
SD,Shire district,environmental_regulatory,Environmental & regulatory,2018-19,53.05,201,
SD,Shire district,environmental_regulatory,Environmental & regulatory,2024-25,54.15,164,
SD,Shire district,housing_gfra,Housing (GFRA),2013-14,20.96,201,
SD,Shire district,housing_gfra,Housing (GFRA),2018-19,18.63,201,
SD,Shire district,housing_gfra,Housing (GFRA),2024-25,26.59,164,
SD,Shire district,planning_development,Planning & development,2013-14,20.23,201,
SD,Shire district,planning_development,Planning & development,2018-19,17.55,201,
SD,Shire district,planning_development,Planning & development,2024-25,24.14,164,
SD,Shire district,refuse_and_recycling,Refuse & recycling,2013-14,24.82,201,
SD,Shire district,refuse_and_recycling,Refuse & recycling,2018-19,25.32,201,
SD,Shire district,refuse_and_recycling,Refuse & recycling,2024-25,27.62,164,
SD,Shire district,total_service_expenditure,Total service expenditure,2013-14,169.45,201,
SD,Shire district,total_service_expenditure,Total service expenditure,2018-19,153.69,201,
SD,Shire district,total_service_expenditure,Total service expenditure,2024-25,167.32,164,
UA,Unitary,adult_social_care,Adult social care,2013-14,367.42,56,
UA,Unitary,adult_social_care,Adult social care,2018-19,380.83,56,
UA,Unitary,adult_social_care,Adult social care,2024-25,440.91,62,
UA,Unitary,central,Central services,2013-14,51.83,56,
UA,Unitary,central,Central services,2018-19,45.7,56,
UA,Unitary,central,Central services,2024-25,52.89,62,
UA,Unitary,children_social_care,Children's social care,2013-14,184.2,56,
UA,Unitary,children_social_care,Children's social care,2018-19,217.79,56,
UA,Unitary,children_social_care,Children's social care,2024-25,275.4,62,
UA,Unitary,cultural,Culture & heritage,2013-14,70.22,56,
UA,Unitary,cultural,Culture & heritage,2018-19,46.5,56,
UA,Unitary,cultural,Culture & heritage,2024-25,41.07,62,
UA,Unitary,education,Education,2013-14,859.66,56,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
UA,Unitary,education,Education,2018-19,655.52,56,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
UA,Unitary,education,Education,2024-25,653.79,62,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
UA,Unitary,environmental_regulatory,Environmental & regulatory,2013-14,123.2,56,
UA,Unitary,environmental_regulatory,Environmental & regulatory,2018-19,108.21,56,
UA,Unitary,environmental_regulatory,Environmental & regulatory,2024-25,106.35,62,
UA,Unitary,highways_transport,Highways & transport,2013-14,80.88,56,
UA,Unitary,highways_transport,Highways & transport,2018-19,47.69,56,
UA,Unitary,highways_transport,Highways & transport,2024-25,49.22,62,
UA,Unitary,housing_gfra,Housing (GFRA),2013-14,55.42,56,
UA,Unitary,housing_gfra,Housing (GFRA),2018-19,37.03,56,
