fy,firm,category,sector,gbp,txns
2026-27,Reed,welfare_to_work,central_gov,20555119.14,170
unknown,Adecco,agency_staff,central_gov,767244.36,1
unknown,Deloitte,consulting,central_gov,134878.88,3
unknown,EY,consulting,central_gov,4873450.8,25
unknown,Gartner,consulting,central_gov,446607.5,4
unknown,Hays,agency_staff,central_gov,600765.89,2
unknown,KPMG,consulting,central_gov,1315114.88,4
unknown,KPMG,consulting,councils,1375.0,1
unknown,KPMG,consulting,nhs,1034873.62,3
unknown,Michael Page,agency_staff,central_gov,304584.37,1
unknown,PA Consulting,consulting,central_gov,12699474.7,8
unknown,PwC,consulting,central_gov,4129744.83,14
unknown,Reed,agency_staff,central_gov,2670174.42,7
