amount,firm,category,supplier_raw,publisher,date,expense_type,expense_area,source_file
5173155.0,KPMG,routed_fund,KPMG East Africa Limited,Department for International Development,2018-02-20,Fund monies to be managed and dispersed by the supplier,Policy Division,07ddfc7247ba6256b8a80f716e60afbfb759af61.bin
5119080.0,McKinsey,consulting,MCKINSEY AND CO INC UK,Department of Health and Social Care,2021-02-24,Consultancy/Professional Advice,Global Health,8877329d9776772c3746093bb05d0909c238f6ad.bin
5066146.06,PwC,consulting,PRICEWATERHOUSECOOPERS LLP,Ministry of Defence,2017-06-26,Fees for professional services,DES Bespoke Trading Entity,639045f0c2c86075d2d554728b4933a5095155d3.bin
5063131.0,PwC,routed_fund,PWC Gec Client Account,"Foreign, Commonwealth and Development Office (FCDO)",2021-12-09,None,FCDO,558e103ee2a619b98fea5d18e5cffa0ca5e2147c.bin
5060368.0,KPMG,routed_fund,KPMG LLP,Department for International Development,2019-12-20,Fund monies to be managed and dispersed by the supplier,Policy Division,cf60c039787cac7ac245c9f57deb252367d665b4.bin
5050748.0,Reed,welfare_to_work,REED IN PARTNERSHIP LTD,Department for Work and Pensions,2021-12-21,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,None,c2432c20547e57c8c687244ee8bb72aa457eeb66.bin
5028656.0,Reed,welfare_to_work,REED IN PARTNERSHIP LTD,Department for Work and Pensions,2022-04-20,WWEG WP FG CEP ESF1420 CORNWALL,None,42cefe502c75acb6a8b8ba09890405d6def7dbcd.bin
4896495.0,KPMG,routed_fund,KPMG East Africa Limited,Department for International Development,2016-12-05,Fund monies to be managed and dispersed by the supplier,Policy Division,8be3fd6284d41249f9ae70e63f004f4187c4d15c.bin
4854086.0,Reed,welfare_to_work,REED IN PARTNERSHIP LTD,Department for Work and Pensions,2022-03-15,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,None,f31f74a91e00f532ce4e7fc49fc059f71e005184.bin
4799281.25,Deloitte,consulting,DELOITTE LLP (L),HM Revenue and Customs,2024-02-08,PROJECT Mandays Supp,Change Delivery DG & Programme Office,55613f9434f3be38e3a45a00dc3332a1926b3ddc.bin
4789021.25,McKinsey,consulting,MCKINSEY & COMPANY INC  UNITED KINGDOM,Ministry of Defence,2014-10-24,Fees for professional services,Defence Equipment + Support,258198a8c68b85c2448cfd9e4fd0b395c037410e.bin
4783314.0,Reed,welfare_to_work,REED IN PARTNERSHIP LTD,Department for Work and Pensions,2022-02-15,WWEG WP FG CEP ESF1420 GTR CAMB & GTR P'BROUGH,None,88675d734558ff6b72b6d7eb969547f5c08318dc.bin
4741762.99,KPMG,routed_fund,KPMG LLP,Department for International Development,2020-04-02,Fund monies to be managed and dispersed by the supplier,Climate and Environment Division,445c692bdfe1c27badd5491dcc47bd39f015d80c.bin
4716477.6,PwC,consulting,PRICEWATERHOUSECOOPERS LLP,Department of Health and Social Care,2021-05-13,Consultancy/Professional Advice,Global Health,c9173718519918dbfa3a73a84bbc5bce97d77d84.bin
4694841.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2019-09-05,Fund monies to be managed and dispersed by the supplier,Policy Division,fc289b68ed17efd114229e63ea6a2fa3e409942f.bin
4624843.0,KPMG,routed_fund,KPMG East Africa Limited,Department for International Development,2015-12-29,Fund monies to be managed and dispersed by the supplier,Policy Division,07a58ac6857de8027e76e1a7375a93805ac17150.bin
4609740.6,PwC,consulting,PRICEWATERHOUSECOOPERS LLP,Ministry of Defence,2016-04-05,Fees for professional services,DES Bespoke Trading Entity,ae6721ca59349105d66d30a61ad989dd318d5e63.bin
4561717.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2013-04-03,Technical and Advisory Services,Policy Division,812e572af050d6a40b7dca07c9be9d3f8ba36109.bin
4560536.4,PwC,consulting,PRICEWATERHOUSECOOPERS LLP,Ministry of Defence,2016-05-18,Fees for professional services,DES Bespoke Trading Entity,9d4b96e2b0b12bb419adbec0a6f04f297600f188.bin
4440719.4,Deloitte,consulting,DELOITTE,Department of Health and Social Care,2021-04-09,Contractor/ Staff Substitution,Global Health,594d0123ca19b70070c3b80a8a16df9e6681954c.bin
4385095.0,PwC,routed_fund,PWC Gec Client Account,"Foreign, Commonwealth and Development Office (FCDO)",2021-06-18,None,FCDO,b7e73606df4fb5a62468cbbd662e5fb5cf78215c.bin
4381057.2,BCG,consulting,THE BOSTON CONSULTING GROUP UK LLP,Department of Health and Social Care,2021-02-15,Outsourcing Contract,Global Health,8877329d9776772c3746093bb05d0909c238f6ad.bin
4199892.34,Deloitte,consulting,DELOITTE,Department of Health and Social Care,2020-07-14,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,905abe3fa890063f6253ed435f70a4ed28886041.bin
4198460.0,KPMG,routed_fund,KPMG EAST AFRICA LTD,Department for International Development,2016-07-05,Fund monies to be managed and dispersed by the supplier,Policy Division,766f71d789179cfcd0e3da3347362fc0eedc3bc6.bin
