firm,supplier_raw,category,scope,txns,gbp
PwC,Pricewaterhousecoopers Pvt Ltd,consulting,uk,34,4016727.0
PwC,PRICEWATERHOUSECOOPERS DEVELOPMENT,consulting,uk,118,3864534.0
Deloitte,DELOITTE TOUCHE TOHMATSU INDIA PRIVA,consulting,overseas_member,160,3812580.23
KPMG,KPMG East Africa Limited,consulting,overseas_member,6,3779971.0
PwC,Price Waterhouse Coopers,consulting,uk,44,3527995.08
PA Consulting,PA CONSULTING,consulting,uk,20,3496942.91
KPMG,KPMG Development Services,consulting,overseas_member,70,3412126.72
PwC,Pricewaterhousecoopers Limited (Kenya3),consulting,overseas_member,19,3348418.21
Michael Page,MICHAEL PAGE INTERNATIONAL PLC,agency_staff,uk,606,3262004.13
KPMG,KPMG Auditores e Consultores SA,consulting,overseas_member,43,3250157.79
PA Consulting,PA Consulting Group,consulting,uk,22,2854026.55
BCG,THE BOSTON CONSULTING GROUP,consulting,uk,7,2723503.0
Reed,REED EMPLOYMENT PLC,agency_staff,uk,55,2702289.0
Reed,Reed in Partnership Limited,welfare_to_work,uk,61,2688367.32
McKinsey,MCKINSEY & COMPANY INC,consulting,overseas_member,13,2624700.0
PA Consulting,PA CONSULTING SERVICES LIMITED (T/AS,consulting,uk,28,2571278.95
Adecco,ADECCO UK LTD,agency_staff,uk,1092,2532904.27
McKinsey,MCKINSEY & COMPANY,consulting,uk,12,2519880.0
Deloitte,DELOITTE TOUCHE TOHMATSU INDIA LLP,consulting,overseas_member,84,2515742.97
Reed,REED,welfare_to_work,uk,23,2475025.91
PA Consulting,Pa Consulting Services Ltd,consulting,uk,34,2386889.0
EY,EY LLP,consulting,uk,89,2275839.04
Deloitte,DELOITTE & TOUCHE LLP,consulting,uk,13,2252786.4
McKinsey,MCKINSEY & CO INC,consulting,overseas_member,9,2114450.0
PA Consulting,PA CONSULTING SERVIC,consulting,uk,13,2110244.76
Hays,HAYS SPECIALIST RECRUITMENT LIMITED,agency_staff,uk,262,2063558.58
KPMG,KPMG Advisory Limited - AcT2,routed_fund,uk,6,2036753.38
PwC,PricewaterhouseCoopers Private Limited,consulting,uk,30,1875521.5
Reed,REED IN PARTNERSHIP LIMITED,welfare_to_work,uk,25,1827421.85
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,agency_staff,uk,608,1784080.2
PwC,PRICEWATERHOUSECOOPERS LLP,routed_fund,uk,2,1778000.0
PwC,Pricewaterhousecoopers (Global),consulting,uk,10,1760426.71
PwC,PricewaterhouseCoopers LLP,consulting,uk,23,1733143.96
Adecco,ADECCO ALFRED MARKS,agency_staff,uk,59,1696381.27
PwC,PWC LLP (HMRC GRANTS),routed_fund,uk,7,1672643.15
Hays,Hays Construction & Property,agency_staff,uk,1837,1639987.13
Deloitte,DELOITTE (UGANDA) LIMITED,consulting,overseas_member,18,1629520.98
Manpower,MANPOWER GROUP SOLUTIONS SRL,agency_staff,overseas_member,15,1628625.69
KPMG,KPMG Assurance and Consulting Services LLP,consulting,uk,14,1605879.0
Hays,Hays,agency_staff,uk,1129,1592934.82
KPMG,KPMG Uganda,consulting,overseas_member,12,1549408.4
Deloitte,Deloitte & Touche,consulting,uk,12,1518985.28
PwC,Pricewaterhousecoopers LLP,consulting,uk,16,1348619.0
Deloitte,DELOITTE LLP,routed_fund,uk,10,1347658.4
EY,ERNST AND YOUNG_001,consulting,uk,5,1138906.81
PwC,PRICEWATERHOUSECOOPE,consulting,uk,4,1114037.43
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUITM,agency_staff,uk,320,1099500.24
PA Consulting,PA Consulting,consulting,uk,20,1068378.44
Reed,REED SPECIALIST,agency_staff,uk,1161,1057867.72
KPMG,KPMG Advisory Limited - AcT2,consulting,uk,11,1046816.93
Reed,REED SPECIALIST RECRUITMENT LIMITED,routed_fund,uk,18,1044497.25
Gartner,Gartner UK Ltd,consulting,uk,19,897836.59
PA Consulting,Pa Consulting,consulting,uk,8,896544.0
Gartner,GARTNER GROUP UK LTD,consulting,uk,12,851583.33
Michael Page,Michael Page International Recruitment,agency_staff,uk,276,850701.85
Michael Page,MICHAEL PAGE INTERNATIONAL,agency_staff,uk,249,842797.31
