firm,supplier_raw,category,scope,txns,gbp
EY,Ernst & Young Certified Public Accountants,consulting,uk,1,3375.0
Reed,REED ONLINE LIMITED (E,agency_staff,uk,3,3310.01
Gartner,ACT GARTNER EVENTS USD,consulting,uk,2,3166.26
Deloitte,"Deloitte Yousuf Adil, Chartered Accountants",consulting,overseas_member,2,2930.45
Reed,REED LEARNING,agency_staff,uk,3,2811.78
EY,Ernst & Young India,consulting,overseas_member,1,2800.0
PwC,PWC Vietnam,consulting,overseas_member,2,2747.86
Adecco,ADECCO RRHH,agency_staff,overseas_member,3,2574.26
PwC,PricewaterhouseCoopers Uganda,consulting,overseas_member,1,2209.91
Gartner,ACT GARTNER BUS PROC,consulting,uk,1,1861.01
Gartner,ACT GARTNER EVENTS EUR,consulting,uk,1,1790.27
Hays,Hays Office Support,agency_staff,uk,3,1569.93
Reed,REED LEARNING BACS 22/2,agency_staff,uk,2,1528.3
PwC,Price Waterhouse Cooper,consulting,uk,1,1394.03
KPMG,Kpmg Fees Account,consulting,uk,1,1375.0
PwC,PWC ACADEMY LLC 148520,consulting,overseas_member,1,1295.91
Reed,REEDLEARNING,agency_staff,uk,1,1128.0
Reed,REED TRAINING,agency_staff,uk,4,1026.0
Hays,Hays Social Care Ltd,agency_staff,uk,1,925.07
Michael Page,MICHAEL PAGE **USE ACCOUNT 130114***,agency_staff,uk,3,900.0
Reed,Reed Learning PLC,agency_staff,uk,1,899.0
KPMG,KPMG AUSTRALIA,consulting,overseas_member,1,885.08
Reed,REED LEARNING BACS 21/12,agency_staff,uk,1,760.0
Manpower,Manpower,agency_staff,uk,1,735.0
EY,ERNST&YOUNG KAZAKHSTAN,consulting,overseas_member,1,707.96
PwC,PRICE WATERHOUSE COOPER V,consulting,uk,1,616.45
Gartner,GARTNER CONF SEC22IV,consulting,uk,1,615.63
Hays,Hays Construction & Property DO NOT USE,agency_staff,uk,1,608.0
PwC,PRICEWATERHOUSE COOPER,consulting,uk,1,594.0
Reed,Reed Specialist Recruitment Limited,agency_staff,uk,1,586.13
Reed,WWW.REEDLEARNING.C       0207 5205100,agency_staff,uk,1,537.3
