firm,supplier_raw,txns,gbp,n_publishers,publishers
KPMG,KPMG GHANA,1,11615.0,1,Department for International Development
KPMG,KPMG Advisory N.V.,1,11476.0,1,Department for International Development
KPMG,KPMG YON. DANISMANLIGI,3,10284.0,1,"Foreign, Commonwealth and Development Office (FCDO)"
KPMG,KPMG Zambia Limited,1,9094.69,1,Department for International Development
KPMG,Kpmg Fees Account,1,1375.0,1,London Borough of Richmond Upon Thames
KPMG,KPMG AUSTRALIA,1,885.08,1,Foreign and Commonwealth Office
McKinsey,MCKINSEY & COMPANY INC  UNITED KINGDOM,66,64414806.15,1,Ministry of Defence
McKinsey,MCKINSEY AND CO INC UK,66,46393757.5,1,Department of Health and Social Care
McKinsey,McKinsey and Company Inc East Africa Pty Ltd,107,32647382.58,1,Department for International Development
McKinsey,McKinsey Development Partners,26,31200748.36,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
McKinsey,McKinsey & Co  Inc UK,66,21654622.5,1,Department for International Development
McKinsey,McKINSEY & COMPANY,49,19710065.93,1,HM Revenue and Customs
McKinsey,Mckinsey And Company Inc East Africa Pty Ltd,25,11151929.8,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
McKinsey,Mckinsey Development Partners Limited,12,7098663.27,1,"Foreign, Commonwealth and Development Office (FCDO)"
McKinsey,"McKinsey & Co, Inc UK",22,4577205.69,1,Department for International Development
McKinsey,MCKINSEY & COMPANY INC,13,2624700.0,2,"United Lincolnshire Hospitals NHS Trust,Department for Work and Pensions"
McKinsey,MCKINSEY & COMPANY,12,2519880.0,2,"The Pennine Acute Hospitals NHS Trust,Department for Education"
McKinsey,MCKINSEY & CO INC,9,2114450.0,1,Cabinet Office
McKinsey,Mckinsey&co,2,736563.0,1,Cabinet Office
McKinsey,Mckinsey And Company Inc Uk,2,607750.0,1,"Department for Science, Innovation and Technology"
McKinsey,MCKINSEY & CO INC. UNITED KINGDOM,4,475560.0,1,Ministry of Justice
McKinsey,MCKINSEY & CO,2,419940.0,1,Home Office
McKinsey,"McKinsey & Co, Inc. United Kingdom",1,258000.0,1,Pennine Care NHS Foundation Trust
McKinsey,MCKINSEY AND COMPANY,2,140000.0,1,Foreign and Commonwealth Office
McKinsey,McKinsey & Co  Inc. UK,1,134065.0,1,Department for International Development
McKinsey,McKinsey & Company Inc Africa Pty Ltd,2,108136.01,1,Department for International Development
McKinsey,McKinsey & Company - India,3,93141.95,1,Department for International Development
McKinsey,McKinsey & Company,1,28500.0,1,Coventry and Warwickshire Partnership NHS Trust
McKinsey,Mckinsey & Company,1,25000.0,1,Whittington Hospital NHS Trust
Bain,MCBAINS LTD,229,23600669.45,1,Department for Work and Pensions
Bain,BAIN & COMPANCY INC UNITED KINGDOM,29,23470312.15,1,HM Revenue and Customs
Bain,Baines' Endowed Primary School & Children's Centre,77,8667639.48,1,Department for Education
Bain,BAINES SIMMONS LIMITED,49,1370202.66,1,Ministry of Defence
Bain,NORBAIN SD LTD (CO REG 06248590),20,1120955.09,1,Ministry of Defence
Bain,NORBAIN SD LTD,10,714299.39,1,Ministry of Defence
Bain,McBains Ltd,10,542751.77,1,Department for Education
Bain,BAIN & COMPANY,2,392000.0,1,Cabinet Office
Bain,COBAINS SOLICITORS,7,219405.96,1,Ministry of Justice
Bain,Baines' Endowed Primary School,3,147576.0,1,Department for Education
Bain,Baines School,2,136462.0,1,Department for Education
Bain,Bell & Bain Ltd,1,124897.7,1,Ministry of Defence
Bain,THE GOVERNORS OF BAINES SCHOOL GRANT ACCOUNT,2,110405.0,1,Department for Education
Bain,BAINS SOLICITORS,3,90000.0,1,Ministry of Justice
Bain,Bain & Company,2,80000.0,1,Cabinet Office
Bain,THE GOVERNORS OF BAINES SCHOOL GRANT ACC,1,61431.8,1,Department for Education
Bain,GILES D BAIN,1,57312.0,1,Ministry of Justice
Bain,BAINBRIDGE BUILDING CONTRACT,1,42294.65,1,Ministry of Defence
Bain,Bainbridge Building Contractors,1,28296.44,1,Ministry of Defence
Bain,GILES BAIN,17,24204.0,1,Royal Borough of Greenwich
Bain,BIRCH BAINBRIDGE BUILDING & INTERIORS,3,21558.81,1,Royal Borough of Greenwich
Bain,BAINBRIDGE PARISH COUNCIL,4,10512.5,1,North Yorkshire Council
Bain,MR GILES BAIN,7,8820.0,1,Royal Borough of Greenwich
Bain,SDAD BILBAINA DE RECRE,1,4510.75,1,Foreign and Commonwealth Office
Bain,NORBAIN DUNASFERN,5,4440.0,1,"Foreign, Commonwealth and Development Office (FCDO)"
Bain,BAINES WILSON,2,2261.71,1,Eden District Council
Bain,S C BAINBRIDGE FUNERAL DIRECTORS,1,1745.0,1,North Yorkshire Council
Bain,SOCIEDAD BILBAINA RECR,1,1733.3,1,Foreign and Commonwealth Office
Bain,SQ  SEMIS URBAINS / UR,2,1543.32,1,"Foreign, Commonwealth and Development Office (FCDO)"
Bain,WILLIAM BAIN CO,1,1501.6,1,Foreign and Commonwealth Office
Bain,PESAPAL-ALBAININSTIT,1,1259.48,1,"Foreign, Commonwealth and Development Office (FCDO)"
Bain,BAINBRIDGE VILLAGE HALL,1,1000.0,1,Former council of North Yorkshire
Bain,BAINBRIDGE CHRISTMAS LIGHTS,1,1000.0,1,Former council of North Yorkshire
Bain,SYMES BAINS BROOMER SOLICITORS,1,399.0,1,Former council of North Yorkshire
Bain,C O H BAINES LTD,4,111.24,2,"Department for Digital, Culture, Media and Sport,Natural History Museum"
BCG,THE BOSTON CONSULTING GROUP UK LLP,25,31211510.8,2,"Department of Health and Social Care,Ministry of Defence"
BCG,The Boston Consulting Group UK LLP,41,9694077.31,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
BCG,THE BOSTON CONSULTING GROUP,7,2723503.0,3,"Salisbury NHS Foundation Trust,Department for Education,Department for Work and Pensions"
BCG,THE BOSTON CONSULTING GROUP LLP,1,82660.0,1,"Foreign, Commonwealth and Development Office (FCDO)"
BCG,BCG DIRECT LIMITED,56,2167.86,1,Shropshire Community Health NHS Trust
BCG,MERPAGO ABCGARDEN,1,900.75,1,"Foreign, Commonwealth and Development Office (FCDO)"
BCG,BCG OXFORD,1,119.13,1,Natural History Museum
PA Consulting,PA CONSULTING GROUP LTD,1683,178459218.89,3,"Department for Work and Pensions,Department of Health and Social Care,UK Trade and Investment"
PA Consulting,PA CONSULTING SERVICES LTD,1261,161838481.24,15,"Cabinet Office,East Sussex Healthcare NHS Trust,Former council of North Yorkshire,Department for Education,North Yorkshire Council,NHS East and North Hertfordshire CCG,Milton Keynes Hospital NHS Foundation Trust,Department for Work and Pensions,Department of Health and Social Care,Foreign, Commonwealth and Development Office (FCDO),Department for International Development,Home Office,Ministry of Defence,HM Treasury,Ministry of Justice"
PA Consulting,PA CONSULTING GROUP,186,25645586.62,9,"Cabinet Office,Milton Keynes Hospital NHS Foundation Trust,Department for Education,Department for International Development,Foreign, Commonwealth and Development Office (FCDO),HM Revenue and Customs,Department for Work and Pensions,Foreign and Commonwealth Office,Ministry of Justice"
PA Consulting,PA CONSULTING SERVICES LIMITED,36,13845453.43,2,"Transport for Greater Manchester,Ministry of Housing, Communities and Local Government"
PA Consulting,PA Consulting Services Limited,46,10362135.39,2,"Office of Rail and Road,HM Revenue and Customs"
PA Consulting,PA Consulting Services Ltd,45,5749473.01,5,"Bristol City Council,Department for Energy Security and Net Zero,Department for Science, Innovation and Technology,Government Legal Department,Home Office"
PA Consulting,PA CONSULTING,20,3496942.91,2,"Department for Education,Home Office"
PA Consulting,PA Consulting Group,22,2854026.55,2,"Department for Education,Home Office"
PA Consulting,PA CONSULTING SERVICES LIMITED (T/AS,28,2571278.95,1,Ministry of Defence
PA Consulting,Pa Consulting Services Ltd,34,2386889.0,3,"United Lincolnshire Hospitals NHS Trust,Department for Energy Security and Net Zero,Department for Science, Innovation and Technology"
PA Consulting,PA CONSULTING SERVIC,13,2110244.76,1,Department of Health and Social Care
PA Consulting,PA Consulting,20,1068378.44,1,Home Office
PA Consulting,Pa Consulting,8,896544.0,1,Home Office
PA Consulting,P A CONSULTING SERVICES LTD,10,496074.68,1,National Offender Management Service
PA Consulting,P A Consulting Group,6,304982.55,1,Ministry of Defence
PA Consulting,P A CONSULTING GROUP,12,209893.21,1,Royal Borough of Greenwich
PA Consulting,PA CONSULTING GROUPS,3,174532.66,1,Ministry of Justice
PA Consulting,*PA CONSULTING SERVICES LIMITED,4,92752.73,1,"Ministry of Housing, Communities and Local Government"
PA Consulting,PA Consulting Services Ltd (UK1),1,29217.5,1,HM Revenue and Customs
PA Consulting,FPA CONSULTING,4,7225.0,1,Transport for Greater Manchester
PA Consulting,PPA CONSULTING LTD,1,3776.34,1,"Ministry of Housing, Communities and Local Government"
Gartner,GARTNER UK LTD,107,14368152.11,7,"Department for Energy Security and Net Zero,HM Revenue and Customs,Department for Work and Pensions,Department of Health and Social Care,Ministry of Housing, Communities and Local Government,Ministry of Justice,UK Trade and Investment"
Gartner,GARTNER,39,5102531.56,3,"Department for Work and Pensions,Foreign, Commonwealth and Development Office (FCDO),Ministry of Defence"
Gartner,Gartner UK Ltd,19,897836.59,5,"Children and Family Court Advisory and Support Service,Natural History Museum,Department for Environment, Food and Rural Affairs,Ministry of Defence,Home Office"
Gartner,GARTNER GROUP UK LTD,12,851583.33,5,"Former council of North Yorkshire,Cabinet Office,North Yorkshire Council,Department for Education,HM Treasury"
Gartner,GARTNER UK LIMITED,19,641635.0,2,"Foreign, Commonwealth and Development Office (FCDO),Foreign and Commonwealth Office"
Gartner,GARTNERGROUP UK LTD,10,585640.0,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
Gartner,Gartner Uk Ltd,2,447000.0,2,"Department for Energy Security and Net Zero,Ministry of Defence"
Gartner,GARTNER U.K. LTD,4,292094.2,1,Ministry of Defence
Gartner,Gartner Uk Limited,3,287640.0,1,United Lincolnshire Hospitals NHS Trust
Gartner,GARTNER U.K. LIMITED,1,185839.98,1,NHS Business Services Authority
Gartner,GARTNER GROUP,3,152700.0,1,Home Office
Gartner,Gartner UK Limited,3,148700.0,2,"Plymouth City Council,Department for Education"
Gartner,AST Gartner UK Ltd,1,51344.3,1,Ministry of Defence
Gartner,GARTNER GROUP UK LIMITED,1,49800.0,1,Ministry of Defence
Gartner,GARTNER GROUP UK LTD~105026640,1,46935.38,1,"Department for Environment, Food and Rural Affairs"
Gartner,Gartner U.K. Limited,1,31800.0,1,HM Revenue and Customs
Gartner,ACT GARTNER EVENTS USD,2,3166.26,1,Foreign and Commonwealth Office
Gartner,ACT GARTNER BUS PROC,1,1861.01,1,Department for Education
Gartner,ACT GARTNER EVENTS EUR,1,1790.27,1,Foreign and Commonwealth Office
Gartner,GARTNER CONF SEC22IV,1,615.63,1,"Foreign, Commonwealth and Development Office (FCDO)"
Hays,HAYS SPECIALIST RECRUITMENT LTD,4674,11543563.75,11,"Transport for Greater Manchester,Royal Borough of Greenwich,South Central Ambulance Service NHS Foundation Trust,Department for Education,Department of Health and Social Care,Foreign, Commonwealth and Development Office (FCDO),HM Revenue and Customs,Foreign and Commonwealth Office,Ministry of Housing, Communities and Local Government,UK Trade and Investment,Wales Office"
Hays,Hays Specialist Recruitment Ltd,3458,10320880.34,5,"UK Shared Business Services,Uttlesford District Council,Plymouth City Council,Department for International Development,HM Revenue and Customs"
Hays,HAYS SPECIALIST RECRUITMENT LIMITED,262,2063558.58,1,Ministry of Defence
Hays,Hays Construction & Property,1837,1639987.13,2,"Department for Digital, Culture, Media and Sport,Natural History Museum"
Hays,Hays,1129,1592934.82,1,Rushmoor Borough Council
Hays,HAYS TRAVEL LIMITED,29,1000810.32,1,Department for Education
Hays,HAYS PERSONNEL SERVICES,1,600244.84,1,"Ministry of Housing, Communities and Local Government"
Hays,Hays Specialist Recruitment,639,472145.74,1,South Gloucestershire Council
Hays,HAYS,32,214159.99,2,"United Lincolnshire Hospitals NHS Trust,Department for Education"
Hays,HAYS ACCOUNTANCY & FINANCE,321,139002.25,1,Shropshire Community Health NHS Trust
Hays,HAYS SPECIALIST RECRUITMENT,229,136033.26,2,"Blaby District Council,The National Archives"
Hays,HAYS EXECUTIVE,3,108963.0,1,Department for Work and Pensions
Hays,Hays Accountancy,1,34801.67,1,Home Office
Hays,Hays Accountancy Personnel,47,32310.86,2,"Department for Digital, Culture, Media and Sport,Natural History Museum"
Hays,HAYSFIELD GIRLS SCHOOL,1,25000.0,1,Department for Education
Hays,Chaysestar Entertainment CIC,5,22101.16,1,Bristol City Council
Hays,HAYS HEALTHCARE LIMITED,1,22037.2,1,Ministry of Defence
Hays,HAYS PERSONNEL SERVICE,14,21281.81,1,"Department for Environment, Food and Rural Affairs"
Hays,HAYS INFORMATATION TECHNOLOGY,13,20586.91,1,"Ministry of Housing, Communities and Local Government"
Hays,HAYSAM ABOU-DOMA,5,10997.0,1,Royal Borough of Greenwich
Hays,HAYS ACCOUNTANCY AND FINANCE,1,4700.0,1,Royal Borough of Greenwich
Hays,HAYS ACCOUNTANCY PERSONNEL,3,4420.0,1,Department for International Development
Hays,HAYS TRAVEL,9,4099.59,2,"Natural History Museum,Ministry of Housing, Communities and Local Government"
Hays,Hays Office Support,3,1569.93,1,South Gloucestershire Council
Hays,Hays Social Care Ltd,1,925.07,1,South Gloucestershire Council
Hays,HAYSDEN TRAINING,1,625.0,1,Blaby District Council
Hays,Hays Construction & Property DO NOT USE,1,608.0,1,South Gloucestershire Council
Reed,REED IN PARTNERSHIP LTD,37874,667774508.84,2,"Cabinet Office,Department for Work and Pensions"
Reed,Alec Reed Academy,159,42931663.06,1,Department for Education
Reed,REED IN PARTNERSHIP HACKNEY LTD,102,29538826.08,1,Department for Work and Pensions
Reed,REED IN PARTNERSHIP,554,23701173.93,1,Department for Work and Pensions
Reed,The Alec Reed Academy,153,16012007.55,1,Department for Education
Reed,REED SPECIALIST RECRUITMENT LTD,2605,10510794.34,7,"Royal Borough of Greenwich,Transport for Greater Manchester,Shropshire Community Health NHS Trust,Department of Health and Social Care,HM Treasury,Ministry of Defence,Ministry of Housing, Communities and Local Government"
Reed,Reedswood E-ACT Academy,77,8549246.5,1,Department for Education
Reed,Reed Solutions,98,5259700.48,1,National Offender Management Service
Reed,Reedswood E-ACT Primary School,139,5164660.5,1,Department for Education
Reed,REED EMPLOYMENT PLC,55,2702289.0,3,"Department for Education,Home Office,Ministry of Housing, Communities and Local Government"
Reed,Reed in Partnership Limited,61,2688367.32,1,Department for Education
Reed,Reed Business School Ltd,65,2669630.65,1,Department for Education
Reed,REED,50,2541651.04,3,"Former council of North Yorkshire,Department for Education,Department for Work and Pensions"
Reed,REED IN PARTNERSHIP LIMITED,25,1827421.85,1,Department for Education
Reed,Freedom Group Of Companies Ltd,5,1330328.17,1,"Department for Environment, Food and Rural Affairs"
Reed,Genus Breeding Ltd.,29,1213382.46,2,"Animal and Plant Health Agency,Department for Environment, Food and Rural Affairs"
Reed,WOMENS INTERNATIONAL LEAGUE FOR PEACE AND FREEDOM,8,1179614.45,1,"Foreign, Commonwealth and Development Office (FCDO)"
Reed,REED EXHIBITIONS LTD,42,1168080.75,2,"Royal Borough of Greenwich,UK Trade and Investment"
Reed,REED SPECIALIST RECRUITMENT LIMITED,19,1099551.28,1,Department for Education
Reed,REED SPECIALIST,1161,1057867.72,1,"Department for Environment, Food and Rural Affairs"
Reed,Breedon Southern Ltd,22,830112.68,1,Bristol City Council
Reed,REED EMPLOYMENT,926,825885.48,1,"Department for Environment, Food and Rural Affairs"
Reed,FREEDOM HOME CARE LTD,28,818259.55,2,"Former council of North Yorkshire,North Yorkshire Council"
Reed,REEDS SOLICITORS LTD,15,793754.52,1,Ministry of Justice
Reed,REED LEARNING LTD,28,694413.18,2,"Royal Borough of Greenwich,Department for Work and Pensions"
Reed,STERNBERG REED SOLICITORS,14,607615.34,1,Ministry of Justice
Reed,Reed Specialist Recruitment Ltd,59,404955.41,4,"UK Shared Business Services,Rushmoor Borough Council,Department for Energy Security and Net Zero,Bristol City Council"
Reed,FREEDOM TAXIS HARROGATE LTD,126,379736.33,2,"Former council of North Yorkshire,North Yorkshire Council"
Reed,REED LOCATION,568,375197.9,1,Royal Borough of Greenwich
Reed,Reed Personnel Services Plc,213,361923.51,2,"South Gloucestershire Council,Home Office"
Reed,REED EMPLOYMENT SERVICES,447,349016.29,1,"Ministry of Housing, Communities and Local Government"
Reed,Creedy Court,27,297180.5,1,South Gloucestershire Council
Reed,THE FREEDOM FUND (G),4,262775.0,1,Home Office
Reed,The Freedom Fund,2,250000.0,1,Department for International Development
Reed,REED TALENT SOLUTIONS LTD,7,235975.07,2,"Former council of North Yorkshire,North Yorkshire Council"
Reed,FREEDOM TRANSPORT SOLUTIONS LTD,85,235625.94,1,North Yorkshire Council
Reed,REED BUSINESS INFORMATION LTD,24,233726.22,7,"Royal Borough of Greenwich,Eden District Council,HM Revenue and Customs,Ministry of Defence,Ministry of Housing, Communities and Local Government,National Offender Management Service,UK Trade and Investment"
Reed,Breedon Cement Ltd,2,220197.01,1,Department for Energy Security and Net Zero
Reed,Reed Employment plc,256,212405.9,1,Home Office
Reed,FREEDOM COMMUNICATIONS (UK) LTD,6,179223.53,3,"United Lincolnshire Hospitals NHS Trust,Department for Environment, Food and Rural Affairs,Department for Education"
Reed,FREEDOM COMMUNICATIONS (IUK) LTD,6,174047.5,1,The National Archives
Reed,REED TALENT SOLUTIONS T/A CONSULTAN,6,170651.65,1,Transport for Greater Manchester
Reed,CREED LANE LAW GROUP,2,147047.44,1,Ministry of Justice
Reed,REED BUSINESS INFORMATION,13,132501.49,5,"Blaby District Council,Royal Borough of Greenwich,East Sussex Healthcare NHS Trust,Department for Education,HM Treasury"
Reed,REED BUSINESS INFORMATION (EAST GRIN,13,127062.0,1,Department for International Development
Reed,Lexis Nexis Reed Elsevier (Uk) Ltd T/A,6,111864.0,1,Bristol City Council
Reed,FREEDOM GROUP,3,109312.54,1,United Lincolnshire Hospitals NHS Trust
Reed,Reed,84,106317.91,2,"Uttlesford District Council,Rushmoor Borough Council"
Reed,REED EXHIBITIONS FZ-LLC,3,102063.23,1,UK Trade and Investment
Reed,REED TECHNOLOGY,13,99052.14,1,"Ministry of Housing, Communities and Local Government"
Reed,Reed Exhibitions Ltd,5,98746.44,2,"Natural History Museum,Department for Science, Innovation and Technology"
Reed,MESSRS CREED LANE LAW GROUP#EC4V 5BR,2,91243.45,1,Ministry of Justice
Reed,WOMENS INTERNATIONAL LEAGUE FOR PEACE + FREEDOM,2,85502.55,1,Foreign and Commonwealth Office
Reed,Fourth Freedom Forum Inc.,3,76852.67,1,Department for International Development
Reed,Reed Employment,50,73833.26,1,Equality and Human Rights Commission
Reed,REED TALENT SOLUTIONS LIMITED TA CONSULTANCY PLUS,2,68571.0,1,Department of Health and Social Care
Reed,REED SPECIALIST RECRUITMENT,8,61542.44,2,"Cabinet Office,North Yorkshire Council"
Reed,Reed Talent Solutions t/a Consultancyplus,19,60411.45,1,Bristol City Council
Reed,SABINA BOWLER-REED,2,57262.64,1,Ministry of Justice
Reed,Rare Breeds Survival Trust,3,57000.0,2,"Department for Environment, Food and Rural Affairs,Bristol City Council"
Reed,WILLIAM REED BUSINESS MEDIA LTD,12,52122.0,1,UK Trade and Investment
Reed,Fiona Reed Associates Ltd,1,41400.0,1,Coventry and Warwickshire Partnership NHS Trust
Reed,Freedom Fire  Security Maintenance Ltd,1,40440.0,1,United Lincolnshire Hospitals NHS Trust
Reed,STERNBERG REED,1,40165.08,1,Ministry of Justice
Reed,Reed Specialist Recruitment,1,38985.86,1,"Department for Environment, Food and Rural Affairs"
Reed,Reed in Partnership Skills (UK) Ltd,1,34436.0,1,Department for Education
Reed,STERNBERG REED SOLICITORS-ADVOCATE,1,34261.74,1,Ministry of Justice
Reed,REED EXPOSITIONS FRANCE,2,33734.35,1,UK Trade and Investment
Reed,MESSRS FREEDMAN SHARMAN & COMPANY#DX 45603,1,33199.01,1,Ministry of Justice
Reed,CREED LANE LAW GROUP-ADVOCATE,1,31337.62,1,Ministry of Justice
Reed,RARE BREEDS SURVIVAL TRUST,1,30000.0,1,Ministry of Defence
Reed,Reed Business Information Ltd.,1,29375.0,1,"Department for Environment, Food and Rural Affairs"
Reed,MICHAEL J REED LTD,1,28140.0,1,Ministry of Justice
Reed,GISHA - Legal Centre For Freedom of Movement,1,27629.33,1,Foreign and Commonwealth Office
Reed,SHREEDAR MOTORS LIMITED,1,27309.51,1,Foreign and Commonwealth Office
Reed,GRAMPOUND-WITH-CREED COFE SCHOOL,1,25154.1,1,Department for Education
Reed,Reed Elsevier (UK) Ltd,1,25030.17,1,HM Revenue and Customs
Reed,GRAMPOUND WITH CREED C OF E PRIMARY SCHOOL,1,25000.0,1,Department for Education
Reed,FREEDMAN&TURNER,9,21679.01,1,Foreign and Commonwealth Office
Reed,Freedom Health Centre,1,17329.42,1,Plymouth City Council
Reed,Freedom of Speech Ltd,14,16995.25,1,Department for International Development
Reed,REED EXPO FRANCE,4,12036.52,2,"Foreign, Commonwealth and Development Office (FCDO),Foreign and Commonwealth Office"
Reed,Reed Engineering Building Services L,3,11782.32,2,"Department for Digital, Culture, Media and Sport,Natural History Museum"
Reed,H&H REEDS PRINTERS LTD,14,11708.0,1,Eden District Council
Reed,Freedom Electronics,5,10867.29,1,Department for International Development
Reed,REEDERJ VLAUN HOLDING B.V. /V&S CHARTERS,2,10000.0,1,Royal Borough of Greenwich
Reed,REEDMAN SERVICES LTD,12,9876.85,1,"Department for Environment, Food and Rural Affairs"
Reed,Reeds Solicitors LLP,5,9785.96,1,Bristol City Council
Reed,Reed Business Informations Ltd,6,9383.23,2,"Department for Digital, Culture, Media and Sport,Natural History Museum"
Reed,REEDLEARNING.CO.UK,12,8955.2,4,"Natural History Museum,Department for Environment, Food and Rural Affairs,Department of Health and Social Care,HM Treasury"
Reed,REED CHILL CHEATER,10,8922.13,1,"Department for Environment, Food and Rural Affairs"
Reed,REED LEARNING PLC,8,8790.31,3,"Department for International Development,Ministry of Housing, Communities and Local Government,Queen Elizabeth II Conference Centre"
Reed,Reed Elsevier (UK) Ltd T/A LN,10,7967.92,1,Department for International Development
Reed,REED ONLINE LIMITED,1,7829.38,1,Transport for Greater Manchester
Reed,Reed Business Information,9,7661.65,1,Rushmoor Borough Council
Reed,LEWIS REED (WAV) LTD,3,7250.0,1,UK Trade and Investment
Reed,REED SMITH LLP,3,6574.39,1,Transport for Greater Manchester
Reed,YOCO HARLEY REED SA,1,6446.35,1,"Foreign, Commonwealth and Development Office (FCDO)"
Reed,REED BUSINESS INFORM,6,6310.0,3,"Department for Digital, Culture, Media and Sport,Department for Environment, Food and Rural Affairs,Natural History Museum"
Reed,GMF FREEDIO LTD,6,6212.84,1,"Foreign, Commonwealth and Development Office (FCDO)"
Reed,W Reed (Builders) Limited,2,5671.13,1,South Gloucestershire Council
Reed,625600FREEDMAN&TURNER,2,5398.19,1,Foreign and Commonwealth Office
Reed,fREEDMAN&TURNER,1,4667.22,1,Foreign and Commonwealth Office
Reed,FREEDMAN & TURNER,1,4545.53,1,Foreign and Commonwealth Office
Reed,Reed Business Information Ltd,4,4533.0,1,South Gloucestershire Council
Reed,FREEDOM OF SPEECH LTD,5,4526.4,1,Royal Borough of Greenwich
Reed,PERCY & REED PRODUCT LTD,2,4000.0,1,UK Trade and Investment
Reed,WWW.REEDLEARNING.C,4,3910.6,3,"Natural History Museum,Foreign and Commonwealth Office,HM Treasury"
Reed,REED-CHILL CHEATER LTD,4,3648.6,1,UK Trade and Investment
Reed,FREEDOM AIR CONDITIONI,3,3437.72,1,"Foreign, Commonwealth and Development Office (FCDO)"
Reed,REED ONLINE LIMITED (E,3,3310.01,2,"Foreign and Commonwealth Office,HM Treasury"
Reed,BREEDON NORTHERN LTD,1,3125.0,1,Eden District Council
Reed,REEDMIDEM.COM,3,2957.95,1,Foreign and Commonwealth Office
Reed,REED LEARNING,3,2811.78,1,Royal Borough of Greenwich
Reed,KIERAN SCRAGG & NEIL REED T/A IKO,1,2633.22,1,UK Trade and Investment
Reed,*REED BUSINESS INFORMATION LTD,1,2100.0,1,"Ministry of Housing, Communities and Local Government"
Reed,FREEDOM OF SPEECH,3,2076.0,2,"Shropshire Community Health NHS Trust,Foreign, Commonwealth and Development Office (FCDO)"
Reed,Freedom Of Speech,1,1944.0,1,Department for International Development
Reed,SUBSCRIPTION/REED,1,1939.68,1,HM Treasury
Reed,FREEDOM FURNITURE 82,1,1834.45,1,Foreign and Commonwealth Office
Reed,REEDY SUPPLIES LTD,1,1790.06,1,UK Trade and Investment
Reed,FREEDOM PROPERTIES,2,1716.94,1,Royal Borough of Greenwich
Reed,Emma Reed,4,1650.0,1,Rushmoor Borough Council
Reed,CAMPAIGN FOR FREEDOM OF INFORMATION,4,1540.0,1,"Ministry of Housing, Communities and Local Government"
Reed,REED LEARNING BACS 22/2,2,1528.3,1,"Department for Environment, Food and Rural Affairs"
Reed,REED CHILL CHEATER       BRAUNTON,3,1500.0,1,"Department for Environment, Food and Rural Affairs"
Reed,REED BUSINESS SCHOOL,1,1473.6,1,"Department for Environment, Food and Rural Affairs"
Reed,ALAN REED ART LTD,1,1344.1,1,UK Trade and Investment
Reed,DR JUDITH FREEDMAN,1,1325.66,1,Royal Borough of Greenwich
Reed,Creed Food Services  Ltd,4,1231.67,1,Bristol City Council
Reed,REED EXHIBITIONS LT,2,1137.6,1,"Department for Environment, Food and Rural Affairs"
Reed,REED HALL,1,1134.0,1,"Department for Environment, Food and Rural Affairs"
Reed,REEDLEARNING,1,1128.0,1,HM Treasury
Reed,Peter Creed,2,1100.0,1,South Gloucestershire Council
Reed,REED TRAINING,4,1026.0,3,"Department for Environment, Food and Rural Affairs,Department of Health and Social Care,HM Treasury"
Reed,BLONDE D'AQUITAINE BREEDERS SOCIETY OF GB LTD T/A BRITISH BLONDE SOCIETY,1,1000.0,1,UK Trade and Investment
Reed,WHISPERING REEDS BOATS,1,978.62,1,"Department for Environment, Food and Rural Affairs"
Reed,SUBSCRIPTION/REED        BUS.INFO,1,900.0,1,"Ministry of Housing, Communities and Local Government"
Reed,Reed Learning PLC,1,899.0,1,South Gloucestershire Council
Reed,FREEDOM LOGISTICS,1,876.89,1,UK Trade and Investment
Reed,REED MIDEM,1,803.55,1,Foreign and Commonwealth Office
Reed,REED BUSINESS INFORMATION LIMITED,1,775.0,1,Blaby District Council
Reed,REED LEARNING BACS 21/12,1,760.0,1,"Department for Environment, Food and Rural Affairs"
Reed,Reed Building Services,1,725.0,1,Rushmoor Borough Council
Reed,FREEDOM GROUP OF COMPANIES,1,695.0,1,Transport for Greater Manchester
Reed,Freedom Scientific Ltd,1,690.0,1,Department for International Development
Reed,ALFAHMAWI FOR REED.,1,644.83,1,Foreign and Commonwealth Office
Reed,ACRA SCREED LTD,1,600.0,1,UK Trade and Investment
Reed,REED MIDEM LTD,1,590.0,1,"Ministry of Housing, Communities and Local Government"
Reed,Reed Specialist Recruitment Limited,1,586.13,1,Cheltenham Borough Council
Reed,REED EXHIBITIONS,1,552.65,1,Foreign and Commonwealth Office
Reed,REED BUS INFORMATION,1,538.92,1,"Department for Environment, Food and Rural Affairs"
Reed,WWW.REEDLEARNING.C       0207 5205100,1,537.3,1,"Ministry of Housing, Communities and Local Government"
Reed,FREEDOM CONFECTIONERY LTD,1,500.0,1,UK Trade and Investment
Reed,FREEDOM PROGRAMME,1,450.0,1,Shropshire Community Health NHS Trust
Reed,DUNCAN REEDS LTD,2,450.0,1,UK Trade and Investment
Reed,MARK REED,2,447.5,1,UK Trade and Investment
Reed,FREED FOODS - MISTER FREED,1,347.35,1,UK Trade and Investment
Reed,REED BUSINESS INFORMAT,2,284.0,1,Natural History Museum
