bucket,supplier_raw,n_txn,gbp_total,n_publishers,a_publisher
bees,Jane Bee Safeguarding Ltd,3,6500.0,1,Bristol City Council
swan,Joseph Swan Academy,18,2805741.05,1,Department for Education
swan,Joseph Swan School,222,19301584.84,1,Department for Education
bunting,Josephine Bunting,1,1500.0,1,Rushmoor Borough Council
bunting,Jude Bunting,1,594.0,1,Equality and Human Rights Commission
puppet,Juggle Puppet Entertainment,1,625.0,1,Rushmoor Borough Council
juggle,Juggle Puppet Entertainment,1,625.0,1,Rushmoor Borough Council
allotment,KILNSEY COMMUNITY ALLOTMENT,1,1500.0,1,Former council of North Yorkshire
brass_band,KIRKBYMOORSIDE BRASS BAND,1,1265.74,1,North Yorkshire Council
dolphin,KIRSTY DOLPHIN,1,925.65,1,Shropshire Community Health NHS Trust
allotment,KNARESBOROUGH ALLOTMENTS SELF HELP SCHEME,2,10530.94,1,North Yorkshire Council
bunting,KREATIVE BUNTING LTD,1,774.0,1,Foreign and Commonwealth Office
donkey,Kelly'S Donkeys,2,650.0,1,Rushmoor Borough Council
cheese,LACEY'S CHEESE,2,2000.0,1,North Yorkshire Council
allotment,LEICESTER CITY PERMANENT ALLOTMENT SOCIETY,1,2260.0,1,Blaby District Council
puppet,LEMPEN PUPPET THEATRE COMPANY,1,500.0,1,North Yorkshire Council
circus,LET'S CIRCUS LLP,1,900.0,1,North Yorkshire Council
puppet,LIFE AND LIMB PUPPETS,2,2870.0,1,North Yorkshire Council
lighthouse,LIGHTHOUSE (UK) LTD,1,1000.0,1,UK Trade and Investment
lighthouse,LIGHTHOUSE FUTURES TRUST,9,7144.83,2,Former council of North Yorkshire
lighthouse,LIGHTHOUSE GROUP,5,303015.63,1,"Ministry of Housing, Communities and Local Government"
lighthouse,LIGHTHOUSE GROUP UK LTD,29,938282.49,1,"Ministry of Housing, Communities and Local Government"
lighthouse,LIGHTHOUSE HARMONIZE EDUCATION TRUST,107,3360584.55,1,Department for Education
lighthouse,LIGHTHOUSE MEDICAL LTD,95,9938773.67,2,Isle of Wight NHS Trust
lighthouse,LIGHTHOUSE SCHOOL,25,265666.99,2,Former council of North Yorkshire
lighthouse,LIGHTHOUSE SCHOOLS PARTNERSHIP,8,716044.0,1,Department for Education
lighthouse,LIGHTHOUSE SCHOOLS PARTNERSHIP ST PETERS TEACHING SCHOOL,9,1154128.31,1,Department for Education
lighthouse,LIGHTHOUSE WOMEN'S AID LTD TRADING AS IPSWICH WOMEN'S AID,14,431807.0,1,Ministry of Justice
reptile,LILLY'S REPTILE RESCUE CIC,1,1000.0,1,North Yorkshire Council
duck,LITTLE DUCKS NURSERY  HEMINGBROUGH LTD,1,28600.0,1,North Yorkshire Council
gravy,LITTLE LAUGHING GRAVY SA,1,37.4,1,Natural History Museum
knitting,Let'S Crochet Uk,2,1574.42,1,Rushmoor Borough Council
lighthouse,Lighthouse (Training and Development) Ltd,43,3142183.6,1,Department for Education
lighthouse,Lighthouse (UK) Ltd,1,1200.0,1,The National Archives
lighthouse,Lighthouse School Leeds,59,2401666.46,1,Department for Education
lighthouse,Lighthouse Schools Partnership,16,2780066.31,1,Department for Education
clown,Little Clowns Nursery Limited,1,1701.0,1,South Gloucestershire Council
owl,Little Owls Preschool,3,3815.1,1,Plymouth City Council
lobster,Lobster Construction Management,3,17548.14,1,Uttlesford District Council
taxidermy,London Taxidermy,3,1870.0,1,Natural History Museum
toilet,Luxury Toilet Hire Uk LTD,1,9495.0,1,Uttlesford District Council
dolphin,MANTILLA LTD -DOLPHIN SQUARE HOTEL,12,45996.15,1,Foreign and Commonwealth Office
maypole,MAYPOLE LTD,4,3324.7,1,UK Trade and Investment
bagpipe,MCCALLUM BAGPIPES,2,4881.5,1,"Foreign, Commonwealth and Development Office (FCDO)"
taxidermy,MCKENZIE TAXIDERMY,2,847.69,1,Natural History Museum
disco,MDA / MADAGASCAR DISCO,1,772.23,1,"Foreign, Commonwealth and Development Office (FCDO)"
knight_medieval,MEDIEVAL MUSIC IN THE DALES,1,996.0,1,North Yorkshire Council
mermaid,MERMAIDS TAIL,3,150.0,2,"Department for Digital, Culture, Media and Sport"
mermaid,MERMAIDS UK,5,1500.0,1,Shropshire Community Health NHS Trust
blacksmith,MESSRS TAIT FARRIER GRAHAM#DX60304,1,29937.23,1,Ministry of Justice
regalia,MICHAELS CIVIC ROBES,1,1656.0,1,Royal Borough of Greenwich
armadillo,MINISTRY OF WOOL LTD T/A ARMADILLO MERINO,5,3930.42,1,UK Trade and Investment
pest,MITIE PEST CONTROL LTD,1,47964.0,1,National Offender Management Service
crab,MO'S CRAB AND  PASTA FACT,1,39.18,1,Natural History Museum
thatching,MOTOR INSURANCE REPAIR RESEARCH CENTRE (THE) T/A THATCHAM RESEARCH,32,248528.37,1,Home Office
goat,MOUNTAIN GOAT LTD,2,1500.0,1,UK Trade and Investment
goat,MOUNTAIN GOAT TOURS & HOLIDAYS,2,2399.5,1,UK Trade and Investment
squirrel,MR B SQUIRRELL#DX 453,1,36525.0,1,Ministry of Justice
swan,MR C T SWAN T/A SWAN PRODUCTS,1,28950.9,1,Ministry of Defence
duck,MR J DUCK,1,1272.0,1,Royal Borough of Greenwich
santa,MT 01 - SANTA CRUZ,1,531.36,1,Foreign and Commonwealth Office
giraffe,MY GIRAFFE LTD,1,31980.0,1,Department of Health and Social Care
sheep,MY SHEPHERD HOUSE,2,4000.0,1,Royal Borough of Greenwich
marmalade,Marmalade On Toast,3,1500.0,1,Queen Elizabeth II Conference Centre
toilet,Mendip Toilet Hire,49,89242.0,1,Bristol City Council
mermaid,Mermaid Training,1,650.0,1,Bristol City Council
mermaid,Mermaids,1,700.0,1,Rushmoor Borough Council
regalia,Michaels Civic Robes,2,1819.0,2,Bristol City Council
swan,Mr Daniel Swan,3,1713.75,1,Plymouth City Council
pest,NBC BIRD & PEST SOLUTIONS LTD,47,1023442.65,1,Ministry of Defence
pest,NBC Bird & Pest Solutions Ltd,2,25920.0,1,Plymouth City Council
bees,NEW QUE BEE STORE,23,24363.8,2,Foreign and Commonwealth Office
circus,NOFIT STATE CIRCUS,1,1120.58,1,North Yorkshire Council
circus,NOFIT STATE COMMUNITY CIRCUS LTD,1,500.0,1,UK Trade and Investment
reptile,NORTHAMPTON REPTILE CENTR,1,208.45,1,Natural History Museum
lighthouse,NORTHERN LIGHTHOUSE BOARD,2,190556.08,2,"Department for Environment, Food and Rural Affairs"
cheese,North Street Cheese Company Ltd,2,10000.0,1,Bristol City Council
coffin,OASIS TRANSFORMATION TRADING COMPANY LTD T/A OASIS COFFINS,1,644.0,1,UK Trade and Investment
viking,OFFICE DEPOT (INTL) LTD T/A VIKING DIRECT,8,6220.29,1,Royal Borough of Greenwich
swan,OLD SWAN HOTEL,1,250.0,1,Eden District Council
otter,OTTER WATERSPORTS,1,1127.52,1,"Department for Environment, Food and Rural Affairs"
otter,OTTER.AI,3,2657.89,1,"Foreign, Commonwealth and Development Office (FCDO)"
owl,OWL CENTRE LTD (THE),10,619159.0,1,NHS Norfolk and Suffolk ICB - 25k Expenditure Report
pest,OWL PEST CONTROL,1,688.63,1,"Foreign, Commonwealth and Development Office (FCDO)"
owl,OWL PEST CONTROL,1,688.63,1,"Foreign, Commonwealth and Development Office (FCDO)"
owl,OWLS AC,1,1234.0,1,Blaby District Council
owl,OWLS ATHLETICS CLUB,1,750.0,1,Blaby District Council
owl,OWLS HALL ENVIRONMENTAL LTD,1,550.0,1,UK Trade and Investment
crier_misc,OYEZ PROFESSIONAL SERVICES LTD,1,817.34,1,Royal Borough of Greenwich
toilet,OZLOOS TOILET HIRE,2,84.0,1,Shropshire Community Health NHS Trust
viking,Office Depot Internation (UK) Ltd T/A Viking,3,3424.36,1,Bristol City Council
otter,Otter Nurseries Pl,2,3518.8,1,Plymouth City Council
otter,Otter.Ai,1,542.4,1,The National Archives
owl,Owls Hall Environmental Ltd,1,12562.12,1,Uttlesford District Council
crier_misc,Oyez Professional Services Limited,3,45442.1,2,Equality and Human Rights Commission
mermaid,PAYPAL MERMAIDTHEA,1,1696.59,1,Foreign and Commonwealth Office
sword,PEN&SWORD BOOKS LT,15,26170.59,1,The National Archives
pest,PEST CONTROL CONSULTANTS & SERVICES,4,8515.88,1,Department for International Development
allotment,PICKERING & DISTRICT SMALLHOLDING & ALLOTMENTS ASSOCIATION,1,600.0,1,North Yorkshire Council
sword,POOLEY SWORD LIMITED,6,62787.29,1,Ministry of Defence
thatching,PRC DTR THATCHAM ST FINIANS SCHOOL,2,655178.16,1,Department for Education
cheese,PRIMA CHEESE LTD,2,1189.64,1,UK Trade and Investment
pudding,PROOF OF THE PUDDING,2,2231.28,1,Foreign and Commonwealth Office
pest,PROPEST CONTROL LIMITE,3,2191.19,1,"Foreign, Commonwealth and Development Office (FCDO)"
parsnip,Parsnip Mash Ltd,2,2731.34,1,Bristol City Council
allotment,Patchway Pretoria Road Allotment Society,2,6200.0,1,South Gloucestershire Council
bees,QUEEN BEE FILMS LTD,1,572.89,1,UK Trade and Investment
pest,Quickil Pest Control Services Ltd,1,4364.98,1,London Borough of Richmond Upon Thames
santa,REAL REINDEER LIMITED,2,4500.0,1,Royal Borough of Greenwich
bees,RED BEE MEDIA LTD,5,182194.0,1,Department for Work and Pensions
toad_frog,RED FROG HIRE LTD,48,3565056.23,1,HM Revenue and Customs
elvis,RED INC LTD T/A ELVIS JESUS,3,2976.6,1,UK Trade and Investment
lobster,RED LOBSTER MEDIA PRODUCTIONS LTD,2,873.15,1,UK Trade and Investment
ninja,RED NINJA,1,900.0,1,Transport for Greater Manchester
ninja,RED NINJA LTD,3,3000.0,1,UK Trade and Investment
squirrel,RED SQUIRREL PROPERTY SHOP LIMITED,1,1150.0,1,Royal Borough of Greenwich
pest,RED WASP MARKETING LTD,5,47000.0,1,UK Trade and Investment
blacksmith,REDACTED T/A Fire Iron Art Blacksmiths,1,1500.0,1,Bristol City Council
pest,RENTOKIL INITIAL PEST CONTROL,67,59058.85,1,Eden District Council
pest,RENTOKIL PEST CONTROL,24,15218.78,3,"Department for Environment, Food and Rural Affairs"
wig,RH SMITH AND SONS (WIGMAKERS) T/A SMIFFY'S,1,600.0,1,UK Trade and Investment
rhubarb,RHUBARB FOOD DESIGN,1,70000.0,1,Foreign and Commonwealth Office
rhubarb,RHUBARB HEAD OFFICE,1,9663.53,1,"Foreign, Commonwealth and Development Office (FCDO)"
rhubarb,RHUBARB T3 HEARGROW,1,2.49,1,Natural History Museum
rhubarb,RHUBARB T3 HEATHRO,1,13.51,1,Natural History Museum
rhubarb,RHUBARBFOODDM4,1,2181.07,1,"Foreign, Commonwealth and Development Office (FCDO)"
toad_frog,RICHARD FLOWER T/A FUZZY-FROG GAMES,1,500.0,1,UK Trade and Investment
alpaca,RICHARD HARTLEY T/A THE ALPACA COLLECTION,3,2126.24,1,UK Trade and Investment
sheep,RICHARD SHEPHERD MUSIC FOUNDATION,2,4980.0,1,North Yorkshire Council
cheese,RIPPON CHEESE STOR,4,4860.2,1,Foreign and Commonwealth Office
cheese,RJC ENTERPRISES LTD T/A THE TRUCKLE CHEESE CO,4,1267.2,1,UK Trade and Investment
dinosaur,ROBOT DINOSAUR PRODUCTIONS LIMITED,1,2500.0,1,Bristol City Council
dinosaur,ROTREX GROUP LTD,1,774.39,1,"Department for Environment, Food and Rural Affairs"
jester,RUSS ERWYD T/AS CONWY JESTER,1,1950.0,1,Royal Borough of Greenwich
toad_frog,Red Frog Hire Limited,1,162103.2,1,HM Revenue and Customs
spider_org,Red Spider Ltd,1,63480.0,1,HM Revenue and Customs
squirrel,Red Squirrel Survival Trust,1,80938.0,1,"Department for Environment, Food and Rural Affairs"
pest,Rentokil Pest Control UK,1,895.51,1,South Gloucestershire Council
rhubarb,Rhubarb Food Design Ltd,1,8175.82,1,Department for International Development
rhubarb,Rhubarb Theatre,22,25292.9,1,Rushmoor Borough Council
cheese,Rippon cheese Stores,1,3881.56,1,"Foreign, Commonwealth and Development Office (FCDO)"
dinosaur,Robot Dinosaur Productions Limited,3,8000.0,1,Bristol City Council
dinosaur,SAMTREX,1,657.64,1,Foreign and Commonwealth Office
santa,SANTA FE,24,24314.3,1,Foreign and Commonwealth Office
santa,SANTA FE REST,1,501.38,1,"Foreign, Commonwealth and Development Office (FCDO)"
santa,SANTA LUZ,1,910.5,1,"Foreign, Commonwealth and Development Office (FCDO)"
santa,SANTA MARIA PUBLICIDAD,8,11756.59,1,"Foreign, Commonwealth and Development Office (FCDO)"
santa,SANTA MONICA DESIGNS LTD,3,500.0,1,UK Trade and Investment
gull,SEAGULL FITTINGS LTD,1,1289.82,1,Natural History Museum
swan,SELBY SWANS GYMNASTIC ACADEMY,3,2650.0,1,North Yorkshire Council
swan,SELBY SWANS GYMNASTICS ACADEMY,1,2900.0,1,Former council of North Yorkshire
sheep,SHEPHERD & WEDDERBURN,1,74930.72,1,HM Revenue and Customs
sheep,SHEPHERD CONSTRUCTION LTD,22,5958770.47,2,Ministry of Justice
sheep,SHEPHERD ENGINEERING SERVICES LIMITED,47,247846.35,1,Royal Borough of Greenwich
sheep,SHEPHERD HARRIS LLP,2,62644.34,1,Ministry of Justice
sheep,SHEPHERD REYNOLDS SOLICITORS LTD,5,159977.0,1,Ministry of Justice
sheep,SHEPHERDS BUSH HOUSING,3,130850.0,1,"Ministry of Housing, Communities and Local Government"
sheep,SHEPHERDS BUSH HOUSING ASSOC,2,125566.0,1,"Ministry of Housing, Communities and Local Government"
sheep,SHEPHERDS INN & THE AUCTIONEER,1,2604.17,1,Eden District Council
sheep,SHEPHERDS INN COMMUNITY PCs,3,1500.0,1,Eden District Council
sheep,SHEPHERDSBO,1,118.3,1,Natural History Museum
sheep,SHEPHERDSWELL INFANT SCHOOL,1,25000.0,1,Department for Education
pest,SHIELD PEST CONTROL,1,447.8,1,Queen Elizabeth II Conference Centre
knitting,SIMPLEX KNITTING CO LTD,3,3986.05,1,UK Trade and Investment
snake,SNAKE AND DAGGER LTD,1,200.0,1,UK Trade and Investment
wizard,SOLUTIONS WIZARD TECH,1,552.7,1,"Foreign, Commonwealth and Development Office (FCDO)"
windmill,SPACE BASE OUT OF SCHOOL CLUB (WINDMILL NURSERY),1,500.0,1,Former council of North Yorkshire
spider_org,SPIDER UK LTD,3,3987.9,2,Blaby District Council
otter,SPOTTY OTTER LTD T/A LITTLE TREKKERS,4,1500.0,1,UK Trade and Investment
squirrel,SQUIRREL MEDICAL,2,1074.0,1,Shropshire Community Health NHS Trust
swan,ST SWAN & LION,1,666.09,1,"Foreign, Commonwealth and Development Office (FCDO)"
unicorn,STALLION AND UNICORN LIMITED,2,1240000.0,1,"Foreign, Commonwealth and Development Office (FCDO)"
swan,STAR SWAN PRIVATE HIRE,4,2624.0,1,Transport for Greater Manchester
stilt,STILTZ LTD,3,33018.0,1,North Yorkshire Council
pest,STRUCKUM PEST CONTROL,1,691.19,1,"Foreign, Commonwealth and Development Office (FCDO)"
puppet,SWALLOW'S WINGS PUPPETRY CIC,1,756.0,1,North Yorkshire Council
swan,SWAN,3,27216.0,2,"Ministry of Housing, Communities and Local Government"
swan,SWAN (GRASMERE),1,1320.0,1,"Department for Environment, Food and Rural Affairs"
swan,SWAN GOLF DESIGNS LTD,1,1000.0,1,UK Trade and Investment
swan,SWAN HOUSING ASSOCIATION LIMITED,1,394147.75,1,"Ministry of Housing, Communities and Local Government"
swan,SWAN LANE FIRST SCHOOL,1,25000.0,1,Department for Education
swan,SWAN Netball Club,2,900.0,1,Uttlesford District Council
swan,SWAN PETROLEUM           WHITTINGTON,4,2895.11,1,"Department for Environment, Food and Rural Affairs"
swan,SWAN SURGERY,72,700586.15,1,NHS Norfolk and Suffolk ICB - 25k Expenditure Report
swan,SWAN TEST & CALIBRATIO,3,3594.0,1,"Department for Environment, Food and Rural Affairs"
swan,SWAN VALLEY COMMUNITY SCHOOL,1,600.0,1,Royal Borough of Greenwich
swan,SWANS TRAVEL,38,586954.57,1,Transport for Greater Manchester
swan,SWANS TRAVEL LTD,14,14253.75,2,Foreign and Commonwealth Office
sword,SWORD CONSTRUCTION U.K. LIMITED,1,36525.0,1,Maidstone and Tunbridge Wells NHS Trust
sword,SWORD CONSTRUCTION UK LTD,32,3173237.72,1,Maidstone and Tunbridge Wells NHS Trust
sword,SWORD MEDICAL UK LTD,1,80550.43,1,East Sussex Healthcare NHS Trust
lighthouse,SYNTRIOLIGHTHOUSEHOTLI,2,1414.6,1,"Foreign, Commonwealth and Development Office (FCDO)"
dinosaur,Samtrex pty ltd,1,637.36,1,Department for International Development
panto,Scenic Pantomimes,13,39578.32,1,Rushmoor Borough Council
panto,Scenic Pantomimes Limited,16,54912.66,1,Rushmoor Borough Council
sheep,Sheep Dip Lane Academy,31,2189158.49,1,Department for Education
sheep,Shepherd & Wedderburn,4,312201.51,1,HM Revenue and Customs
sheep,Shepherdswell Academy,158,3675498.74,1,Department for Education
sheep,Shepherdswell School,54,756210.0,1,Department for Education
donkey,South East Donkeys,2,650.0,1,Rushmoor Borough Council
lighthouse,St Mary's CEVC Primary School (Lighthouse Schools Partnership),2,1300.0,1,Bristol City Council
circus,Steamship Circus Ltd,8,7685.0,1,Rushmoor Borough Council
stilt,Stilton C of E Primary Academy,41,2065482.73,1,Department for Education
butterfly_farm,Stratford Butterfly Farm Ltd,40,25489.35,2,"Department for Digital, Culture, Media and Sport"
hedgelay,Surrey Hedgelaying Group,1,962.0,1,Rushmoor Borough Council
swan,Swan Advocacy,23,26898.4,1,Bristol City Council
swan,Swan Family Centres Limited,6,196888.75,1,Children and Family Court Advisory and Support Service
swan,Swan Family Centres Ltd,6,10794.0,1,Bristol City Council
swan,Swan Films Ltd,3,2740.27,1,Bristol City Council
swan,Swan Generators Ltd,3,77213.0,1,Coventry and Warwickshire Partnership NHS Trust
swan,Swan Private Hire,2,1203.36,1,Equality and Human Rights Commission
swan,Swans Travel Limited,2,10080.0,1,"Foreign, Commonwealth and Development Office (FCDO)"
sword,Sword Charteris Ltd,2,5309.9,1,Plymouth City Council
blacksmith,TAIT FARRIER GRAHAM,6,195500.0,1,Ministry of Justice
puppet,TATWOOD PUPPETS LTD,1,846.4,1,North Yorkshire Council
wizard,TEXT WIZARD COPYWRITING LTD,2,2532.44,1,UK Trade and Investment
thatching,THATCHAM MEDICAL PRACTICE (K81073),57,609492.1,1,NHS Thames Valley ICB
thatching,THATCHED HOUSE CARS,1,31.0,1,The National Archives
thatching,THATCHED HOUSE HTL,1,120.0,1,Natural History Museum
thatching,THATCHERS CIDER COMPANY LTD,1,1000.0,1,UK Trade and Investment
swan,THE BEDFORD SWAN HOTEL,3,13031.43,1,UK Trade and Investment
swan,THE BEDFORD SWAN HOTEL   BEDFORD,1,65.0,1,"Ministry of Housing, Communities and Local Government"
bees,THE BEES KNEES LTD,1,1000.0,1,UK Trade and Investment
brass_band,THE BOLLYWOOD BRASS BAND LLP,5,19590.0,1,Royal Borough of Greenwich
sausage,THE BRITISH PREMIUM SAUSAGE COMPANY,1,219.39,1,UK Trade and Investment
sheep,THE BRITISH TEXEL SHEEP SOCIETY LTD,2,2000.0,1,UK Trade and Investment
circus,THE CIRCUS HOUSE CIC,2,3340.0,1,Transport for Greater Manchester
lighthouse,THE COMMISSIONERS OF NORTHERN LIGHTHOUSES,1,98331.6,1,Ministry of Defence
sausage,THE COSMIC SAUSAGES,3,4100.0,1,Royal Borough of Greenwich
cuckoo,THE CUCKOO'S NEST LTD,1,3000.0,1,UK Trade and Investment
dolphin,THE DOLPHIN SCHOOL,1,21277.0,1,Department for Education
windmill,THE EDEN VALLEY WATERMILL SOCIETY LTD,1,3236.16,1,Eden District Council
falconry,THE FALCON SCHOOL NICO,2,3032.18,1,"Foreign, Commonwealth and Development Office (FCDO)"
archery,THE FOSES ARCHERY CLUB,1,540.0,1,Blaby District Council
sheep,THE GOOD SHEPHERD CATHOLIC PRIMARY ARNOLD,1,8986.25,1,Department for Education
sheep,THE GOOD SHEPHERD CATHOLIC PRIMARY SCHOOL,1,25000.0,1,Department for Education
sheep,THE GOOD SHEPHERD CATHOLIC TRUST,3,732200.18,1,Department for Education
sheep,THE GOOD SHEPHERD MULTI ACADEMY,9,545000.0,1,Department for Education
sheep,THE GOOD SHEPHERD MULTI ACADEMY TRUST,1,25000.0,1,Department for Education
sheep,THE GOOD SHEPHERD TRUST,22,1565033.12,1,Department for Education
camel,THE GREEN CAMEL INVESTMENTS LTD,1,48243.53,1,Foreign and Commonwealth Office
giraffe,THE LAUGHING GIRAFFE,6,22361.5,2,Former council of North Yorkshire
lighthouse,THE LIGHTHOUSE,1,1403.23,1,Foreign and Commonwealth Office
lighthouse,THE LIGHTHOUSE SPECIAL SCHOOL,2,61963.0,1,Department for Education
cheese,THE MEADOW CHEESE COMPANY LIMITED,1,3000.0,1,UK Trade and Investment
mermaid,THE MYTTON & MERMAID HOTEL,20,3388.9,1,Shropshire Community Health NHS Trust
swan,THE ORCHESTRA OF THE SWAN,1,2102.25,1,UK Trade and Investment
puppet,THE PUPPET COMPANY LTD,1,1000.0,1,UK Trade and Investment
santa,THE REINDEER CENTRE,1,1680.0,1,Royal Borough of Greenwich
sausage,THE SAUSAGE FACTORY,1,62.71,1,"Department for Digital, Culture, Media and Sport"
coffin,THE SAWD PARTNERSHIP T/A ECOCOFFINS,1,1000.0,1,UK Trade and Investment
sheep,THE SHEPHERDS,1,2145.0,1,Eden District Council
ferret,THE STRAY FERRET LTD,1,3000.0,1,North Yorkshire Council
swan,THE SWAN AT HAY,1,1161.0,1,"Department for Environment, Food and Rural Affairs"
swan,THE SWAN AT HAY          HAY ON WYE HE,1,500.0,1,"Department for Environment, Food and Rural Affairs"
swan,THE SWAN AT THE GLOBE,1,641.25,1,"Foreign, Commonwealth and Development Office (FCDO)"
swan,THE SWAN HOTEL,1,130.0,1,The National Archives
swan,THE SWAN INN,2,1006.3,1,Shropshire Community Health NHS Trust
swan,THE SWAN NETWORK,10,133517.82,1,NHS Thames Valley ICB
swan,THE SWAN PRACTICE (K82007),54,1572004.55,1,NHS Thames Valley ICB
swan,THE WHITE SWAN COMMUNITY GROUP LTD,1,1000.0,1,North Yorkshire Council
swan,THE WHITE SWAN HOTEL,3,214.9,1,The National Archives
giraffe,THINKGIRAFFE CONSULTANCY LTD,1,1312.5,1,Royal Borough of Greenwich
knitting,THIRSK YARNBOMBERS,1,628.0,1,North Yorkshire Council
owl,TOENSMEIER ENTSORGUNG OWL GMBH & CO.KG,3,212954.28,1,Ministry of Defence
toffee,TOFFEE HAMMER PRODUCTIONS LTD,1,19900.0,1,The National Archives
toffee,TOFFEE MOON LTD,1,500.0,1,UK Trade and Investment
santa,TOTAL GAS & POWER (PREV ELF BUSINESS ENERGY),11,594083.08,1,Royal United Hospital Bath NHS Foundation Trust
santa,TOYOTA SANTA FE,1,561.48,1,Foreign and Commonwealth Office
whelk,TWINKLE PARK TRUST,2,104313.0,1,Royal Borough of Greenwich
allotment,TYLDESLEY ALLOTMENTS ASSOCIATION,1,10000.0,1,Transport for Greater Manchester
thatching,Thatcher + Hallam LLP,1,315000.0,1,Bristol City Council
toad_frog,The  Tall Frog,1,709.5,1,"Foreign, Commonwealth and Development Office (FCDO)"
bees,The British Beekeepers Association,1,33534.9,1,"Department for Environment, Food and Rural Affairs"
dolphin,The Dolphin Academy,131,1158658.06,1,Department for Education
dolphin,The Dolphin School,111,6899103.0,2,Bristol City Council
dolphin,The Dolphin School E-Act,12,79196.36,1,Bristol City Council
falconry,The Falcon Hotel,3,3470.0,1,Rushmoor Borough Council
dolphin,The Godolphin Junior School,185,5389556.73,1,Department for Education
sheep,The Good Shepherd Catholic Primary School,58,5416197.22,1,Department for Education
sheep,The Good Shepherd Primary Catholic V,126,3459820.68,1,Department for Education
sheep,The Good Shepherd Trust,63,1252401.0,1,Department for Education
goat,"The Grazing Goat, London",1,506.22,1,"Department for Science, Innovation and Technology"
circus,The Invisible Circus C.I.C,11,91882.5,1,Bristol City Council
jester,The Jester Exchange Ltd,1,3000.0,1,Bristol City Council
lighthouse,The Lighthouse School Leeds,202,1052659.91,1,Department for Education
owl,The Owl Centre Ltd,3,1883.3,1,Bristol City Council
puppet,The Puppet Company ltd,1,450.95,1,Bristol City Council
swan,The Swan School,44,3253503.06,1,Department for Education
swan,The Swan Trust,1,25000.0,1,Department for Education
ukulele,The Ukulele Orchestra Of Great Britain,6,35468.16,1,Rushmoor Borough Council
swan,The White Swan,1,636.0,1,"Department for Environment, Food and Rural Affairs"
toad_frog,Toad Hall Pre School,1,18838.52,1,Plymouth City Council
pest,Total Pest Control,12,18519.0,1,Rushmoor Borough Council
magician,UK HYPNOSIS ACADEMY LT,2,2000.0,1,"Foreign, Commonwealth and Development Office (FCDO)"
unicorn,UNICORN FIRE & SAFETY SOLUTIONS LTD,186,61485.33,1,Shropshire Community Health NHS Trust
unicorn,UNICORN HOUSE,2,9706.41,1,Royal Borough of Greenwich
unicorn,UNICORN INN,4,111.64,1,The National Archives
unicorn,UNICORN PRIMARY SCHOOL,1,25000.0,1,Department for Education
unicorn,UNICORN PRODUCTS LTD,1,450.0,1,UK Trade and Investment
unicorn,UNICORN TRAINING GROUP LTD,1,1000.0,1,UK Trade and Investment
unicorn,"UNICORN,",1,3193.19,1,"Foreign, Commonwealth and Development Office (FCDO)"
unicorn,Unicorn Primary School,62,7258914.54,1,Department for Education
unicorn,Unicorn Training,2,64333.0,1,Cabinet Office
steamengine,Universal Steam Engineering,3,6805.0,1,Bristol City Council
pest,VERMINEX CO WLL,4,4947.37,1,"Foreign, Commonwealth and Development Office (FCDO)"
fudge,VFI Fudge Love OY,2,1782.17,1,"Foreign, Commonwealth and Development Office (FCDO)"
viking,VIKING,15,6434.86,5,Blaby District Council
viking,VIKING ARMS LIMITED,23,2879219.87,1,Ministry of Defence
viking,VIKING ARMS LTD,2,2897.85,1,"Foreign, Commonwealth and Development Office (FCDO)"
viking,VIKING COACHES,68,314205.58,1,Transport for Greater Manchester
viking,VIKING DE,6,6063.88,1,"Foreign, Commonwealth and Development Office (FCDO)"
viking,VIKING DIRECT,937,12740.47,1,Shropshire Community Health NHS Trust
viking,VIKING DIRECT LTD,4,429.45,2,"Department for Digital, Culture, Media and Sport"
viking,VIKING DIREKT DEUTSCHL,1,697.57,1,Foreign and Commonwealth Office
viking,VIKING IE,3,3288.03,1,"Foreign, Commonwealth and Development Office (FCDO)"
viking,VIKING IND,1,22.18,1,Natural History Museum
viking,VIKING INDUSTRIAL PRODUCTS LTD,1,2891.5,1,UK Trade and Investment
viking,VIKING OFFICE UK LIMIT,7,6722.63,1,"Foreign, Commonwealth and Development Office (FCDO)"
viking,VIKING OFFICE UK LIMITED,72,1409.44,1,Shropshire Community Health NHS Trust
viking,VIKING OPTICAL,1,1571.72,1,"Department for Environment, Food and Rural Affairs"
viking,VIKING OPTICAL           01986 875315,4,4069.54,1,"Department for Environment, Food and Rural Affairs"
viking,VIKING RECRUITMENT LTD,1,1000.0,1,UK Trade and Investment
viking,VIKING SIGNS LTD,4,47.45,1,Shropshire Community Health NHS Trust
viking,VIKING UK,5,4878.66,1,"Foreign, Commonwealth and Development Office (FCDO)"
bees,Vee Gee Bee,1,647.65,1,"Foreign, Commonwealth and Development Office (FCDO)"
viking,Viking Arms Ltd,1,519.04,1,Department for International Development
viking,Viking Direct,14,5357.53,2,"Department for Environment, Food and Rural Affairs"
viking,Viking Direct Limited,2,904.21,1,South Gloucestershire Council
viking,Viking Direct Ltd,1,660.91,1,London Borough of Richmond Upon Thames
windmill,"Vokes Taxis Ltd t/a Vokes Taxis, Rainham Cabs & Windmill Taxis",2,795.0,1,Bristol City Council
shortbread,WALKERS SHORTBREAD,5,4967.17,2,Foreign and Commonwealth Office
