expense_area,n_txn,gbp_total,n_publishers,a_publisher
#N/A,11523,22624234.27,6,Department for Work and Pensions
#REF!,1,35397.0,1,Cabinet Office
'CHG DIGITAL DEBT MANAGEMENT SERVICE',1,378.0,1,Department for Work and Pensions
(CLOSED) F&C OPS FIN CMG CF,1,-121.0,1,Department for Work and Pensions
(blank),6,315805.39,1,Ministry of Defence
*NP - Comms,1,35384.0,1,National Institute for Health and Care Excellence
0,2,148805.12,1,Home Office
09/10 Block Alloc - LTP Funded,2,1414.14,1,South Gloucestershire Council
09/10 Block Alloc. - Developer Funded,1,1161.3,1,South Gloucestershire Council
1,1,1545011.15,1,Cabinet Office
1 AMW ESS,3,1600.27,1,Ministry of Defence
1 HORSEGUARDS ROAD,10,20933644.34,1,Cabinet Office
1 SCOTS,1,773.44,1,Ministry of Defence
1 to 1 Tuition 10/11 - KS4,1,750.0,1,South Gloucestershire Council
10 GREAT GEORGE STREET,15,1678428.87,1,Cabinet Office
10 VICTORIA STREET,22,2085627.9,1,Cabinet Office
10/11 Block Alloc - LTP Funded,73,274246.44,1,South Gloucestershire Council
10/11 Block Alloc. - Developer Funded,22,51230.17,1,South Gloucestershire Council
10/11 Bridge Maintenance-LTP Mtce Funded,49,844218.18,1,South Gloucestershire Council
10/11 Public Rights Of Way LTP Mtce Fnd,10,27286.06,1,South Gloucestershire Council
10/11 Surface Rts to Schl LTP Mtce Fnded,3,10853.1,1,South Gloucestershire Council
12 Moravian Court,1,3833.28,1,South Gloucestershire Council
14 - 19 Reform Participation and Attainment,78,5314255979.81,1,Department for Education
14 - 19 Reform Qualification Standards and Reform,473,140725207.18,1,Department for Education
14 - 19 Reform Young People Guidance,46,4176089.16,1,Department for Education
14 Deercote Hollinswood Premises,831,186858.55,1,Shropshire Community Health NHS Trust
14 Deercote Hollinswood Premises Premises-Deercote Centre,24,2701.76,1,Shropshire Community Health NHS Trust
14 Deercotte Hortonwood Premises,30,7611.83,1,Shropshire Community Health NHS Trust
14 SIG REGT (EW),1,1743.75,1,Ministry of Defence
15 Deercote Hortonwood Premises,529,101880.01,1,Shropshire Community Health NHS Trust
1996 Mandatory Renovation Grants,21,104047.31,1,Eden District Council
2.8 Professional Fees,1,28500.0,1,UK Commission for Employment and Skills
2.85 Recruitment,1,33405.25,1,UK Commission for Employment and Skills
2.9 Accommodation,2,77109.38,1,UK Commission for Employment and Skills
2010-11 NVQ Centre costs,1,27343.0,1,National Offender Management Service
2010-11 staff costs,1,43111.0,1,National Offender Management Service
2011-12 Trust subscription,1,25633.0,1,National Offender Management Service
2011-12 contribution,1,54102.0,1,National Offender Management Service
2012 Inspire Regional Progmers,1,34000.0,1,"Department for Digital, Culture, Media and Sport"
2012 SCHEME ADVICE AND GUIDANCE,19,2936.0,1,Department for Work and Pensions
2012 SCHEME APPEALS,14,2119.0,1,Department for Work and Pensions
2012 SCHEME APPLICATIONS FALKIRK,34,6284.0,1,Department for Work and Pensions
2012 SCHEME APPLICATIONS LONGBENTON,80,21175.0,1,Department for Work and Pensions
2012 SCHEME COLLECTIONS,35,3834.0,1,Department for Work and Pensions
2012 SCHEME CONTRACTS COURT PRESENTING OFFICERS,4,399.0,1,Department for Work and Pensions
2012 SCHEME ESCALATED COMPLAINTS,1,207.0,1,Department for Work and Pensions
2012 SCHEME GENERAL INBOUND CALL HANDLING,16,2057.0,1,Department for Work and Pensions
2012 SCHEME NORTH BPAS,3,249.0,1,Department for Work and Pensions
2012 SCHEME NORTH WEST MAINTENANCE,17,6178.0,1,Department for Work and Pensions
2012 SCHEME NORTH WEST NEW CASE,31,6186.0,1,Department for Work and Pensions
2012 SCHEME NORTH WEST OPERATIONAL RESOURCE MANAGEMENT,2,36.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN 1,47,9056.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN 2,71,12702.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN AREA ADVICE CENTRE,21,1886.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN COMPLAINTS RESOLUTION,30,3389.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN ENFORCEMENT CASE MANAGEMENT,79,36222.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN MAINTENANCE,110,27661.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN MAINTENANCE MANAGEMENT OFFICE,12,1652.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN NEW CASE,30,9522.0,1,Department for Work and Pensions
2012 SCHEME REACTIVE TRANSITION,38,5695.0,1,Department for Work and Pensions
2012 SCHEME SOUTH AREA ADVICE CENTRE,5,1126.69,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST AREA ADVICE CENTRE,3,484.0,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST COMPLAINTS RESOLUTION,3,313.0,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST MAINTENANCE,32,4488.0,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST MAINTENANCE MANAGEMENT OFFICE,69,10559.0,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST NEW CASE,76,16496.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST 2,9,901.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST COMPLAINTS RESOLUTION,20,2603.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST CRIMINAL SUSPISION,1,73.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST MAINTENANCE,85,32144.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST MAINTENANCE MANAGEMENT OFFICE,78,20963.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST NEW CASE,72,23289.0,1,Department for Work and Pensions
2012 SCHEME SPECIAL CLIENT RECORDS,4,835.0,1,Department for Work and Pensions
2012 SCHEME THIRD PARTY SERVICES,5,465.0,1,Department for Work and Pensions
2012 SCHEME WEST AREA ADVICE CENTRE,31,10557.0,1,Department for Work and Pensions
2012 SCHEME WLU,2,107.0,1,Department for Work and Pensions
212001-Agency staff,3,36694.73,1,Ministry of Justice
223000-Other Expenditure,9,268506.39,1,Ministry of Justice
245000-Grants in Aid to NDPBs,1,600000.0,1,Ministry of Justice
262000-SCA Costs,5,1601468.68,1,Ministry of Justice
263000-Other Contracted Out Services,2,50339.26,1,Ministry of Justice
265000-IT & Telecommunications,49,1119880.8,1,Ministry of Justice
3 Moravian Rd,1,720.0,1,South Gloucestershire Council
30 HOURS PROGRAMME,1,1143969.5,1,Department for Education
311100-Legal Aid,8,164000000.0,1,Ministry of Justice
35 GREAT SMITH STREET,11,4021450.0,1,Cabinet Office
39 SQN UK,4,7556.25,1,Ministry of Defence
39 SQN US,40,40304.26,1,Ministry of Defence
45 SQN - 1 AMW,2,1481.29,1,Ministry of Defence
5% Contraceptive Non Recoverab,4,839.02,1,The Pennine Acute Hospitals NHS Trust
5-19 School Nursing Dudley Service,888,346365.73,1,Shropshire Community Health NHS Trust
5-19 School Nursing Shropshire,360,79780.81,1,Shropshire Community Health NHS Trust
5-19 School Nursing Telford,64,5484.34,1,Shropshire Community Health NHS Trust
59,1,66666.67,1,The National Archives
60100 431,2,351295.01,1,National Offender Management Service
60100 431/60200 165/60200 265,5,324883.66,1,National Offender Management Service
60100 431/60200 165/60200265,2,124624.01,1,National Offender Management Service
610200-Debtors < 1 Year - VAT,124,3886416.9,1,Ministry of Justice
610400-Debtors <1 year - Prepayments & Accrued Income,12,4081826.01,1,Ministry of Justice
64700 412,4,240090.62,1,National Offender Management Service
67300 240,1,32952.5,1,National Offender Management Service
67300 601,2,60000.0,1,National Offender Management Service
67300-240,1,32952.5,1,National Offender Management Service
70 WHITEHALL,33,11877933.73,1,Cabinet Office
70120 301,1,119413.53,1,National Offender Management Service
710100-Creditors < 1 year - Other Taxation & Social Security,6,1931712.32,1,Ministry of Justice
710200-Creditors < 1 year - Trade & Other Creditors,1,1009033.92,1,Ministry of Justice
710600-Creditor < 1 year - Payable to Consolidated Fund,2,11681554.05,1,Ministry of Justice
"8 South View Rise, Coalpit Heath",1,21095.0,1,South Gloucestershire Council
811000-Interdepartmental - MoJHQ,2,128332.65,1,Ministry of Justice
A & I  PROGRAMME EXPENDITURE,5,299059.14,1,Cabinet Office
A & I PROGRAMME EXPENDITURE,7,443341.48,1,Cabinet Office
A&E Nursing,3,17524.96,1,Milton Keynes Hospital NHS Foundation Trust
A+E Med Staff,1,703.19,1,Milton Keynes Hospital NHS Foundation Trust
A.M.H.A.T,1,27496.0,1,Coventry and Warwickshire Partnership NHS Trust
A/DT LAND/AIR/IS,3,7284.52,1,Ministry of Defence
A/P recharge,4,222400.0,1,National Offender Management Service
A2HA Respiratory CLEAR,2,6017.14,1,Shropshire Community Health NHS Trust
"AA AND RAF STAFF, BDS-US",1,55.45,1,Ministry of Defence
AA499-HMCS Change Programme,17,2186870.91,1,Ministry of Justice
AAS PROGRAM,70,145.27,1,Salisbury NHS Foundation Trust
AB999-Court Improvement Directorate,29,2479666.11,1,Ministry of Justice
ACADEMIES AND REGIONAL DELIVERY TOTAL,1452,61236536.27,1,Department for Education
ACADEMIES DELIVERY DIRECTORATE,394,18732379.24,1,Department for Education
ACADEMY AND FREE SCHOOLS SIXTH FORMS,43269,3953081029.77,1,Department for Education
ACCESS TO WORK,18,352424.0,1,Department for Work and Pensions
ACCOMMODATION,108,50306373.08,3,Department for Work and Pensions
ACCOMMODATION COSTS,58,1465594.0,1,Department for Work and Pensions
ACCOMMODATION MANAGEMENT,32,389.03,1,Salisbury NHS Foundation Trust
ACOS (AVIATION),3,3073.6,1,Ministry of Defence
ACP in Care Homes Shropshire,48,1708.94,1,Shropshire Community Health NHS Trust
ACUTE CARE AND WORKFORCE,553,797356303.06,1,Department of Health and Social Care
ACUTE COMMISSIONING,1281,1399706556.71,1,NHS East and North Hertfordshire CCG
ACUTE MEDICAL UNIT,728,5861.68,1,Salisbury NHS Foundation Trust
ACUTE MEDICINE,77,644868.68,1,Maidstone and Tunbridge Wells NHS Trust
ACUTE PHARMACY,94,127305.84,1,Portsmouth Hospital NHS Trust
AD-HOC NCSP PROJECTS,1,71525.0,1,Cabinet Office
ADHOC BUSINESS,108,8205036.98,1,NHS East and North Hertfordshire CCG
ADMBLD,6,17268.84,1,Eden District Council
ADMIN - STAFF CLUB,4,29.58,1,Salisbury NHS Foundation Trust
ADMIN HUB - PAEDIATRICS,1,301.44,1,Milton Keynes Hospital NHS Foundation Trust
ADMIRALTY ARCH,20,948099.37,1,Cabinet Office
ADMIRALTY HOUSE,3,296726.44,1,Cabinet Office
ADULT JOINT FUNDED CONTINUING CARE,3,116369.37,1,NHS East and North Hertfordshire CCG
ADULT VOLUNTEERING,10,3770522.0,1,Cabinet Office
AE BOSTON,1,38013.3,1,United Lincolnshire Hospitals NHS Trust
AE199-Finance Directorate HMCS HQ,8,389035.21,1,Ministry of Justice
AG999-Estates Directorate HMCS HQ,66,3874269.98,1,Ministry of Justice
AG999-HQ - Estates,190,29173425.31,1,Ministry of Justice
AGENCY,697,56401768.92,1,Isle of Wight NHS Trust
AGENCY TRANSFORMATION,14,588029.26,1,Cabinet Office
AH-WORCESTER,13,1126137.52,1,Animal and Plant Health Agency
AH199-HR HMCS HQ,1,62141.91,1,Ministry of Justice
AH299-Learning & Development,1,27782.45,1,Ministry of Justice
AHO-LEEDS,2,253368.74,1,Animal and Plant Health Agency
AHO-WORCESTER,4,375215.69,1,Animal and Plant Health Agency
AHP Faculty Funding,26,132122.74,1,Shropshire Community Health NHS Trust
AHP and Quality,86,2215.9,1,Shropshire Community Health NHS Trust
AIM Research Contract,1,59000.0,1,National Offender Management Service
ALB REFORM GROUP,1,2569.18,1,Department for Education
ALB Reform Group,112,140016.68,1,Department for Education
ALD Community Nurses (T&W),72,3999.78,1,Shropshire Community Health NHS Trust
ALERT,2,61250.0,1,Portsmouth Hospital NHS Trust
ALERT Courses,1,34550.0,1,Portsmouth Hospital NHS Trust
ALL DEPARTMENTS,1,89604.2,1,Salisbury NHS Foundation Trust
ALL DIRECTORATES,6,642496.8,1,Salisbury NHS Foundation Trust
ALL DIRECTORATES - DANWOOD,2,172319.2,1,Salisbury NHS Foundation Trust
ALLDIR (Top of Directorates),5,1308824.88,1,Salisbury NHS Foundation Trust
"AM999-HQ - Civil, Family & Tribunals",16,722450.98,1,Ministry of Justice
AMBULANCE SERVICES,91,76142148.55,1,NHS East and North Hertfordshire CCG
AMESBURY WARD,2,40.28,1,Salisbury NHS Foundation Trust
AMESBURY WARD - CLINICAL,4,122.81,1,Salisbury NHS Foundation Trust
AMS,33,17420856.39,2,Department for Work and Pensions
AN Capital WiP,444,82645686.58,1,"Department for Environment, Food and Rural Affairs"
AN Capital WiP |,11,926476.11,1,"Department for Environment, Food and Rural Affairs"
AN Capital WiP | AN Central-Ops Delivery,1,33473.64,1,"Department for Environment, Food and Rural Affairs"
AN Central - Flood Risk,9,354433.61,1,"Department for Environment, Food and Rural Affairs"
AN Central-AEM - Bedford,11,491648.26,1,"Department for Environment, Food and Rural Affairs"
AN Central-AEM - Bedford |,1,25783.2,1,"Department for Environment, Food and Rural Affairs"
AN Central-AEM - Brampton,4,178879.8,1,"Department for Environment, Food and Rural Affairs"
AN Central-AEM - Ely,3,884676.0,1,"Department for Environment, Food and Rural Affairs"
AN Central-AEM - Monitoring,2,83133.0,1,"Department for Environment, Food and Rural Affairs"
AN Central-FCRM Ops,1,43200.0,1,"Department for Environment, Food and Rural Affairs"
AN Central-Ops Delivery,37,1726544.76,1,"Department for Environment, Food and Rural Affairs"
AN Central-Ops Delivery |,4,138389.08,1,"Department for Environment, Food and Rural Affairs"
AN Central-Ops Delivery | AN Capital WiP,4,159837.24,1,"Department for Environment, Food and Rural Affairs"
AN Central-Ops Delivery | AN Capital WiP | AN Central-AEM - Bedford,1,29803.2,1,"Department for Environment, Food and Rural Affairs"
AN Corporate Affairs Mgr,1,28640.0,1,"Department for Environment, Food and Rural Affairs"
AN Eastern - Flood Risk,6,230072.08,1,"Department for Environment, Food and Rural Affairs"
AN Eastern - Flood Risk | AN Eastern-Ops Delivery (Essex),1,33332.02,1,"Department for Environment, Food and Rural Affairs"
AN Eastern-AEM - Monitoring,28,2730730.59,1,"Department for Environment, Food and Rural Affairs"
AN Eastern-AEM - Monitoring |,3,210503.94,1,"Department for Environment, Food and Rural Affairs"
AN Eastern-AEM - Monitoring | AN Northern-AEM - Kesteven/Spalding | AN Corporate Affairs Mgr,1,30000.0,1,"Department for Environment, Food and Rural Affairs"
AN Eastern-AEM - Norfolk,4,141170.26,1,"Department for Environment, Food and Rural Affairs"
AN Eastern-AEM - Norfolk and Suffolk,1,42367.2,1,"Department for Environment, Food and Rural Affairs"
AN Eastern-AEM - Suffolk,3,93522.07,1,"Department for Environment, Food and Rural Affairs"
AN Eastern-Ops Del (Norfolk & Suffolk),11,541597.17,1,"Department for Environment, Food and Rural Affairs"
AN Eastern-Ops Delivery (Essex),16,550481.48,1,"Department for Environment, Food and Rural Affairs"
AN Northern - Flood Risk,28,1238759.54,1,"Department for Environment, Food and Rural Affairs"
AN Northern - Flood Risk |,2,59276.26,1,"Department for Environment, Food and Rural Affairs"
AN Northern - Flood Risk | AN Northern-Ops Delivery,1,38400.0,1,"Department for Environment, Food and Rural Affairs"
AN Northern- FCRM Ops (Lincs),1,36000.0,1,"Department for Environment, Food and Rural Affairs"
AN Northern-AEM - Kesteven/Spalding,4,428576.95,1,"Department for Environment, Food and Rural Affairs"
AN Northern-AEM - Northampton/Kettering,22,946073.88,1,"Department for Environment, Food and Rural Affairs"
AN Northern-AEM - Northampton/Kettering |,1,139604.79,1,"Department for Environment, Food and Rural Affairs"
AN Northern-Ops Delivery,33,1464628.45,1,"Department for Environment, Food and Rural Affairs"
AN Northern-Ops Delivery |,1,27680.4,1,"Department for Environment, Food and Rural Affairs"
AN Northern-Ops Delivery | AN Northern - Flood Risk,1,25528.07,1,"Department for Environment, Food and Rural Affairs"
AN Northern-Waterways Development Manager,1,32173.41,1,"Department for Environment, Food and Rural Affairs"
AN Northern-Waterways Operations Manager,1,63582.02,1,"Department for Environment, Food and Rural Affairs"
AN Nthn FCRM Ops W&N,5,150048.0,1,"Department for Environment, Food and Rural Affairs"
AN Regional Facilities,22,1780781.38,1,"Department for Environment, Food and Rural Affairs"
AN Regional Facilities |,1,31500.0,1,"Department for Environment, Food and Rural Affairs"
AN Regional Flood Programme Manager,3,454803.65,1,"Department for Environment, Food and Rural Affairs"
AN Regional HR Mgr,1,88176.0,1,"Department for Environment, Food and Rural Affairs"
AN Strategic Env Planning Mgr,13,632022.05,1,"Department for Environment, Food and Rural Affairs"
AN Strategic Env Planning Mgr |,2,71206.57,1,"Department for Environment, Food and Rural Affairs"
AN999-HQ - Crime,10,671205.6,1,Ministry of Justice
ANAESTHETICS,3,97606.6,1,Portsmouth Hospital NHS Trust
ANAESTHETICS DEPARTMENT,18,349085.44,1,Maidstone and Tunbridge Wells NHS Trust
ANGIOGRAPHY CATHETERISATION LAB,1339,146906.68,1,Salisbury NHS Foundation Trust
ANIMAL MEDICINES INSPECTORATE,1,43179.0,1,"Department for Environment, Food and Rural Affairs"
ANNUALLY MANAGED EXPENDITURE,1,121298.29,1,Cabinet Office
AORTIC ANEURYSM SCREENING PROGRAMME,31,7525.63,1,Salisbury NHS Foundation Trust
AOS CONTRACTED OUT SERVICES,173,5626738.0,1,Department for Work and Pensions
AP999-HQ - Strategy & Change,179,13921859.6,1,Ministry of Justice
APA,49,1905794.34,1,HM Treasury
APA Finance,2,10525.37,1,HM Treasury
APACHE PT CORE SUPPORT,1,218.13,1,Ministry of Defence
APCS,58,846.28,1,Shropshire Community Health NHS Trust
APCS - Dermatology - Telford and Wrekin,62,65898.01,1,Shropshire Community Health NHS Trust
APCS - Dermatology - Telford and Wrekin Premises-Oakengates Health Centre,1,736.83,1,Shropshire Community Health NHS Trust
APCS - ENT - Telford and Wrekin,123,26140.5,1,Shropshire Community Health NHS Trust
APCS - Management - Telford and Wrekin,1403,66464.95,1,Shropshire Community Health NHS Trust
APCS - Musculoskeletal - Telford and Wrekin,924,601906.46,1,Shropshire Community Health NHS Trust
APCS - Musculoskeletal - Telford and Wrekin Premises-Euston Road,15,350673.94,1,Shropshire Community Health NHS Trust
APCS - Rheumatology,3155,1750961.9,1,Shropshire Community Health NHS Trust
APCS - Rheumatology Premises-Dale Acre Way,26,15297.21,1,Shropshire Community Health NHS Trust
APCS Administration,5826,209649.84,1,Shropshire Community Health NHS Trust
APCS Administration Premises-Marysville Family Medical Practice,20,19496.63,1,Shropshire Community Health NHS Trust
APCS Dermatology,501,257980.37,1,Shropshire Community Health NHS Trust
APCS ENT,3179,229874.53,1,Shropshire Community Health NHS Trust
APCS Gynaecology,1827,59386.01,1,Shropshire Community Health NHS Trust
APCS Management Telford & Wrekin,2,17.7,1,Shropshire Community Health NHS Trust
APCS Orthopaedics,1501,73349.53,1,Shropshire Community Health NHS Trust
APCS Respiratory,3258,222555.72,1,Shropshire Community Health NHS Trust
APFAIR,2,3910.3,1,Eden District Council
APPLIANCE DEPARTMENT,6,54.81,1,Salisbury NHS Foundation Trust
APPLICATIONS SERVICE,87,139061.64,1,Department for Work and Pensions
APPRENTICESHIPS,25,10512584.8,1,Department for Education
APPRENTICESHIPS TOTAL,418,25563999.03,1,Department for Education
APPROVED PREMISES,6,456462.52,1,National Offender Management Service
APPS DEV,80,5744368.0,1,Department for Work and Pensions
AQ999-HQ - Finance & Governance,122,30488108.85,1,Ministry of Justice
AR999-HMCS Central Budgets,80,219913787.0,1,Ministry of Justice
AREA ESTATES RECHARGES - DEC 10,1,81880.0,1,National Offender Management Service
AREA ESTATES RECHARGES - FEB 10,1,94443.83,1,National Offender Management Service
AREA ESTATES RECHARGES - JAN 10,1,94443.83,1,National Offender Management Service
AREA ESTATES RECHARGES - MARCH 10,1,94443.83,1,National Offender Management Service
AREA ESTATES RECHARGES - MAY 10,1,81880.0,1,National Offender Management Service
AREA IT CHARGES - DEC 10,1,48004.48,1,National Offender Management Service
AREA IT CHARGES - NOV 10,1,49023.77,1,National Offender Management Service
ARMY EO,1,1368.86,1,Ministry of Defence
"ARMY EXCHANGE POSTS (USA), BDS-US",9,5413.92,1,Ministry of Defence
ARTLEI,3,5221.08,1,Eden District Council
ARTY SYS IPT - RKTS,1,243.38,1,Ministry of Defence
AS Adolescent Services (BRK),8,461042.0,1,Coventry and Warwickshire Partnership NHS Trust
AS Crisis Team Coventry,2,46494.92,1,Coventry and Warwickshire Partnership NHS Trust
AS IAPT Management Leads,1,45710.0,1,Coventry and Warwickshire Partnership NHS Trust
AS LD Medical,21,127502.78,1,Coventry and Warwickshire Partnership NHS Trust
AS Management,6,438479.0,1,Coventry and Warwickshire Partnership NHS Trust
AS Medical,121,707200.34,1,Coventry and Warwickshire Partnership NHS Trust
AS Medical (Solihull),18,11233.18,1,Coventry and Warwickshire Partnership NHS Trust
AS P2P BLACKPOOL,63,72224.25,1,Department for Work and Pensions
AS P2P CARDIFF,166,250442.35,1,Department for Work and Pensions
AS Patient Travel,2,35599.75,1,Coventry and Warwickshire Partnership NHS Trust
AS Pharmacy,179,8831359.39,1,Coventry and Warwickshire Partnership NHS Trust
AS STP Suicide Prevention,1,30000.0,1,Coventry and Warwickshire Partnership NHS Trust
AS Volunteers,1,30690.0,1,Coventry and Warwickshire Partnership NHS Trust
AS999-HQ - Human Resources,2,100416.0,1,Ministry of Justice
ASC Workforce Dev HR Package,14,31877.03,1,Plymouth City Council
ASD,8,301750.0,1,The National Archives
ASSESSMENT AND CURRICULUM AND GENERAL QUALIFICATIONS,1114,472756335.28,1,Department for Education
ASSET PROTECTION AGENCY,1,34937.76,1,HM Treasury
ASSURANCE,4,919113.0,1,NHS East and North Hertfordshire CCG
AT899-HQ - ICT,184,13300983.25,1,Ministry of Justice
ATTACHE COMMERCIAL WASHINGTON BDS-US,2,129.17,1,Ministry of Defence
ATTACHE LEGAL & TRADE WASHINGTON DC BDS-US,6,5264.64,1,Ministry of Defence
AU999-National Taxing Teams,481,47995327.4,1,Ministry of Justice
AUDIOLOGY HOSP. OTHER,225,86709.19,1,Salisbury NHS Foundation Trust
AUDIT,2,108500.0,1,Cabinet Office
AUDIT AND ASSURANCE UNIT,2,87691.15,1,Cabinet Office
AUDIT FEES,1,145000.0,1,Department for Work and Pensions
AV322-CP Change Management SUPS,101,15024936.23,1,Ministry of Justice
AV324-CP Change Management DARTS,3,280179.93,1,Ministry of Justice
AV326-CP Change Management Initiatives,9,948099.5,1,Ministry of Justice
AV327-CP E-Working Project,3,685343.65,1,Ministry of Justice
AV329-CP-Mag. Courts Operational Bus.sys,118,9559877.43,1,Ministry of Justice
AV330-PENTIP - Penalty Notices Project,1,65894.4,1,Ministry of Justice
AV331-CP Resources,2,168573.73,1,Ministry of Justice
AV332-CBMP Civil Bus Mod Programme,8,564931.6,1,Ministry of Justice
AV334-DARTS Roll Out Project,8,536748.1,1,Ministry of Justice
AV999-HMCS Change Projects,7,4127568.15,1,Ministry of Justice
AVAILABLE FOR PAED USE,23,5692.08,1,Department for Work and Pensions
AVIATION HOUSE,2,63054.22,1,Cabinet Office
AVON & TAMAR WARDS NON STAFF,242,4454.39,1,Salisbury NHS Foundation Trust
AW999-Operations & Performance Dir.,12,675898.18,1,Ministry of Justice
AWC BOSCOMBE DOWN MIL BUSINESS,1,913.54,1,Ministry of Defence
AWC BOSCOMBE DOWN QQ BUSINESS,4,11917.44,1,Ministry of Defence
AWC SPECIAL PROJECTS TEAM,3,182.97,1,Ministry of Defence
AXIS Programme,3,4420.0,1,Department for International Development
AZ999-HMCS Total,406,49065513.95,1,Ministry of Justice
Abandoned Vehicles,5,2909.5,1,South Gloucestershire Council
Abbeywood Community School,43,2041762.35,1,South Gloucestershire Council
Abbotswood Primary,3,6017.0,1,South Gloucestershire Council
Abercrombie House,97,590656.02,1,Department for International Development
Abercrombie House (UK Office),31,189292.37,1,Department for International Development
Academic Building Development,1,46613.83,1,Milton Keynes Hospital NHS Foundation Trust
Academic Health Science Network,2,60000.0,1,Milton Keynes Hospital NHS Foundation Trust
Academies ARDG Programmes,14,366335.73,1,Department for Education
Academies Bursary Funding,1796,238248495.64,1,Department for Education
Academies Delivery,4,897.0,1,Department for Education
Academies Delivery Group,7844,344564442.52,1,Department for Education
Academies Group,66,1313533.06,1,Department for Education
Academies National Funding Division,25564,870501.74,1,Department for Education
Academies Policy and School Organisation Group,25,8277786.13,1,Department for Education
Academies Policy and Schools Organisation Group,704,47144695.7,1,Department for Education
Academies Programme Management Division,1150,22510.0,1,Department for Education
Academies Regional Delivery Group,2038,110654540.01,1,Department for Education
Academies Risk Team,2,22956.0,1,Department for Education
Academies Southern Territory,54,28229.97,1,Department for Education
Academies Team,1,40092.0,1,Department for Education
Academies and Maintained Schools Group,32,745.17,1,Department for Education
Academies general,482994,21521562562.29,1,Department for Education
Accelerated Expenditure,26,2210582.41,1,Isle of Wight NHS Trust
Access and Waiting Times,7,2254542.0,1,National Institute for Health and Care Excellence
Access for All Grant funded works,2,1796.29,1,South Gloucestershire Council
Access to Employment (PSA),4,19897.91,1,South Gloucestershire Council
Access to Information,84,30721.36,1,"Department for Environment, Food and Rural Affairs"
Access to Work,1,1100.0,1,National Offender Management Service
Access to information,10,93282.12,1,"Department for Environment, Food and Rural Affairs"
Accident & Emergency,22,938052.68,1,Whittington Hospital NHS Trust
Accident & Emergency (North),2,74162.6,1,The Pennine Acute Hospitals NHS Trust
Accomm. Works Reloc. Costs,11,19400.57,1,South Gloucestershire Council
Accommodation,47,5922666.86,3,Home Office
Accommodation Block,5,140006.05,1,Milton Keynes Hospital NHS Foundation Trust
Accommodation Costs,25,3643813.0,1,Department for Work and Pensions
Accommodation North Mcr,1,87824.04,1,The Pennine Acute Hospitals NHS Trust
Accommodation block,1,28001.21,1,Milton Keynes Hospital NHS Foundation Trust
Accomodation,2,1212969.0,1,Home Office
Accomodation expenses,2,4222.0,1,Ministry of Defence
Accountability  Curriculum and Qualifications Group,52,25587600.04,1,Department for Education
Accountability Curriculum and Qualifications Group,16,5606109.11,1,Department for Education
"Accountability, Curriculum and Qualifications Group",133,84171196.5,1,Department for Education
Accounting,357,92484.86,1,UK Shared Business Services
Accreditation,4,152.51,1,South Gloucestershire Council
Accredited Programmes,2,166692.65,1,National Offender Management Service
Accredited Programmes - East Sussex & Brighton,2,57000.0,1,National Offender Management Service
Achieve - ESF Project,71,2823579.26,1,National Offender Management Service
Acklington,81,2908504.27,1,National Offender Management Service
Acquisitions,27,4129754.72,2,Tate
Active Lifestyles,6,19464.3,1,South Gloucestershire Council
Acute - MKCHS Recharge,1,66523.92,1,Milton Keynes Hospital NHS Foundation Trust
Acute Care and Workforce,53,70593140.92,1,Department of Health and Social Care
Acute IPU,4,150529.48,1,Coventry and Warwickshire Partnership NHS Trust
Acute IPU - Window and Doors,2,103852.91,1,Coventry and Warwickshire Partnership NHS Trust
Acute Oncology,1,75720.0,1,The Pennine Acute Hospitals NHS Trust
Acute Partnership,1,72277.0,1,Isle of Wight NHS Trust
Acute Partnership Transformation Team,3,107678.92,1,Isle of Wight NHS Trust
Acute Pharmacy,10,481374.25,1,Portsmouth Hospital NHS Trust
Ad Hoc Trust Wide Costs,1,26000.0,1,Milton Keynes Hospital NHS Foundation Trust
Adjudicators Office,7,367.0,1,HM Revenue and Customs
Adjustments,1,325.0,1,Ministry of Defence
Admin,3,364766.49,1,National Offender Management Service
Admin and Complaints,34,3052.87,1,Shropshire Community Health NHS Trust
Administration,178,10992008.77,4,Ministry of Defence
Administration & Personnel CSO,2,133349.18,1,Northern Ireland Office
Administration Team,53,5361158.39,1,Department for Education
Administrative Buildings,40,54886.77,1,Eden District Council
