expense_area,n_txn,gbp_total,n_publishers,a_publisher
DIG SOFTWARE ENGINEERING JOB FAMILY,35,67495.0,1,Department for Work and Pensions
DIG SPECIALIST & ENGINEERING DEVICE SERVICE,18,2872868.0,1,Department for Work and Pensions
DIG SRE PROJECTS,155,718015.0,1,Department for Work and Pensions
DIG SRE PROJECTS DEL P,11,750342.0,1,Department for Work and Pensions
DIG STRATEGIC SERVICES,70,2843994.0,1,Department for Work and Pensions
DIG STRATEGIC SERVICES STAFFING,24,33872.0,1,Department for Work and Pensions
"DIG STRATEGY, A & DESIGN STAFFING",14,22011.0,1,Department for Work and Pensions
DIG SURVEYS,5,2042511.0,1,Department for Work and Pensions
DIG TACTICAL TRANSFORMATION -  HWA DEL P,4,1347874.0,1,Department for Work and Pensions
DIG TBPS PROJECT,8,261177.0,1,Department for Work and Pensions
DIG TEAM COLLABORATION,1,138611.0,1,Department for Work and Pensions
DIG TECH PLATFORM BUS SUPPORT SYS CORE,3,258.0,1,Department for Work and Pensions
DIG TECH PLATFORM CIS BAU,161,2843724.68,1,Department for Work and Pensions
DIG TECH PLATFORM CIS REMEDIATION,181,7605163.5,1,Department for Work and Pensions
DIG TECH PLATFORM CIS SEF,49,4224130.25,1,Department for Work and Pensions
DIG TECH PLATFORM EDRMS,35,790380.87,1,Department for Work and Pensions
DIG TECH PLATFORM FED CORE,53,141368.0,1,Department for Work and Pensions
"DIG TECH PLATFORM FIN, COMM & HR CORE",364,2792005.26,1,Department for Work and Pensions
