publisher,supplier_raw,expense_type,year,txns,gbp
North Yorkshire Council,TRAFFIC ENFORCEMENT CENTRE,201600 Financial Services > Debt Collection & Recovery,2023,16,20000.0
North Yorkshire Council,TRAFFIC ENFORCEMENT CENTRE,201600 Financial Services > Debt Collection & Recovery,2024,8,10000.0
Royal Borough of Greenwich,HER MAJESTY`S COURTS SERVICE,Court Costs Summons Fees,2014,5,29994.0
Royal Borough of Greenwich,HER MAJESTY`S COURTS SERVICE,Court Costs Summons Fees,2015,14,55713.0
Royal Borough of Greenwich,TERRI`S NAIL & BEAUTY PLACE,Court Costs Summons Fees,2015,1,1080.0
Royal Borough of Greenwich,HER MAJESTY`S COURTS SERVICE,Court Costs Summons Fees,2016,12,60048.0
Royal Borough of Greenwich,HER MAJESTY`S COURTS SERVICE,Court Costs Summons Fees,2017,3,18999.0
Rushmoor Borough Council,HM Magistrates Court,Cost of NNDR Collection,2013,1,738.0
Rushmoor Borough Council,HM Magistrates Court,Council Tax Collection,2013,1,2370.0
