group,supplier_raw,publisher,expense_type_class,year,txns,gbp
Indesser/iDS,INDESSER,NHS Business Services Authority,Professional Fees,2021,7,1117778.29
Indesser/iDS,INDESSER,NHS Business Services Authority,Software Licences,2021,1,369543.17
Indesser/iDS,INDESSER,NHS Business Services Authority,Exemption Check Costs,2022,3,183600.0
Indesser/iDS,INDESSER,NHS Business Services Authority,Professional Fees,2022,4,498647.19
Indesser/iDS,INDESSER,NHS Business Services Authority,Software Licences,2022,3,180685.25
Indesser/iDS,INDESSER,NHS Business Services Authority,Exemption Check Costs,2023,16,1288819.87
Indesser/iDS,INDESSER,NHS Business Services Authority,Professional Fees,2023,14,553026.7
Indesser/iDS,INDESSER,NHS Business Services Authority,Exemption Check Costs,2024,11,736822.33
Indesser/iDS,INDESSER,NHS Business Services Authority,Professional Fees,2024,13,364550.47
Indesser/iDS,INDESSER,NHS Business Services Authority,Exemption Check Costs,2025,9,766771.8
Indesser/iDS,INDESSER,NHS Business Services Authority,Professional Fees,2025,12,555354.7
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2013,1,135874.88
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt collection serv,2013,6,1685753.06
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Legal Serv's Agencys,2013,1,28069.86
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2014,6,334373.61
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2015,12,2971598.55
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2016,12,6412628.64
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2017,12,861877.91
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2018,6,188641.2
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2022,2,382086.32
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2023,43,24792231.96
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll service (DEL),2023,4,1828156.75
TDX Group,TDX GROUP LTD,HM Revenue and Customs,SW Lic Sup Off shelf,2023,1,27002.3
TDX Group,TDX GROUP LTD,HM Revenue and Customs,SW Lic Sup Off shlf,2023,2,54004.6
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Software Licence Ren,2023,1,27002.3
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Data Purchases,2024,2,234721.03
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2024,41,42901375.69
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2025,33,38188029.47
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt collection service (DEL),2025,3,3989864.59
TDX Group,TDX GROUP LTD,HM Revenue and Customs,Debt coll serv (DEL),2026,14,20588825.21
iQor,iQor holdings Limited,HM Revenue and Customs,Commission,2010,1,166199.11
iQor,iQor holdings Limited,HM Revenue and Customs,Commission Fees,2010,1,226772.44
iQor,iQor holdings Limited,HM Revenue and Customs,Distraint App Rem,2010,1,37338.54
iQor,iQor holdings Limited,HM Revenue and Customs,Commission Fees,2011,4,769453.09
iQor,iQor holdings Limited,HM Revenue and Customs,Debt Collection Services,2011,2,614278.82
iQor,iQor holdings Limited,HM Revenue and Customs,Debt collection serv,2011,9,1685210.38
iQor,IQOR HOLDINGS LTD,HM Revenue and Customs,Debt collection serv,2012,9,754896.78
iQor,iQor holdings Limited,HM Revenue and Customs,Debt collection serv,2012,16,2497721.59
iQor,IQOR HOLDINGS LTD,HM Revenue and Customs,Debt collection serv,2013,11,1614058.67
Advantis Credit,ADVANTIS CREDIT LTD,HM Revenue and Customs,Debt collection serv,2012,5,313736.4
Advantis Credit,ADVANTIS CREDIT LTD,HM Revenue and Customs,Debt coll serv (DEL),2013,2,120600.67
Advantis Credit,ADVANTIS CREDIT LTD,HM Revenue and Customs,Debt collection serv,2013,12,1087845.41
Advantis Credit,ADVANTIS CREDIT LTD,HM Revenue and Customs,Debt coll serv (AME),2014,3,131162.68
Advantis Credit,ADVANTIS CREDIT LTD,HM Revenue and Customs,Debt coll serv (DEL),2014,14,824147.21
Advantis Credit,ADVANTIS CREDIT LTD,HM Revenue and Customs,Debt coll serv (DEL),2015,14,1183186.36
Advantis Credit,ADVANTIS CREDIT LTD,HM Revenue and Customs,Debt coll serv (DEL),2016,2,151142.09
Akinika,AKINIKA,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2013,3,170674.0
Akinika,AKINIKA,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2014,13,958822.0
Akinika,AKINIKA,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2015,11,618010.0
Akinika,AKINIKA,Department for Work and Pensions,BAILIFF COMMISSION,2016,1,5498.0
Akinika,AKINIKA,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2016,3,64553.0
Akinika,AKINIKA HOLDINGS (UK) LIMITED,HM Revenue and Customs,Debt coll serv (DEL),2013,1,55688.8
Akinika,AKINIKA HOLDINGS (UK) LIMITED,HM Revenue and Customs,Debt collection serv,2013,9,733195.34
Akinika,AKINIKA HOLDINGS (UK) LIMITED,HM Revenue and Customs,Debt coll serv (AME),2014,4,148882.63
Akinika,AKINIKA HOLDINGS (UK) LIMITED,HM Revenue and Customs,Debt coll serv (DEL),2014,14,661514.95
Akinika,AKINIKA HOLDINGS (UK) LIMITED,HM Revenue and Customs,Debt coll serv (DEL),2015,13,933923.7
Akinika,AKINIKA HOLDINGS (UK) LIMITED,HM Revenue and Customs,Debt coll serv (DEL),2016,2,171274.56
Bluestone Credit Mgmt,BLUESTONE CREDIT MANAGEMENT LTD,HM Revenue and Customs,Debt collection serv,2012,4,251403.8
Bluestone Credit Mgmt,BLUESTONE CREDIT MANAGEMENT LTD,HM Revenue and Customs,Debt coll serv (DEL),2013,1,32550.58
Bluestone Credit Mgmt,BLUESTONE CREDIT MANAGEMENT LTD,HM Revenue and Customs,Debt collection serv,2013,10,467691.25
Bluestone Credit Mgmt,BLUESTONE CREDIT MANAGEMENT LTD,HM Revenue and Customs,Debt coll serv (DEL),2014,6,183897.4
Bluestone Credit Mgmt,BLUESTONE CREDIT MANAGEMENT LTD,HM Revenue and Customs,Debt coll serv (AME),2015,1,45420.6
Bluestone Credit Mgmt,BLUESTONE CREDIT MANAGEMENT LTD,HM Revenue and Customs,Debt coll serv (DEL),2015,9,449754.86
Bluestone Credit Mgmt,BLUESTONE CREDIT MANAGEMENT LTD,HM Revenue and Customs,Debt coll serv (DEL),2016,4,191272.14
Commercial Collection Services,Commercial Collection Services,HM Revenue and Customs,Commission Fees,2010,1,69239.06
Commercial Collection Services,Commercial Collection Services,HM Revenue and Customs,Commission Fees,2011,5,403973.51
Commercial Collection Services,Commercial Collection Services,HM Revenue and Customs,Debt Collection Services,2011,1,60388.48
Commercial Collection Services,Commercial Collection Services,HM Revenue and Customs,Debt collection serv,2011,10,1368237.13
Commercial Collection Services,Commercial Collection Services,HM Revenue and Customs,Distraint App Rem,2011,1,180888.34
Commercial Collection Services,COMMERCIAL COLLECTION SERVICES,HM Revenue and Customs,Debt collection serv,2012,9,729357.66
Commercial Collection Services,Commercial Collection Services,HM Revenue and Customs,Debt collection serv,2012,14,1804143.64
Commercial Collection Services,COMMERCIAL COLLECTION SERVICES,HM Revenue and Customs,Debt coll serv (DEL),2013,1,37056.84
Commercial Collection Services,COMMERCIAL COLLECTION SERVICES,HM Revenue and Customs,Debt collection serv,2013,16,1421401.91
Commercial Collection Services,COMMERCIAL COLLECTION SERVICES,HM Revenue and Customs,Debt coll serv (DEL),2014,10,530317.68
Commercial Collection Services,COMMERCIAL COLLECTION SERVICES,HM Revenue and Customs,Debt coll serv (DEL),2015,21,1257491.56
Commercial Collection Services,COMMERCIAL COLLECTION SERVICES,HM Revenue and Customs,Debt coll serv (DEL),2016,3,238571.77
Credit Solutions,Credit Solutions,HM Revenue and Customs,Commission Fees,2010,1,45010.69
Credit Solutions,Credit Solutions,HM Revenue and Customs,Commission Fees,2011,5,458097.9
Credit Solutions,Credit Solutions,HM Revenue and Customs,Debt Collection Services,2011,1,137133.86
Credit Solutions,Credit Solutions,HM Revenue and Customs,Debt collection serv,2011,6,417992.61
Credit Solutions,Credit Solutions,HM Revenue and Customs,Debt collection serv,2012,2,150904.71
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,AOS CONTRACTED OUT SERVICES,2012,4,103248.0
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,BAILIFF COMMISSION,2012,6,61341.66
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,CONFERENCES AND MEETINGS,2012,1,7957.0
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2012,12,308829.58
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,DWP COURT FEES & RELATED EXPENSES,2012,10,166264.72
Drydens/drydensfairfax,DRYDENS FAIRFAX SOLICITORS,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2013,5,145214.0
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,BAILIFF COMMISSION,2013,4,38713.0
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2013,8,192788.0
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,DWP COURT FEES & RELATED EXPENSES,2013,5,149742.0
Drydens/drydensfairfax,DRYDENS FAIRFAX SOLICITORS,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2014,4,107809.0
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,BAILIFF COMMISSION,2014,3,73992.0
Drydens/drydensfairfax,DRYDENS FAIRFAX SOLICITORS,Department for Work and Pensions,BAILIFF COMMISSION,2015,1,28892.0
Drydens/drydensfairfax,DRYDENS FAIRFAX SOLICITORS,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2015,2,83890.0
Drydens/drydensfairfax,DRYDENS LTD,Department for Work and Pensions,BAILIFF COMMISSION,2015,2,85188.0
Drydens/drydensfairfax,DRYDENS FAIRFAX SOLICITORS,Department for Work and Pensions,BAILIFF COMMISSION,2016,1,23234.0
Drydens/drydensfairfax,DRYDENSFAIRFAX SOLICITORS,HM Revenue and Customs,Debt collection serv,2012,6,878943.68
Drydens/drydensfairfax,DRYDENSFAIRFAX SOLICITORS,HM Revenue and Customs,Debt coll serv (DEL),2013,2,116899.81
Drydens/drydensfairfax,DRYDENSFAIRFAX SOLICITORS,HM Revenue and Customs,Debt collection serv,2013,19,3019534.17
Drydens/drydensfairfax,DRYDENSFAIRFAX SOLICITORS,HM Revenue and Customs,Debt coll serv (DEL),2014,14,747682.45
Drydens/drydensfairfax,DRYDENSFAIRFAX SOLICITORS,HM Revenue and Customs,Debt coll serv (DEL),2015,19,931622.78
Drydens/drydensfairfax,DRYDENSFAIRFAX SOLICITORS,HM Revenue and Customs,Debt coll serv (DEL),2016,2,147005.95
Qualco,QUALCO UK LTD,Department for Work and Pensions,CMG OPS EXTERNAL CONTRACTS/SLA DEBT SERVICES,2024,2,66750.0
Qualco,QUALCO UK LTD,Department for Work and Pensions,CMG OPS EXTERNAL CONTRACTS/SLAS BAILIFFS,2024,1,114000.0
Capital Resolve,CAPITAL RESOLVE LTD,North Yorkshire Council,201600 Financial Services > Debt Collection & Recovery,2023,1,1500.87
CCI Credit Management,CCI LEGAL SERVICES LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2014,10,228.52
CCI Credit Management,CCI LEGAL SERVICES LTD,Shropshire Community Health NHS Trust,Other Operating Income Non NHS,2014,6,6.34
CCI Credit Management,CCI LEGAL SERVICES LTD,Shropshire Community Health NHS Trust,VAT Contracted Out Services Input Tax,2014,1,2.47
CCI Credit Management,CCI LEGAL SERVICES LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2015,14,1047.69
CCI Credit Management,CCI LEGAL SERVICES LTD,Shropshire Community Health NHS Trust,VAT Contracted Out Services Input Tax,2015,3,39.6
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2016,7,45.5
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,VAT Contracted Out Services Input Tax,2016,1,1.6
CCI Credit Management,CCI LEGAL SERVICES LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2016,11,164.0
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2017,26,862.94
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2018,19,371.67
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2019,20,710.74
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,VAT Contracted Out Services Input Tax,2019,1,0.4
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2020,47,638.9
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2021,41,1349.26
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,VAT Contracted Out Services Input Tax,2021,3,10.4
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2022,20,303.15
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,VAT Contracted Out Services Input Tax,2022,3,32.13
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2023,36,327.02
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,VAT Contracted Out Services Input Tax,2023,3,10.33
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Admin & Clerical Band 3,2024,1,21.01
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2024,74,2857.42
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2025,49,1052.26
CCI Credit Management,CCI CREDIT MANAGEMENT LTD,Shropshire Community Health NHS Trust,Debt Recovery & Credit Control,2026,31,334.45
JTR Collections,JTR COLLECTIONS,Former council of North Yorkshire,201600 Financial Services > Debt Collection & Recovery,2022,4,2692.85
JTR Collections,JTR COLLECTIONS,Former council of North Yorkshire,280000 Legal Services,2022,10,6407.98
JTR Collections,JTR COLLECTIONS,Former council of North Yorkshire,280000 Legal Services,2023,6,3265.05
JTR Collections,JTR COLLECTIONS,North Yorkshire Council,280000 Legal Services,2023,7,3617.21
Marston,MARSTON GROUP LTD,"Department for Environment, Food and Rural Affairs",STATUTORY BODIES,2012,1,582.3
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF OTHER,2012,1,22000.0
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF OTHER,2013,1,27395.0
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF COMMISSION,2014,1,21093.0
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF COMMISSION,2015,3,30396.0
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF COMMISSION,2016,2,54600.0
Marston,MARSTON GROUP,Ministry of Justice,130001-Other Income,,7,499573.1
Marston,MARSTON GROUP,Ministry of Justice,130001-Other Income,2010,12,809889.02
Marston,MARSTON GROUP,Ministry of Justice,111620-Bailiff Fees (NOS),2011,4,328684.61
Marston,MARSTON GROUP,Ministry of Justice,130001-Other Income,2011,5,376920.23
