firm,supplier_raw,publisher,expense_type,year,txns,gbp,n_negative,gbp_negative,min_amt,max_amt
Bristow & Sutor,BRISTOW & SUTOR,North Yorkshire Council,201600 Financial Services > Debt Collection & Recovery,2026,23,403.84,11,-34015.99,-4329.97,4329.97
Bristow & Sutor,BRISTOW SUTOR,Blaby District Council,,2013,1,368.62,0,0.0,368.62,368.62
Jacobs (enforcement),JACOBS DEBT RECOVERY,North Yorkshire Council,201600 Financial Services > Debt Collection & Recovery,2025,2,0.0,1,-2730.0,-2730.0,2730.0
Jacobs (enforcement),JACOBS DEBT RECOVERY,North Yorkshire Council,201600 Financial Services > Debt Collection & Recovery,2026,8,0.0,4,-16328.59,-6573.0,6573.0
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (DEL),2013,1,25072.54,0,0.0,25072.54,25072.54
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (DEL),2014,10,396156.05,0,0.0,25246.26,64999.88
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (AME),2014,4,210232.39,0,0.0,42326.25,65822.86
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (DEL),2015,8,542268.65,0,0.0,29684.95,104889.32
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (AME),2015,4,114107.48,0,0.0,25667.29,32764.72
Equita,EQUITA LTD,HM Revenue and Customs,Debt coll serv (DEL),2016,1,39245.36,0,0.0,39245.36,39245.36
Equita,EQUITA LTD,Royal Borough of Greenwich,Services Joint Authorities,2014,8,5062.94,0,0.0,517.97,867.84
Equita,EQUITA LTD,Royal Borough of Greenwich,Services Private Contractor,2015,20,10250.31,10,-51252.28,-7336.53,8803.82
Equita,EQUITA LTD,Royal Borough of Greenwich,Services Joint Authorities,2015,6,3454.32,3,-17271.85,-9502.79,11403.33
Equita,EQUITA LTD,Royal Borough of Greenwich,Services Private Contractor,2016,16,7021.23,8,-35106.64,-6063.72,7276.45
Equita,EQUITA LIMITED,North Yorkshire Council,351200 Street & Traffic Management > Parking > Fines Collection,2024,2,0.0,1,-3370.0,-3370.0,3370.0
Equita,EQUITA LIMITED,North Yorkshire Council,351200 Street & Traffic Management > Parking > Fines Collection,2025,4,0.0,2,-15622.93,-7944.51,7944.51
