pattern,expense_type,publisher,txns,gbp,n_suppliers,top_suppliers
ENFORCEMENT,Defence & Law Enforcement.Police Liaison Officers,Home Office,3,162758.76,3,SOUTH YORKSHIRE POLICE=80000.0; SUSSEX POLICE AUTHORITY=48274.42; BEDFORDSHIRE POLICE AUTHORITY=34484.34
ENFORCEMENT,Law Enforcement & safety Equip.Security & control equipment,Home Office,1,131322.7,1,CT CENTRE (MOD) T/A DSTL=131322.7
ENFORCEMENT,Law Enforcement & safety Equip.Surveillance & detection (FA),Home Office,3,115655.39,2,PORT OF FELIXSTOWE=76893.74; FUJITSU SERVICES LTD=38761.65
ENFORCEMENT,Storage (non Enforcement),HM Revenue and Customs,2,104095.61,2,Iron Mountain (UK) Ltd=76211.14; Serco Integrated Services=27884.47
ENFORCEMENT,Defence & Law Enforcement,Home Office,2,97500.0,2,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER=60000.0; OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER=37500.0
ENFORCEMENT,Sol's Enforcement,HM Revenue and Customs,2,95948.7,1,PINSENT MASONS SOLICITORS=95948.7
ENFORCEMENT,Law Enforcement & safety Equip.Law Enforcement Equip (FA),Home Office,1,82212.28,1,G4S CARE & JUSTICE SERVICES (UK) LTD=82212.28
ENFORCEMENT,Defense & Law Enforcement.Public Safety & Control,Home Office,1,82178.0,1,ACPO (ASSOCIATION OF CHIEF POLICE OFFICERS)=82178.0
ENFORCEMENT,Law Enforcement & safety Equip.Maint&Rep of Plant&Mach?PROG,Home Office,2,63888.7,2,UNIVERSAL SECURITY SYSTEMS LTD=35989.24; MORPHO UK LTD=27899.46
ENFORCEMENT,Law Enforcement & safety Equip.Surveillance & Detection-PROG,Home Office,1,51894.59,1,RAPISCAN SYSTEMS LTD=51894.59
ENFORCEMENT,Room hire for essential enforcement training,"Department for Environment, Food and Rural Affairs",6,42129.04,3,THE ROYAL YORK HOTEL=14696.31; SELSDON PARK HOTEL=14285.2; THE ST JOHN S HOTEL=13147.53
ENFORCEMENT,Room hire for essential enforcment training,"Department for Environment, Food and Rural Affairs",4,29681.75,1,SELSDON PARK HOTEL=29681.75
ENFORCEMENT,Law Enforcement & safety Equip.Security & Control Equip- ADMN,Home Office,1,28308.0,1,CESG=28308.0
